Row Label,PrecinctCode,County,Registered Voters,Rick Larsen,B.J. Guillot
Total,-1,SN,NULL,61461,43228
SOUTH ALDERWOOD,20134083,SN,NULL,241,145
SAMOEA,20134196,SN,NULL,202,130
POPLAR,20134316,SN,NULL,104,68
CRAWFORD,20134690,SN,NULL,65,31
MOUNTLAKE TERRACE  1,20141090,SN,NULL,187,67
MOUNTLAKE TERRACE  2,20141091,SN,NULL,171,87
MOUNTLAKE TERRACE  3,20141092,SN,NULL,179,72
MOUNTLAKE TERRACE  5,20141093,SN,NULL,178,91
MOUNTLAKE TERRACE  6,20141094,SN,NULL,146,69
MOUNTLAKE TERRACE 11,20141138,SN,NULL,186,72
MOUNTLAKE TERRACE 12,20141139,SN,NULL,167,96
MOUNTLAKE TERRACE 13,20141140,SN,NULL,232,79
MOUNTLAKE TERRACE 14,20141141,SN,NULL,215,94
MOUNTLAKE TERRACE 15,20141142,SN,NULL,177,71
BRIER 1,20141179,SN,NULL,219,115
BRIER 2,20141180,SN,NULL,169,98
BRIER 3,20141181,SN,NULL,290,179
MOUNTLAKE TERRACE 17,20141189,SN,NULL,275,106
MOUNTLAKE TERRACE 18,20141190,SN,NULL,194,90
MOUNTLAKE TERRACE 19,20141191,SN,NULL,222,102
BRIER 4,20141276,SN,NULL,239,104
BRIER 5,20141277,SN,NULL,255,149
BRIER 6,20141343,SN,NULL,150,72
BRIER 7,20141344,SN,NULL,167,116
MOUNTLAKE TERRACE  4,20141432,SN,NULL,148,65
BRIER 8,20141614,SN,NULL,146,103
MOUNTLAKE TERRACE 16,20141630,SN,NULL,156,51
NORTH CREEK,20144065,SN,NULL,184,90
LOCUST,20144078,SN,NULL,183,122
WILLOWDALE,20144085,SN,NULL,224,130
HUNT,20144089,SN,NULL,3,2
MERIDIAN,20144136,SN,NULL,184,159
VINE,20144146,SN,NULL,173,100
ATLAS,20144177,SN,NULL,241,138
QUEENS,20144212,SN,NULL,195,102
WAXON,20144213,SN,NULL,246,149
COUNTRY,20144281,SN,NULL,133,97
CRYSTAL,20144284,SN,NULL,183,103
THRASHERS,20144324,SN,NULL,161,107
DAMSON,20144446,SN,NULL,242,132
WANDERING CREEK,20144596,SN,NULL,197,150
NEWTON,20144705,SN,NULL,145,95
STANWOOD 1,21011199,SN,NULL,92,70
STANWOOD 2,21011200,SN,NULL,135,146
STANWOOD 3,21011509,SN,NULL,123,121
STANWOOD 4,21011641,SN,NULL,214,203
STANWOOD 5,21011669,SN,NULL,172,209
STANWOOD 6,21011711,SN,NULL,91,125
STANWOOD 7,21011712,SN,NULL,90,85
FLORENCE,21014002,SN,NULL,56,73
PORT SUSAN,21014004,SN,NULL,225,214
CEDARHOME,21014022,SN,NULL,144,162
CLIFF,21014025,SN,NULL,125,101
STANBY,21014030,SN,NULL,41,51
SILVANA,21014037,SN,NULL,117,103
LAKEWOOD,21014061,SN,NULL,114,167
VILLAGE,21014073,SN,NULL,234,198
LAKE GOODWIN,21014087,SN,NULL,255,233
KACKMAN,21014296,SN,NULL,109,114
ROWLAND,21014319,SN,NULL,103,113
THOMPSON,21014323,SN,NULL,182,189
WATERS,21014332,SN,NULL,156,234
MC RAE,21014352,SN,NULL,104,133
HAPPY VALLEY,21014457,SN,NULL,104,113
SHOECRAFT,21014483,SN,NULL,167,215
LAKE HOWARD,21014502,SN,NULL,160,150
MC DONALD,21014545,SN,NULL,90,145
