Row Label,PrecinctCode,County,Registered Voters,Jaime Herrera Beutler,Bob Dingethal
Total,-1,CZ,NULL,18144,12939
Alabama,1,CZ,NULL,142,135
Ammons,2,CZ,NULL,217,136
Arkansas,3,CZ,NULL,141,80
Bakers,4,CZ,NULL,10,12
Baltimore,5,CZ,NULL,214,245
Beacon,6,CZ,NULL,397,255
Boondox,7,CZ,NULL,12,6
Brynion,8,CZ,NULL,201,177
Burcham,9,CZ,NULL,406,378
Caples,10,CZ,NULL,172,52
Carrolls,11,CZ,NULL,316,198
Castle Rock,12,CZ,NULL,361,264
Chinook,13,CZ,NULL,358,206
Cloverdale,14,CZ,NULL,245,144
Coal Creek,15,CZ,NULL,437,258
Columbia Heights,16,CZ,NULL,187,107
Columbia Valley Gdns,17,CZ,NULL,180,181
Crawford,18,CZ,NULL,232,214
Delameter,19,CZ,NULL,274,150
Douglas(*),20,CZ,NULL,0,0
Elk Ridge(*),21,CZ,NULL,0,0
Harris,22,CZ,NULL,265,189
Haussler,23,CZ,NULL,185,146
Hillcrest,24,CZ,NULL,527,299
Hudson,25,CZ,NULL,265,240
Industrial,26,CZ,NULL,0,0
Kalama North,27,CZ,NULL,212,174
Kalama South,28,CZ,NULL,304,210
Kessler,29,CZ,NULL,289,291
Lake,30,CZ,NULL,197,222
Laurel,31,CZ,NULL,369,249
Lewis River,32,CZ,NULL,512,222
Lexington,33,CZ,NULL,252,157
Lone Oak,34,CZ,NULL,187,118
Magnolia,35,CZ,NULL,393,360
Marigold,36,CZ,NULL,310,300
McGowan,37,CZ,NULL,66,43
Memorial,38,CZ,NULL,130,157
Mill,39,CZ,NULL,282,268
Mint Valley,40,CZ,NULL,388,315
Modrow,41,CZ,NULL,265,181
Mt. Solo,42,CZ,NULL,65,78
Nevada,43,CZ,NULL,245,177
Ocean Beach,44,CZ,NULL,248,224
Olson,45,CZ,NULL,179,148
Ostrander,46,CZ,NULL,303,213
Owl Creek,47,CZ,NULL,408,260
Pacific,48,CZ,NULL,261,244
Ponderosa,49,CZ,NULL,243,178
Powell,50,CZ,NULL,274,181
Redpath,51,CZ,NULL,171,189
Ridgecrest,52,CZ,NULL,20,18
Robbins,53,CZ,NULL,352,292
Rose Valley,54,CZ,NULL,241,115
Ryderwood,55,CZ,NULL,139,82
Sacajawea,56,CZ,NULL,420,451
Sandy Bend,57,CZ,NULL,294,188
Silver Lake,58,CZ,NULL,520,251
Sparks,59,CZ,NULL,209,97
St. Helens,60,CZ,NULL,97,125
Stella,61,CZ,NULL,267,196
Toutle,62,CZ,NULL,382,181
Tower,63,CZ,NULL,451,262
Tunstall,64,CZ,NULL,140,62
View,65,CZ,NULL,181,151
West Kelso,66,CZ,NULL,45,65
Willow Grove,67,CZ,NULL,84,65
Windemere,68,CZ,NULL,376,315
Woodage,69,CZ,NULL,294,118
Woodland North,70,CZ,NULL,512,179
Woodland South,71,CZ,NULL,382,201
Yale,72,CZ,NULL,286,133
