Row Label,PrecinctCode,County,Registered Voters,Jaime Herrera Beutler,Bob Dingethal
Total,-1,LE,NULL,18522,5376
Adna ,1,LE,NULL,545,98
Agate,2,LE,NULL,159,34
Alpha,3,LE,NULL,379,119
Berwick,4,LE,NULL,448,85
Big Bottom,5,LE,NULL,265,126
Boistfort,6,LE,NULL,109,22
Cinebar,7,LE,NULL,256,71
Claquato,8,LE,NULL,309,57
Cowlitz,9,LE,NULL,461,127
Crego,10,LE,NULL,670,170
Curtis,11,LE,NULL,120,23
Drews Prairie,12,LE,NULL,144,40
Dryad,13,LE,NULL,99,23
Elk Crk,14,LE,NULL,118,20
Emery(*),15,LE,NULL,0,0
Emery North(*),16,LE,NULL,0,0
Ethel,17,LE,NULL,395,96
Evaline East,18,LE,NULL,107,35
Evaline West,19,LE,NULL,156,46
Fair,20,LE,NULL,0,0
Fords Prairie,21,LE,NULL,337,57
Forest,22,LE,NULL,329,72
Greenwood,23,LE,NULL,16,3
Harmony,24,LE,NULL,293,87
Independence,25,LE,NULL,59,23
Jackson,26,LE,NULL,363,103
Jackson North,27,LE,NULL,0,0
Kelly,28,LE,NULL,0,0
Klickitat,29,LE,NULL,185,44
Lincoln Creek,30,LE,NULL,253,59
Logan,31,LE,NULL,278,88
Mauermann,32,LE,NULL,59,28
Mellen(*),33,LE,NULL,0,0
Meskill,34,LE,NULL,58,15
Mineral,35,LE,NULL,151,54
Newaukum,36,LE,NULL,293,57
Onalaska,37,LE,NULL,560,149
Packwood,38,LE,NULL,79,28
Paradise,39,LE,NULL,36,22
Parcuvia,40,LE,NULL,247,52
Prescott,41,LE,NULL,569,163
Randle East,42,LE,NULL,261,90
Randle West,43,LE,NULL,203,65
Roswell,44,LE,NULL,7,5
Salkum,45,LE,NULL,251,59
Salmon Creek,46,LE,NULL,457,160
Salzer,47,LE,NULL,150,23
Sears,48,LE,NULL,212,48
Seminary Hill,49,LE,NULL,156,52
Silver Creek,50,LE,NULL,280,97
Skookumchuck,51,LE,NULL,309,60
Sommerville,52,LE,NULL,55,8
Stearns Creek,53,LE,NULL,128,22
Stillwater East,54,LE,NULL,81,24
Stillwater West,55,LE,NULL,118,69
Temple,56,LE,NULL,244,79
Union,57,LE,NULL,213,53
Urquhart,58,LE,NULL,176,34
Veness,59,LE,NULL,300,69
Verndale,60,LE,NULL,265,80
Whealdon,61,LE,NULL,213,54
Centralia #1,101,LE,NULL,118,51
Centralia #2,102,LE,NULL,297,122
Centralia #3,103,LE,NULL,112,41
Centralia #4,104,LE,NULL,187,65
Centralia #5,105,LE,NULL,116,49
Centralia #6,106,LE,NULL,210,133
Centralia #7,107,LE,NULL,120,47
Centralia #8,108,LE,NULL,147,57
Centralia #9,109,LE,NULL,304,85
Centralia #10,110,LE,NULL,108,37
Centralia #11,111,LE,NULL,280,120
Centralia #12,112,LE,NULL,349,114
Centralia #13,113,LE,NULL,375,103
Chehalis #1,201,LE,NULL,176,94
Chehalis #2,202,LE,NULL,140,54
Chehalis #3,203,LE,NULL,160,48
Chehalis #4,204,LE,NULL,142,63
Chehalis #5,205,LE,NULL,137,43
Chehalis #6,206,LE,NULL,290,79
Chehalis #7,207,LE,NULL,57,5
Chehalis #8,208,LE,NULL,197,79
Chehalis #9,209,LE,NULL,10,5
Morton,300,LE,NULL,225,59
Mossyrock,400,LE,NULL,116,36
Napavine #1,501,LE,NULL,379,81
Napavine #2,502,LE,NULL,0,0
Napavine #3(*),503,LE,NULL,0,0
Napavine #4,504,LE,NULL,0,0
Napavine #5,505,LE,NULL,0,0
Napavine #6,506,LE,NULL,0,0
Pe Ell,600,LE,NULL,145,55
Toledo,700,LE,NULL,135,50
Vader,800,LE,NULL,103,51
Winlock,900,LE,NULL,208,67
