Row Label,PrecinctCode,County,Registered Voters,Clint Didier,Dan Newhouse
Total,-1,OK,NULL,5604,5159
ALMA,1,OK,NULL,25,19
ANGLIN,2,OK,NULL,41,30
BEEMAN,3,OK,NULL,52,26
BODIE,4,OK,NULL,10,13
BONAPARTE,5,OK,NULL,23,9
BOSTON,6,OK,NULL,44,30
BREWSTER RURAL,7,OK,NULL,25,27
CARLTON,8,OK,NULL,22,25
CHESAW,9,OK,NULL,29,20
CONCONULLY RURAL,10,OK,NULL,23,16
DUCK LAKE,11,OK,NULL,22,12
DULEY LAKE,12,OK,NULL,20,12
EASTLAKE,13,OK,NULL,18,7
EASTSIDE,14,OK,NULL,56,34
ELLISFORDE,15,OK,NULL,53,15
ELMERTON,16,OK,NULL,42,46
ELMWAY,17,OK,NULL,15,23
HAVILLAH,18,OK,NULL,51,32
LOOMIS,19,OK,NULL,34,27
MALOTT,20,OK,NULL,44,36
MAZAMA,21,OK,NULL,36,60
METHOW,22,OK,NULL,44,37
MISSION,23,OK,NULL,12,20
MOLSON,24,OK,NULL,31,35
MONSE #1,25,OK,NULL,36,33
NESPELEM RURAL,27,OK,NULL,18,10
NIGHTHAWK,28,OK,NULL,10,7
NORTH OMAK,29,OK,NULL,19,14
PATEROS RURAL,30,OK,NULL,24,23
PINE CREEK,31,OK,NULL,26,16
POGUE,32,OK,NULL,48,35
RIVERSIDE RURAL,33,OK,NULL,59,32
SAN POIL,34,OK,NULL,40,44
SOUTH OROVILLE,35,OK,NULL,51,17
SPRING COULEE,36,OK,NULL,33,30
TONASKET RURAL,37,OK,NULL,14,21
TUNK CREEK,38,OK,NULL,50,38
TWISP RURAL,39,OK,NULL,28,40
WOLF CREEK,40,OK,NULL,18,38
WAUCONDA,41,OK,NULL,38,20
WESTLAKE,42,OK,NULL,18,16
WHITESTONE,43,OK,NULL,22,18
WINTHROP RURAL,44,OK,NULL,37,49
CHILIWIST,45,OK,NULL,32,23
MONSE #3,46,OK,NULL,27,13
OKANOGAN RURAL,47,OK,NULL,19,25
AENEAS,48,OK,NULL,31,15
COLUMBIA,49,OK,NULL,6,19
CRUMBACHER,50,OK,NULL,54,18
DISAUTEL,51,OK,NULL,13,8
HUDSON,52,OK,NULL,16,14
KIPLING,53,OK,NULL,32,11
ORCHARD,54,OK,NULL,17,23
TORODA,55,OK,NULL,32,37
BEAVER CREEK,56,OK,NULL,16,26
BLACK CANYON,57,OK,NULL,26,18
BUFFALO LAKE,58,OK,NULL,8,15
COPPLE,59,OK,NULL,26,33
EDELWEISS,60,OK,NULL,19,51
ENGH,61,OK,NULL,34,34
FINLEY CANYON,62,OK,NULL,46,36
JANIS,63,OK,NULL,19,16
LEESE,64,OK,NULL,16,7
LIBBY CREEK(*),65,OK,NULL,0,0
MCGINNIS LAKE(*),66,OK,NULL,0,0
NORTH STAR,67,OK,NULL,9,11
OWHI,68,OK,NULL,14,15
PALMER LAKE,69,OK,NULL,30,16
PINE CONE,70,OK,NULL,17,21
POORMAN CREEK,71,OK,NULL,46,57
SAND FLAT,72,OK,NULL,30,40
SOURDOUGH,74,OK,NULL,39,27
TWIN LAKES,75,OK,NULL,41,42
VALLEY,76,OK,NULL,27,17
WANNACUT,77,OK,NULL,45,29
WEST CHEWUCH,78,OK,NULL,26,38
CANAL,79,OK,NULL,20,16
AIRPORT,81,OK,NULL,27,35
BALKY HILL,82,OK,NULL,22,36
BRIDGE CREEK,83,OK,NULL,9,38
CROSSROADS,84,OK,NULL,25,20
DAVIS LAKE,85,OK,NULL,22,53
GREENACRES,86,OK,NULL,27,11
JOHNSON CREEK,87,OK,NULL,28,32
LEWIS BUTTE,88,OK,NULL,37,37
LIME BELT,89,OK,NULL,16,13
MCCLURE MTN,90,OK,NULL,34,48
MOCCASIN LAKE,91,OK,NULL,26,55
NORTH MALOTT,92,OK,NULL,43,31
PATTERSON LAKE,93,OK,NULL,28,51
PEARRYGIN LAKE,94,OK,NULL,17,28
BOUNDARY,95,OK,NULL,30,21
BUCKHORN MTN,96,OK,NULL,29,23
EDER,97,OK,NULL,33,19
HORSESHOE LAKE,98,OK,NULL,24,22
LAKE ANDREWS,99,OK,NULL,29,20
MYERS CREEK,100,OK,NULL,15,10
COULEE DAM #1,101,OK,NULL,27,36
COULEE DAM #2,102,OK,NULL,17,30
COULEE DAM #3,103,OK,NULL,18,23
NESPELEM CITY,104,OK,NULL,7,14
OKANOGAN #1,105,OK,NULL,18,20
OKANOGAN #2,106,OK,NULL,34,22
OKANOGAN #3,107,OK,NULL,12,13
OKANOGAN #4,108,OK,NULL,25,26
OMAK #1,109,OK,NULL,15,16
OMAK #2,110,OK,NULL,27,20
OMAK #3,111,OK,NULL,9,13
OMAK #4,112,OK,NULL,18,19
OMAK #5,113,OK,NULL,23,29
OMAK #6,114,OK,NULL,28,19
OMAK #7,115,OK,NULL,22,18
OMAK #8,116,OK,NULL,14,8
OMAK #9,117,OK,NULL,34,39
