Row Label,PrecinctCode,County,Registered Voters,Cathy McMorris Rodgers,Joseph (Joe) Pakootas
Total,-1,ST,NULL,11008,6180
ADDY,1,ST,NULL,276,135
CAMAS,3,ST,NULL,259,93
CAMAS PRAIRIE,4,ST,NULL,158,66
COLUMBIA,5,ST,NULL,311,209
COLVILLE VALLEY,6,ST,NULL,405,239
DAISY,7,ST,NULL,103,95
ECHO,8,ST,NULL,276,132
EVANS,9,ST,NULL,138,96
HUNTERS,10,ST,NULL,241,179
KELLY HILL,11,ST,NULL,77,37
LOON LAKE 1,12,ST,NULL,311,184
LOON LAKE 2,13,ST,NULL,177,98
MILL CREEK,14,ST,NULL,111,56
NARCISSE,15,ST,NULL,324,165
ONION CREEK,16,ST,NULL,49,97
RICE,19,ST,NULL,115,96
ROCK CUT,20,ST,NULL,43,52
SUMMIT,21,ST,NULL,213,50
FIRST THOUGHT,22,ST,NULL,53,15
WELLPINIT,24,ST,NULL,31,178
WILLIAMS VALLEY,25,ST,NULL,377,138
TUM TUM 1,26,ST,NULL,179,69
TUM TUM 2,27,ST,NULL,336,118
WALKERS PRAIRIE,28,ST,NULL,150,134
STONE LODGE,29,ST,NULL,289,103
TUM TUM 3,39,ST,NULL,397,151
TUM TUM 4,40,ST,NULL,237,95
TUM TUM 5,41,ST,NULL,279,101
MEYERS FALLS 1,42,ST,NULL,204,125
MEYERS FALLS 2,43,ST,NULL,347,167
QUARTZITE 1,44,ST,NULL,399,196
QUARTZITE 2,45,ST,NULL,193,93
VALLEY 1,46,ST,NULL,48,22
VALLEY 2,47,ST,NULL,163,72
ARDEN 1,48,ST,NULL,222,116
ARDEN 2,49,ST,NULL,256,126
CLAYTON 1,50,ST,NULL,183,70
CLAYTON 2,51,ST,NULL,315,116
ORIN 1,52,ST,NULL,185,94
ORIN 2,53,ST,NULL,235,121
WAITTS LAKE,54,ST,NULL,244,129
ECHO VALLEY,55,ST,NULL,145,80
CHEWELAH 1,101,ST,NULL,185,113
CHEWELAH 2,102,ST,NULL,90,62
CHEWELAH 3,103,ST,NULL,119,110
CHEWELAH FORE,104,ST,NULL,110,79
COLVILLE 1,105,ST,NULL,93,59
COLVILLE 2,106,ST,NULL,104,88
COLVILLE 3,107,ST,NULL,119,83
COLVILLE 4,108,ST,NULL,238,174
COLVILLE 5,109,ST,NULL,197,150
COLVILLE 6,110,ST,NULL,99,118
COLVILLE 7,111,ST,NULL,123,92
KETTLE FALLS 1,114,ST,NULL,216,135
KETTLE FALLS 2,115,ST,NULL,138,81
MARCUS,116,ST,NULL,24,48
NORTHPORT,117,ST,NULL,56,51
SPRINGDALE,118,ST,NULL,43,29
