Row Label,PrecinctCode,County,Registered Voters,Derek Kilmer,Marty McClendon
Total,-1,PI,NULL,40825,21092
26-301,26301,PI,NULL,131,97
26-302,26302,PI,NULL,564,300
26-303,26303,PI,NULL,483,296
26-304,26304,PI,NULL,585,305
26-305,26305,PI,NULL,516,337
26-315,26315,PI,NULL,414,313
26-316,26316,PI,NULL,426,317
26-317,26317,PI,NULL,342,291
26-318,26318,PI,NULL,315,231
26-319,26319,PI,NULL,347,255
26-320,26320,PI,NULL,359,270
26-321,26321,PI,NULL,511,327
26-322,26322,PI,NULL,406,295
26-323,26323,PI,NULL,475,296
26-324,26324,PI,NULL,365,286
26-325,26325,PI,NULL,349,272
26-326,26326,PI,NULL,403,289
26-327,26327,PI,NULL,412,245
26-328,26328,PI,NULL,284,317
26-329,26329,PI,NULL,321,355
26-330,26330,PI,NULL,260,179
26-331,26331,PI,NULL,110,84
26-332,26332,PI,NULL,363,223
26-333,26333,PI,NULL,343,336
26-334,26334,PI,NULL,420,250
26-335,26335,PI,NULL,324,197
26-336,26336,PI,NULL,417,304
26-337,26337,PI,NULL,433,274
26-338,26338,PI,NULL,326,250
26-339,26339,PI,NULL,75,37
26-340,26340,PI,NULL,454,305
26-341,26341,PI,NULL,362,266
26-342,26342,PI,NULL,459,250
26-343,26343,PI,NULL,375,229
26-344,26344,PI,NULL,54,18
26-345,26345,PI,NULL,393,234
26-346,26346,PI,NULL,337,195
26-347,26347,PI,NULL,299,232
26-348,26348,PI,NULL,370,254
26-349,26349,PI,NULL,356,283
26-350,26350,PI,NULL,379,295
26-351,26351,PI,NULL,357,272
26-352,26352,PI,NULL,382,233
27-401,27401,PI,NULL,215,84
27-404,27404,PI,NULL,167,27
27-405,27405,PI,NULL,455,186
27-406,27406,PI,NULL,544,267
27-407,27407,PI,NULL,422,157
27-408,27408,PI,NULL,385,216
27-409,27409,PI,NULL,361,204
27-410,27410,PI,NULL,434,161
27-411,27411,PI,NULL,511,244
27-412,27412,PI,NULL,346,187
27-413,27413,PI,NULL,442,153
27-414,27414,PI,NULL,503,149
27-415,27415,PI,NULL,482,187
27-416,27416,PI,NULL,464,165
27-417,27417,PI,NULL,504,138
27-418,27418,PI,NULL,440,126
27-419,27419,PI,NULL,471,146
27-420,27420,PI,NULL,555,146
27-421,27421,PI,NULL,379,118
27-422,27422,PI,NULL,552,195
27-423,27423,PI,NULL,540,139
27-424,27424,PI,NULL,470,139
27-425,27425,PI,NULL,442,117
27-426,27426,PI,NULL,412,132
27-427,27427,PI,NULL,426,113
27-428,27428,PI,NULL,403,85
27-429,27429,PI,NULL,394,133
27-430,27430,PI,NULL,402,143
27-431,27431,PI,NULL,143,76
27-432,27432,PI,NULL,348,192
27-433,27433,PI,NULL,394,146
27-434,27434,PI,NULL,330,158
27-435,27435,PI,NULL,386,183
27-436,27436,PI,NULL,389,128
27-437,27437,PI,NULL,361,102
27-438,27438,PI,NULL,371,74
27-439,27439,PI,NULL,390,84
27-440,27440,PI,NULL,410,84
27-441,27441,PI,NULL,310,109
27-442,27442,PI,NULL,238,105
27-443,27443,PI,NULL,226,142
27-444,27444,PI,NULL,312,138
27-445,27445,PI,NULL,298,129
27-446,27446,PI,NULL,277,152
27-447,27447,PI,NULL,314,131
28-501,28501,PI,NULL,432,235
28-502,28502,PI,NULL,488,166
28-503,28503,PI,NULL,461,181
28-504,28504,PI,NULL,396,232
28-505,28505,PI,NULL,472,269
28-506,28506,PI,NULL,462,194
28-507,28507,PI,NULL,350,154
29-600,29600,PI,NULL,0,0
29-601,29601,PI,NULL,245,132
29-602,29602,PI,NULL,218,116
29-603,29603,PI,NULL,274,120
29-604,29604,PI,NULL,288,112
29-605,29605,PI,NULL,213,134
29-606,29606,PI,NULL,285,172
29-607,29607,PI,NULL,356,161
29-608,29608,PI,NULL,233,139
29-609,29609,PI,NULL,201,105
29-610,29610,PI,NULL,268,142
29-611,29611,PI,NULL,70,29
29-612,29612,PI,NULL,146,75
29-613,29613,PI,NULL,302,160
29-614,29614,PI,NULL,323,166
29-615,29615,PI,NULL,322,172
29-616,29616,PI,NULL,258,167
29-618,29618,PI,NULL,237,121
29-619,29619,PI,NULL,251,154
29-627,29627,PI,NULL,0,0
