Row Label,PrecinctCode,County,Registered Voters,Dave Reichert,Jason Ritchie
Total,-1,PI,NULL,30683,14263
02-105,2105,PI,NULL,131,72
02-106,2106,PI,NULL,406,170
02-110,2110,PI,NULL,198,94
02-111,2111,PI,NULL,291,126
02-112,2112,PI,NULL,207,109
02-113,2113,PI,NULL,216,122
02-114,2114,PI,NULL,204,78
02-133,2133,PI,NULL,75,55
02-134,2134,PI,NULL,404,170
02-135,2135,PI,NULL,439,155
02-136,2136,PI,NULL,68,33
02-137,2137,PI,NULL,210,78
02-138,2138,PI,NULL,448,196
02-139,2139,PI,NULL,379,123
02-140,2140,PI,NULL,456,133
02-141,2141,PI,NULL,418,152
02-142,2142,PI,NULL,288,139
02-144,2144,PI,NULL,326,157
02-145,2145,PI,NULL,391,140
02-146,2146,PI,NULL,279,133
02-147,2147,PI,NULL,299,115
02-148,2148,PI,NULL,415,156
02-149,2149,PI,NULL,415,198
02-150,2150,PI,NULL,327,135
02-151,2151,PI,NULL,124,58
02-152,2152,PI,NULL,451,145
02-153,2153,PI,NULL,345,130
02-154,2154,PI,NULL,340,111
02-155,2155,PI,NULL,374,173
02-156,2156,PI,NULL,485,209
02-157,2157,PI,NULL,465,197
02-158,2158,PI,NULL,287,182
02-159,2159,PI,NULL,232,93
25-272,25272,PI,NULL,409,207
25-281,25281,PI,NULL,262,127
25-282,25282,PI,NULL,402,180
25-283,25283,PI,NULL,193,107
25-284,25284,PI,NULL,189,103
25-285,25285,PI,NULL,565,194
25-286,25286,PI,NULL,351,198
25-287,25287,PI,NULL,3,3
25-288,25288,PI,NULL,409,166
25-289,25289,PI,NULL,0,0
28-585,28585,PI,NULL,370,188
28-586,28586,PI,NULL,289,161
28-587,28587,PI,NULL,212,129
28-588,28588,PI,NULL,375,168
28-589,28589,PI,NULL,374,155
30-701,30701,PI,NULL,15,4
30-705,30705,PI,NULL,146,122
30-706,30706,PI,NULL,247,158
30-707,30707,PI,NULL,145,95
30-708,30708,PI,NULL,238,151
30-709,30709,PI,NULL,263,132
31-813,31813,PI,NULL,148,82
31-814,31814,PI,NULL,33,27
31-815,31815,PI,NULL,203,127
31-816,31816,PI,NULL,251,146
31-817,31817,PI,NULL,303,186
31-818,31818,PI,NULL,74,47
31-819,31819,PI,NULL,135,67
31-833,31833,PI,NULL,285,148
31-834,31834,PI,NULL,261,113
31-835,31835,PI,NULL,403,236
31-836,31836,PI,NULL,326,117
31-837,31837,PI,NULL,231,120
31-838,31838,PI,NULL,203,114
31-839,31839,PI,NULL,23,17
31-840,31840,PI,NULL,147,52
31-841,31841,PI,NULL,139,89
31-842,31842,PI,NULL,289,106
31-843,31843,PI,NULL,213,90
31-844,31844,PI,NULL,198,90
31-845,31845,PI,NULL,222,133
31-846,31846,PI,NULL,116,46
31-847,31847,PI,NULL,118,80
31-848,31848,PI,NULL,53,22
31-849,31849,PI,NULL,100,45
31-853,31853,PI,NULL,55,30
31-854,31854,PI,NULL,123,78
31-855,31855,PI,NULL,168,112
31-856,31856,PI,NULL,265,110
31-857,31857,PI,NULL,146,93
31-861,31861,PI,NULL,81,36
31-865,31865,PI,NULL,83,47
31-869,31869,PI,NULL,161,58
31-875,31875,PI,NULL,379,180
31-876,31876,PI,NULL,17,9
31-877,31877,PI,NULL,159,69
31-879,31879,PI,NULL,85,25
31-880,31880,PI,NULL,113,54
31-881,31881,PI,NULL,218,73
31-882,31882,PI,NULL,326,138
31-883,31883,PI,NULL,434,158
31-884,31884,PI,NULL,411,121
31-885,31885,PI,NULL,97,77
31-886,31886,PI,NULL,304,136
31-887,31887,PI,NULL,258,107
31-888,31888,PI,NULL,229,110
31-890,31890,PI,NULL,174,77
31-891,31891,PI,NULL,90,60
31-892(*),31892,PI,NULL,0,0
31-893(*),31893,PI,NULL,0,0
31-894,31894,PI,NULL,41,24
31-895,31895,PI,NULL,277,90
31-896,31896,PI,NULL,4,3
31-897,31897,PI,NULL,164,59
31-898,31898,PI,NULL,324,165
31-899,31899,PI,NULL,165,86
31-900,31900,PI,NULL,221,89
31-901,31901,PI,NULL,31,18
31-902,31902,PI,NULL,385,229
31-903(*),31903,PI,NULL,0,0
31-904,31904,PI,NULL,44,33
31-905,31905,PI,NULL,270,132
31-906,31906,PI,NULL,152,75
31-907,31907,PI,NULL,240,114
31-908,31908,PI,NULL,205,86
31-909,31909,PI,NULL,195,120
31-910,31910,PI,NULL,237,117
31-911,31911,PI,NULL,168,72
31-912,31912,PI,NULL,179,102
31-913,31913,PI,NULL,145,40
31-914,31914,PI,NULL,202,89
31-915,31915,PI,NULL,60,15
31-916,31916,PI,NULL,270,115
31-917,31917,PI,NULL,410,164
31-919,31919,PI,NULL,231,150
31-920,31920,PI,NULL,165,139
31-921,31921,PI,NULL,245,117
31-923,31923,PI,NULL,198,119
31-924,31924,PI,NULL,207,72
31-925,31925,PI,NULL,58,62
31-926,31926,PI,NULL,8,5
31-927,31927,PI,NULL,277,102
