Row Label,PrecinctCode,County,Registered Voters,Jim Duncan,Dale Johnson
Total,-1,WL,NULL,9538,6652
Alderbrook 01,1,WL,NULL,111,107
Alder 02,2,WL,NULL,77,82
Ash 03,3,WL,NULL,221,156
Baumeister 04,4,WL,NULL,209,157
Birch 05,5,WL,NULL,128,102
Clark 06,6,WL,NULL,79,81
College 07,7,WL,NULL,107,123
Edison 08,8,WL,NULL,139,104
Garfield 09,9,WL,NULL,149,137
Green Park 10,10,WL,NULL,88,96
Henderson 11,11,WL,NULL,133,117
Isaacs 12,12,WL,NULL,96,81
Jefferson 13,13,WL,NULL,327,213
Maple 16,16,WL,NULL,276,204
Marcus 17,17,WL,NULL,326,274
Monroe 18,18,WL,NULL,357,215
Paine 20,20,WL,NULL,61,72
Pine 21,21,WL,NULL,98,62
Pleasant 22,22,WL,NULL,253,225
Sharpstein 23,23,WL,NULL,109,109
Spruce 24,24,WL,NULL,95,93
Stadium 25,25,WL,NULL,110,112
Tausick 26,26,WL,NULL,139,111
Wainwright 28,28,WL,NULL,237,154
Watertown 29,29,WL,NULL,124,103
Abbott 31,31,WL,NULL,200,87
Baker 33,33,WL,NULL,66,29
Ice Harbor 34,34,WL,NULL,264,116
Berney 35,35,WL,NULL,148,86
Blalock 36,36,WL,NULL,266,163
Braden 37,37,WL,NULL,315,160
Burbank 38,38,WL,NULL,302,157
Clyde 39,39,WL,NULL,22,7
Derry 40,40,WL,NULL,97,56
Dixie 41,41,WL,NULL,149,94
Eureka 5 42(*),42,WL,NULL,0,0
Eureka 4 43(*),43,WL,NULL,0,0
Frenchtown 5 44,44,WL,NULL,112,74
Frenchtown 4 45,45,WL,NULL,27,15
Garrison 46,46,WL,NULL,159,53
Gose 47,47,WL,NULL,71,24
Lincoln 49,49,WL,NULL,49,13
Mill Creek 50,50,WL,NULL,143,84
Moore 51,51,WL,NULL,122,86
Pros Point 52,52,WL,NULL,539,284
Ritz 53,53,WL,NULL,301,204
McNary 54,54,WL,NULL,164,59
Touchet 4 55,55,WL,NULL,172,124
Touchet 5 56,56,WL,NULL,2,2
Twin Grove 57,57,WL,NULL,129,102
Yellowhawk 58,58,WL,NULL,25,14
Wallula 59,59,WL,NULL,22,17
Washington 60,60,WL,NULL,95,40
CP 1 61,61,WL,NULL,251,207
CP 2 62,62,WL,NULL,194,155
CP 3 63,63,WL,NULL,234,202
Prescott 64,64,WL,NULL,45,33
Waitsburg 65,65,WL,NULL,250,168
CP 4 66,66,WL,NULL,255,244
CP 5 67,67,WL,NULL,232,156
CP 6 68,68,WL,NULL,36,28
