Row Label,PrecinctCode,County,Registered Voters,Dianne Dorey,Candy Hallom
Total,-1,LE,NULL,10691,10662
Adna ,1,LE,NULL,265,329
Agate,2,LE,NULL,101,69
Alpha,3,LE,NULL,235,218
Berwick,4,LE,NULL,238,244
Big Bottom,5,LE,NULL,168,166
Boistfort,6,LE,NULL,70,54
Cinebar,7,LE,NULL,126,167
Claquato,8,LE,NULL,157,186
Cowlitz,9,LE,NULL,274,248
Crego,10,LE,NULL,317,456
Curtis,11,LE,NULL,62,71
Drews Prairie,12,LE,NULL,113,43
Dryad,13,LE,NULL,64,58
Elk Crk,14,LE,NULL,63,62
Emery,15,LE,NULL,102,106
Emery North(*),16,LE,NULL,0,0
Ethel,17,LE,NULL,233,219
Evaline East,18,LE,NULL,59,64
Evaline West,19,LE,NULL,83,96
Fair,20,LE,NULL,0,0
Fords Prairie,21,LE,NULL,177,180
Forest,22,LE,NULL,193,173
Greenwood,23,LE,NULL,6,8
Harmony,24,LE,NULL,147,174
Independence,25,LE,NULL,31,34
Jackson,26,LE,NULL,198,217
Jackson North,27,LE,NULL,0,0
Kelly,28,LE,NULL,0,0
Klickitat,29,LE,NULL,102,99
Lincoln Creek,30,LE,NULL,155,138
Logan,31,LE,NULL,165,156
Mauermann,32,LE,NULL,37,44
Mellen(*),33,LE,NULL,0,0
Meskill,34,LE,NULL,35,36
Mineral,35,LE,NULL,114,52
Newaukum,36,LE,NULL,153,162
Onalaska,37,LE,NULL,332,306
Packwood,38,LE,NULL,45,50
Paradise,39,LE,NULL,23,25
Parcuvia,40,LE,NULL,131,140
Prescott,41,LE,NULL,328,308
Randle East,42,LE,NULL,140,168
Randle West,43,LE,NULL,92,141
Roswell,44,LE,NULL,2,6
Salkum,45,LE,NULL,132,120
Salmon Creek,46,LE,NULL,283,249
Salzer,47,LE,NULL,85,73
Sears,48,LE,NULL,110,123
Seminary Hill,49,LE,NULL,89,100
Silver Creek,50,LE,NULL,161,137
Skookumchuck,51,LE,NULL,155,185
Sommerville,52,LE,NULL,28,34
Stearns Creek,53,LE,NULL,63,77
Stillwater East,54,LE,NULL,44,42
Stillwater West,55,LE,NULL,98,62
Temple,56,LE,NULL,125,148
Union,57,LE,NULL,114,129
Urquhart,58,LE,NULL,85,113
Veness,59,LE,NULL,178,166
Verndale,60,LE,NULL,133,156
Whealdon,61,LE,NULL,122,133
Centralia #1,101,LE,NULL,62,80
Centralia #2,102,LE,NULL,192,184
Centralia #3,103,LE,NULL,64,76
Centralia #4,104,LE,NULL,110,112
Centralia #5,105,LE,NULL,79,70
Centralia #6,106,LE,NULL,148,143
Centralia #7,107,LE,NULL,69,76
Centralia #8,108,LE,NULL,90,88
Centralia #9,109,LE,NULL,190,169
Centralia #10,110,LE,NULL,70,60
Centralia #11,111,LE,NULL,165,189
Centralia #12,112,LE,NULL,273,156
Centralia #13,113,LE,NULL,226,212
Chehalis #1,201,LE,NULL,132,103
Chehalis #2,202,LE,NULL,100,79
Chehalis #3,203,LE,NULL,99,89
Chehalis #4,204,LE,NULL,75,97
Chehalis #5,205,LE,NULL,88,72
Chehalis #6,206,LE,NULL,164,170
Chehalis #7,207,LE,NULL,24,29
Chehalis #8,208,LE,NULL,124,131
Chehalis #9,209,LE,NULL,6,8
Morton,300,LE,NULL,136,117
Mossyrock,400,LE,NULL,80,46
Napavine #1,501,LE,NULL,206,229
Napavine #2,502,LE,NULL,0,0
Napavine #3(*),503,LE,NULL,0,0
Napavine #4,504,LE,NULL,0,0
Napavine #5,505,LE,NULL,0,0
Napavine #6,506,LE,NULL,0,0
Pe Ell,600,LE,NULL,80,102
Toledo,700,LE,NULL,89,81
Vader,800,LE,NULL,71,59
Winlock,900,LE,NULL,135,111
