Row Label,PrecinctCode,County,Registered Voters,Dolly Hunt,Robin McCroskey
Total,-1,PE,NULL,3228,1397
Camden,1,PE,NULL,106,52
Cusick,2,PE,NULL,92,36
Dalkena,3,PE,NULL,219,60
Diamond Lk East,4,PE,NULL,74,29
Fertile Valley North,5,PE,NULL,90,61
Furport,6,PE,NULL,185,59
Ione East,7,PE,NULL,103,48
Ione West,8,PE,NULL,123,64
Metaline,9,PE,NULL,68,23
Metaline Falls,10,PE,NULL,117,43
Tiger Dry Canyon,11,PE,NULL,193,91
Newport NE,12,PE,NULL,172,68
Newport SE,13,PE,NULL,67,42
Newport NW,14,PE,NULL,164,65
Newport SW,15,PE,NULL,131,50
Noble,16,PE,NULL,215,99
Ruby,17,PE,NULL,20,6
Sacheen,18,PE,NULL,149,80
Usk,19,PE,NULL,112,60
Diamond Lk West,20,PE,NULL,123,47
Deer Valley North,21,PE,NULL,170,49
Locke,22,PE,NULL,31,7
Kalispel Leclerc,23,PE,NULL,89,49
Skookum,24,PE,NULL,42,20
Deer Valley South,25,PE,NULL,51,21
Fertile Valley South,26,PE,NULL,85,59
Diamond Lk,27,PE,NULL,237,109
