Row Label,PrecinctCode,County,Registered Voters,Kathy A Brack
Total,-1,LE,NULL,17654
Adna ,1,LE,NULL,461
Agate,2,LE,NULL,137
Alpha,3,LE,NULL,363
Berwick,4,LE,NULL,413
Big Bottom,5,LE,NULL,288
Boistfort,6,LE,NULL,103
Cinebar,7,LE,NULL,235
Claquato,8,LE,NULL,267
Cowlitz,9,LE,NULL,457
Crego,10,LE,NULL,622
Curtis,11,LE,NULL,110
Drews Prairie,12,LE,NULL,143
Dryad,13,LE,NULL,91
Elk Crk,14,LE,NULL,91
Emery,15,LE,NULL,158
Emery North,16,LE,NULL,2
Ethel,17,LE,NULL,352
Evaline East,18,LE,NULL,95
Evaline West,19,LE,NULL,147
Fair,20,LE,NULL,0
Fords Prairie,21,LE,NULL,317
Forest,22,LE,NULL,301
Greenwood,23,LE,NULL,11
Harmony,24,LE,NULL,273
Independence,25,LE,NULL,56
Jackson,26,LE,NULL,347
Jackson North,27,LE,NULL,0
Kelly,28,LE,NULL,0
Klickitat,29,LE,NULL,161
Lincoln Creek,30,LE,NULL,222
Logan,31,LE,NULL,268
Mauermann,32,LE,NULL,63
Mellen,33,LE,NULL,1
Meskill,34,LE,NULL,54
Mineral,35,LE,NULL,144
Newaukum,36,LE,NULL,243
Onalaska,37,LE,NULL,525
Packwood,38,LE,NULL,73
Paradise,39,LE,NULL,37
Parcuvia,40,LE,NULL,218
Prescott,41,LE,NULL,529
Randle East,42,LE,NULL,239
Randle West,43,LE,NULL,190
Roswell,44,LE,NULL,7
Salkum,45,LE,NULL,233
Salmon Creek,46,LE,NULL,469
Salzer,47,LE,NULL,121
Sears,48,LE,NULL,205
Seminary Hill,49,LE,NULL,139
Silver Creek,50,LE,NULL,265
Skookumchuck,51,LE,NULL,270
Sommerville,52,LE,NULL,49
Stearns Creek,53,LE,NULL,104
Stillwater East,54,LE,NULL,81
Stillwater West,55,LE,NULL,141
Temple,56,LE,NULL,216
Union,57,LE,NULL,204
Urquhart,58,LE,NULL,167
Veness,59,LE,NULL,279
Verndale,60,LE,NULL,246
Whealdon,61,LE,NULL,204
Centralia #1,101,LE,NULL,121
Centralia #2,102,LE,NULL,311
Centralia #3,103,LE,NULL,119
Centralia #4,104,LE,NULL,180
Centralia #5,105,LE,NULL,128
Centralia #6,106,LE,NULL,235
Centralia #7,107,LE,NULL,121
Centralia #8,108,LE,NULL,139
Centralia #9,109,LE,NULL,304
Centralia #10,110,LE,NULL,123
Centralia #11,111,LE,NULL,297
Centralia #12,112,LE,NULL,368
Centralia #13,113,LE,NULL,373
Chehalis #1,201,LE,NULL,202
Chehalis #2,202,LE,NULL,146
Chehalis #3,203,LE,NULL,156
Chehalis #4,204,LE,NULL,142
Chehalis #5,205,LE,NULL,134
Chehalis #6,206,LE,NULL,277
Chehalis #7,207,LE,NULL,47
Chehalis #8,208,LE,NULL,198
Chehalis #9,209,LE,NULL,12
Morton,300,LE,NULL,213
Mossyrock,400,LE,NULL,112
Napavine #1,501,LE,NULL,369
Napavine #2,502,LE,NULL,0
Napavine #3,503,LE,NULL,3
Napavine #4,504,LE,NULL,0
Napavine #5,505,LE,NULL,0
Napavine #6,506,LE,NULL,0
Pe Ell,600,LE,NULL,151
Toledo,700,LE,NULL,143
Vader,800,LE,NULL,109
Winlock,900,LE,NULL,214
