Row Label,PrecinctCode,County,Registered Voters,Arny Davis
Total,-1,LE,NULL,17029
Adna ,1,LE,NULL,472
Agate,2,LE,NULL,136
Alpha,3,LE,NULL,347
Berwick,4,LE,NULL,394
Big Bottom,5,LE,NULL,278
Boistfort,6,LE,NULL,95
Cinebar,7,LE,NULL,227
Claquato,8,LE,NULL,267
Cowlitz,9,LE,NULL,426
Crego,10,LE,NULL,599
Curtis,11,LE,NULL,103
Drews Prairie,12,LE,NULL,133
Dryad,13,LE,NULL,93
Elk Crk,14,LE,NULL,86
Emery,15,LE,NULL,160
Emery North,16,LE,NULL,2
Ethel,17,LE,NULL,328
Evaline East,18,LE,NULL,92
Evaline West,19,LE,NULL,144
Fair,20,LE,NULL,0
Fords Prairie,21,LE,NULL,301
Forest,22,LE,NULL,288
Greenwood,23,LE,NULL,9
Harmony,24,LE,NULL,260
Independence,25,LE,NULL,55
Jackson,26,LE,NULL,335
Jackson North,27,LE,NULL,0
Kelly,28,LE,NULL,0
Klickitat,29,LE,NULL,156
Lincoln Creek,30,LE,NULL,224
Logan,31,LE,NULL,261
Mauermann,32,LE,NULL,60
Mellen,33,LE,NULL,1
Meskill,34,LE,NULL,53
Mineral,35,LE,NULL,138
Newaukum,36,LE,NULL,249
Onalaska,37,LE,NULL,502
Packwood,38,LE,NULL,70
Paradise,39,LE,NULL,40
Parcuvia,40,LE,NULL,208
Prescott,41,LE,NULL,507
Randle East,42,LE,NULL,227
Randle West,43,LE,NULL,182
Roswell,44,LE,NULL,8
Salkum,45,LE,NULL,218
Salmon Creek,46,LE,NULL,416
Salzer,47,LE,NULL,117
Sears,48,LE,NULL,196
Seminary Hill,49,LE,NULL,131
Silver Creek,50,LE,NULL,258
Skookumchuck,51,LE,NULL,268
Sommerville,52,LE,NULL,52
Stearns Creek,53,LE,NULL,103
Stillwater East,54,LE,NULL,75
Stillwater West,55,LE,NULL,135
Temple,56,LE,NULL,198
Union,57,LE,NULL,197
Urquhart,58,LE,NULL,163
Veness,59,LE,NULL,259
Verndale,60,LE,NULL,239
Whealdon,61,LE,NULL,191
Centralia #1,101,LE,NULL,117
Centralia #2,102,LE,NULL,303
Centralia #3,103,LE,NULL,118
Centralia #4,104,LE,NULL,177
Centralia #5,105,LE,NULL,130
Centralia #6,106,LE,NULL,234
Centralia #7,107,LE,NULL,122
Centralia #8,108,LE,NULL,145
Centralia #9,109,LE,NULL,294
Centralia #10,110,LE,NULL,112
Centralia #11,111,LE,NULL,293
Centralia #12,112,LE,NULL,356
Centralia #13,113,LE,NULL,362
Chehalis #1,201,LE,NULL,196
Chehalis #2,202,LE,NULL,136
Chehalis #3,203,LE,NULL,156
Chehalis #4,204,LE,NULL,136
Chehalis #5,205,LE,NULL,127
Chehalis #6,206,LE,NULL,261
Chehalis #7,207,LE,NULL,46
Chehalis #8,208,LE,NULL,193
Chehalis #9,209,LE,NULL,13
Morton,300,LE,NULL,200
Mossyrock,400,LE,NULL,110
Napavine #1,501,LE,NULL,358
Napavine #2,502,LE,NULL,0
Napavine #3,503,LE,NULL,3
Napavine #4,504,LE,NULL,0
Napavine #5,505,LE,NULL,0
Napavine #6,506,LE,NULL,0
Pe Ell,600,LE,NULL,142
Toledo,700,LE,NULL,140
Vader,800,LE,NULL,105
Winlock,900,LE,NULL,212
