Row Label,PrecinctCode,County,Registered Voters,Ruth Gordon
Total,-1,JE,NULL,10686
101 Gardiner,101,JE,NULL,125
102 Port Discovery,102,JE,NULL,140
103 Crocker,103,JE,NULL,121
104 Cape George,104,JE,NULL,378
105 Discovery Bay,105,JE,NULL,359
106 North Jacob,106,JE,NULL,270
107 South Jacob,107,JE,NULL,352
200 Coyle,200,JE,NULL,159
201 Quilcene,201,JE,NULL,314
204 Brinnon,204,JE,NULL,388
300 Chimacum I,300,JE,NULL,221
301 Chimacum II,301,JE,NULL,146
302 Center I,302,JE,NULL,190
303 Hadlock,303,JE,NULL,337
304 Kala Point,304,JE,NULL,385
305 Irondale I,305,JE,NULL,260
306 Irondale II,306,JE,NULL,339
307 Four Corners,307,JE,NULL,230
308 Center II,308,JE,NULL,120
401 Nordland,401,JE,NULL,341
500 Port Ludlow,500,JE,NULL,349
501 Port Ludlow I,501,JE,NULL,423
502 Port Ludlow II,502,JE,NULL,258
503 Port Ludlow III,503,JE,NULL,233
504 Port Ludlow IV,504,JE,NULL,184
505 Port Ludlow V,505,JE,NULL,286
600 Hoh,600,JE,NULL,26
601 Queets,601,JE,NULL,25
700 Port Townsend,700,JE,NULL,358
701 Port Townsend,701,JE,NULL,172
702 Port Townsend,702,JE,NULL,228
703 Port Townsend,703,JE,NULL,261
704 Port Townsend,704,JE,NULL,192
705 Port Townsend,705,JE,NULL,226
706 Port Townsend,706,JE,NULL,581
707 Port Townsend,707,JE,NULL,470
708 Port Townsend,708,JE,NULL,489
709 Port Townsend,709,JE,NULL,468
710 Port Townsend,710,JE,NULL,282
