Row Label,PrecinctCode,County,Registered Voters,Karen Valenzuela,Bud Blake
Total,-1,TH,NULL,34619,41690
Cougar Mountain,28,TH,NULL,32,48
Clear Lake,30,TH,NULL,170,304
Lackamas,31,TH,NULL,61,63
Morris,32,TH,NULL,115,244
Evergreen Ballroom,33,TH,NULL,146,251
Trails End,34,TH,NULL,227,352
Kaiser,35,TH,NULL,87,68
Rich(*),36,TH,NULL,0,0
Delta(*),38,TH,NULL,0,0
Jones Beach,39,TH,NULL,84,109
Simmons 9,42,TH,NULL,4,2
University North,43,TH,NULL,49,89
Steamboat Island,44,TH,NULL,137,136
Rocky Prairie,45,TH,NULL,72,161
Lawrence Lake,46,TH,NULL,133,266
Woodard Creek,47,TH,NULL,122,169
Michigan Hill,48,TH,NULL,57,151
Scott Lake South,49,TH,NULL,93,159
Salmon Creek,50,TH,NULL,70,133
Spurgeon Creek,51,TH,NULL,53,97
James,52,TH,NULL,70,225
Vail,53,TH,NULL,132,253
Rochester 5,54,TH,NULL,84,249
Rochester 4,55,TH,NULL,78,182
Medicine Creek,57,TH,NULL,49,99
Skokomish,58,TH,NULL,123,142
Pleasant Hill,59,TH,NULL,138,201
Smith Prairie,60,TH,NULL,104,276
Black River,62,TH,NULL,155,331
Ames,63,TH,NULL,161,133
Airport,64,TH,NULL,11,18
Luhr Beach,65,TH,NULL,148,242
Fish Trap,66,TH,NULL,133,129
Quince(*),67,TH,NULL,0,0
Simmons 2,68,TH,NULL,5,2
Simmons 3,69,TH,NULL,7,6
Simmons 4,70,TH,NULL,6,12
Pines,74,TH,NULL,100,147
Long Lake,75,TH,NULL,38,46
Hawk Acres,76,TH,NULL,91,133
Zenkner Valley,77,TH,NULL,15,62
Tri Lakes,78,TH,NULL,82,101
University South,79,TH,NULL,68,115
Tolmie,80,TH,NULL,49,88
Military,81,TH,NULL,58,103
Glen Terra,82,TH,NULL,45,57
Prine,83,TH,NULL,21,43
Glenwood,84,TH,NULL,65,55
Greenridge,86,TH,NULL,87,112
Woodland,88,TH,NULL,135,163
Tilley,89,TH,NULL,136,238
Sweet Briar,90,TH,NULL,231,208
Deerbrush,91,TH,NULL,132,217
Mushroom Corner,92,TH,NULL,143,154
Trailblazer,93,TH,NULL,50,68
Frye Cove,94,TH,NULL,183,204
Oyster Bay,95,TH,NULL,165,207
Summit Lake,96,TH,NULL,98,186
Delridge,97,TH,NULL,30,58
Marvin,98,TH,NULL,139,227
Alpine,99,TH,NULL,260,302
Hewitt Lake,100,TH,NULL,211,192
Zangle,101,TH,NULL,156,153
Boston Harbor,102,TH,NULL,244,140
Gull Harbor,103,TH,NULL,117,106
Friendly Grove,104,TH,NULL,83,122
South Bay,105,TH,NULL,166,232
Puget,106,TH,NULL,151,271
Bigelow,107,TH,NULL,156,137
Pleasant Glade,109,TH,NULL,90,113
Montgomery,110,TH,NULL,82,84
Nisqually,111,TH,NULL,99,151
Roosevelt,112,TH,NULL,188,206
Kinwood,113,TH,NULL,120,142
Mckinley,114,TH,NULL,61,51
Forest,115,TH,NULL,203,244
St Clair,116,TH,NULL,109,216
Hicks,117,TH,NULL,31,23
Fleetwood,118,TH,NULL,154,254
Lydia Hawk,119,TH,NULL,209,291
Hays,120,TH,NULL,94,139
Indian Summer,121,TH,NULL,140,242
Chambers,122,TH,NULL,176,342
Freedom,123,TH,NULL,156,244
Fristoe,124,TH,NULL,84,137
Deschutes,125,TH,NULL,110,265
Longmire,126,TH,NULL,70,132
Ruth Prairie,127,TH,NULL,47,101
Weir Prairie,128,TH,NULL,122,215
College,129,TH,NULL,34,11
Bald Hills,130,TH,NULL,45,60
Hunter Point,131,TH,NULL,98,123
Griffin,132,TH,NULL,154,162
Schneiders Prairie,133,TH,NULL,125,144
Cooper Point,134,TH,NULL,134,203
Butler Cove,135,TH,NULL,156,156
Broadway,136,TH,NULL,229,196
Plainview,139,TH,NULL,279,242
Mud Bay,140,TH,NULL,142,176
Mclane,141,TH,NULL,113,144
Bush Prairie,143,TH,NULL,29,56
Black Lake,144,TH,NULL,174,268
Delphi,145,TH,NULL,122,197
South Union,146,TH,NULL,163,287
Plumb,147,TH,NULL,118,248
Scatter Creek,148,TH,NULL,60,179
Mcintosh,149,TH,NULL,208,375
Violet Prairie,150,TH,NULL,102,290
Littlerock,151,TH,NULL,174,351
Rochester 1,153,TH,NULL,114,282
Rochester 2,154,TH,NULL,79,223
Scott Lake North,155,TH,NULL,62,90
Grand Mound,156,TH,NULL,33,116
Gibson Valley,157,TH,NULL,10,49
Skookumchuck,158,TH,NULL,73,243
Johnson Point,160,TH,NULL,171,263
Wards,161,TH,NULL,89,56
Thompson,162,TH,NULL,89,103
Smith Lake,163,TH,NULL,134,185
Evergreen Shores,164,TH,NULL,129,155
Sunwood Lakes,165,TH,NULL,221,288
Eaton Creek,166,TH,NULL,63,137
Hawks Ridge,167,TH,NULL,60,64
Holmes,168,TH,NULL,126,160
Mcallister Creek,169,TH,NULL,108,143
Rochester 3,170,TH,NULL,82,234
Waddell Creek,171,TH,NULL,101,176
Tykle Cove,172,TH,NULL,149,189
Camelot,173,TH,NULL,87,140
French,174,TH,NULL,224,136
Sunset Beach,175,TH,NULL,220,177
Henderson,176,TH,NULL,183,266
Pattison,178,TH,NULL,140,201
Four Corners,179,TH,NULL,185,309
Stedman,180,TH,NULL,85,161
Munn Lake,182,TH,NULL,75,126
Beach Crest,183,TH,NULL,120,130
Scheller,184,TH,NULL,47,112
Fair Oaks,185,TH,NULL,105,132
Wilderness,186,TH,NULL,224,224
Mullen,187,TH,NULL,157,214
Sleater Kinney,189,TH,NULL,118,178
Lakeside,190,TH,NULL,63,110
Gallagher Cove,191,TH,NULL,226,283
East Olympia,192,TH,NULL,106,205
Berry Valley,193,TH,NULL,124,151
Hartwood,194,TH,NULL,226,341
Libby,195,TH,NULL,143,141
Meadows,196,TH,NULL,91,174
Summerset,197,TH,NULL,199,337
Henness,198,TH,NULL,128,420
Beaver Creek,199,TH,NULL,165,438
Olympia 01,201,TH,NULL,172,100
Olympia 02,202,TH,NULL,157,120
Olympia 03,203,TH,NULL,187,114
Olympia 04,204,TH,NULL,162,104
Olympia 05,205,TH,NULL,193,73
Olympia 06,206,TH,NULL,271,224
Olympia 07,207,TH,NULL,117,44
Olympia 08,208,TH,NULL,154,155
Olympia 09,209,TH,NULL,293,220
Olympia 10,210,TH,NULL,266,70
Olympia 11,211,TH,NULL,197,70
Olympia 12,212,TH,NULL,64,87
Olympia 13,213,TH,NULL,233,81
Olympia 14,214,TH,NULL,179,87
Olympia 15,215,TH,NULL,179,68
Olympia 16,216,TH,NULL,31,20
Olympia 17,217,TH,NULL,98,98
Olympia 18,218,TH,NULL,206,87
Olympia 19,219,TH,NULL,164,96
Olympia 20,220,TH,NULL,120,39
Olympia 21,221,TH,NULL,279,154
Olympia 23,223,TH,NULL,246,125
Olympia 24,224,TH,NULL,185,94
Olympia 25,225,TH,NULL,128,106
Olympia 26,226,TH,NULL,211,79
Olympia 27,227,TH,NULL,84,53
Olympia 28,228,TH,NULL,238,94
Olympia 29,229,TH,NULL,176,176
Olympia 30,230,TH,NULL,178,88
Olympia 31,231,TH,NULL,130,136
