Row Label,PrecinctCode,County,Registered Voters,Elizabeth Penoyar
Total,-1,PA,NULL,2511
Baleville,1,PA,NULL,52
Bay Center,2,PA,NULL,131
Eklund Park,4,PA,NULL,63
Frances-Lebam,6,PA,NULL,126
Menlo-Firdale,11,PA,NULL,282
North Cove,16,PA,NULL,235
North River,18,PA,NULL,24
Raymond W2 R,23,PA,NULL,39
Raymond W3 R,24,PA,NULL,35
Smith Creek,27,PA,NULL,46
South Bend 1 R,28,PA,NULL,43
South Bend 3R,29,PA,NULL,5
South Bend 2R,30,PA,NULL,9
South Fork,32,PA,NULL,105
Willapa,34,PA,NULL,344
Raymond W1p1,105,PA,NULL,27
Raymond W1p2,106,PA,NULL,107
Raymond W1p3,107,PA,NULL,113
Raymond W2,108,PA,NULL,137
Raymond W3,110,PA,NULL,187
South Bend 1,113,PA,NULL,173
South Bend 2,115,PA,NULL,90
South Bend 3,117,PA,NULL,138
