Row Label,PrecinctCode,County,Registered Voters,Rich Melnick
Total,-1,SM,NULL,2296
BEAR PRAIRIE,100,SM,NULL,93
MT. PLEASANT,101,SM,NULL,107
SKYE,102,SM,NULL,116
UPPER WASHOUGAL,103,SM,NULL,110
LEWIS RIVER,104,SM,NULL,8
CAPE HORN,105,SM,NULL,118
SKAMANIA,106,SM,NULL,142
CASCADES,201,SM,NULL,4
NORTH BONNEVILLE,202,SM,NULL,187
ROCK CREEK,203,SM,NULL,84
MAPLE VIEW,204,SM,NULL,148
NORTH STEVENSON,205,SM,NULL,105
SOUTH STEVENSON,206,SM,NULL,33
NELSON CREEK,207,SM,NULL,55
CARSON CREEK,208,SM,NULL,150
STABLER,300,SM,NULL,155
WIND RIVER,303,SM,NULL,132
HOT SPRINGS NORTH,304,SM,NULL,56
HOT SPRINGS SOUTH,305,SM,NULL,98
WIND MOUNTAIN,307,SM,NULL,56
CHENOWITH,309,SM,NULL,87
UNDERWOOD NORTH,310,SM,NULL,133
UNDERWOOD SOUTH,311,SM,NULL,119
