Row Label,PrecinctCode,County,Registered Voters,Stephen M. Brown
Total,-1,DG,NULL,6757
PRECINCT 101,101,DG,NULL,145
PRECINCT 102,102,DG,NULL,275
PRECINCT 103,103,DG,NULL,66
PRECINCT 104,104,DG,NULL,334
PRECINCT 105,105,DG,NULL,92
PRECINCT 106,106,DG,NULL,129
PRECINCT 107,107,DG,NULL,115
PRECINCT 108,108,DG,NULL,131
PRECINCT 109,109,DG,NULL,104
PRECINCT 110,110,DG,NULL,189
PRECINCT 111,111,DG,NULL,233
PRECINCT 112,112,DG,NULL,154
PRECINCT 113,113,DG,NULL,153
PRECINCT 114,114,DG,NULL,118
PRECINCT 201,201,DG,NULL,156
PRECINCT 202,202,DG,NULL,63
PRECINCT 203,203,DG,NULL,201
PRECINCT 204,204,DG,NULL,214
PRECINCT 205,205,DG,NULL,281
PRECINCT 206,206,DG,NULL,121
PRECINCT 207,207,DG,NULL,254
PRECINCT 208,208,DG,NULL,119
PRECINCT 209,209,DG,NULL,226
PRECINCT 210,210,DG,NULL,82
PRECINCT 211,211,DG,NULL,58
PRECINCT 212,212,DG,NULL,142
PRECINCT 213,213,DG,NULL,112
PRECINCT 214,214,DG,NULL,53
PRECINCT 215,215,DG,NULL,192
PRECINCT 301,301,DG,NULL,289
PRECINCT 302,302,DG,NULL,237
PRECINCT 303,303,DG,NULL,145
PRECINCT 304,304,DG,NULL,37
PRECINCT 305,305,DG,NULL,114
PRECINCT 306,306,DG,NULL,115
PRECINCT 307,307,DG,NULL,33
PRECINCT 308,308,DG,NULL,30
PRECINCT 309,309,DG,NULL,54
PRECINCT 310,310,DG,NULL,84
PRECINCT 311,311,DG,NULL,91
PRECINCT 312,312,DG,NULL,124
PRECINCT 313,313,DG,NULL,38
PRECINCT 314,314,DG,NULL,38
PRECINCT 315,315,DG,NULL,233
PRECINCT 316,316,DG,NULL,204
PRECINCT 317,317,DG,NULL,317
PRECINCT 318,318,DG,NULL,62
