Row Label,PrecinctCode,County,Registered Voters,Rob Lawrence-Berrey
Total,-1,KT,NULL,4873
ALDER CREEK,1,KT,NULL,104
CENTERVILLE,2,KT,NULL,186
COLUMBUS,3,KT,NULL,29
E KLICKITAT,4,KT,NULL,70
F VALLEY,5,KT,NULL,225
GLENWOOD,6,KT,NULL,170
HUSUM,7,KT,NULL,203
LYLE,8,KT,NULL,258
MT BROOK,9,KT,NULL,174
N DALLES,11,KT,NULL,243
N F VALLEY,12,KT,NULL,267
PINE FOREST,13,KT,NULL,461
ROOSEVELT,14,KT,NULL,49
TROUT LAKE,16,KT,NULL,186
W KLICKITAT,17,KT,NULL,53
WISHRAM,19,KT,NULL,65
WOODLAND,20,KT,NULL,503
ORCHARD HTS,21,KT,NULL,145
APPLETON,22,KT,NULL,63
ALDERDALE,23,KT,NULL,31
E LYLE,24,KT,NULL,81
RIVER,27,KT,NULL,18
HGH PRAIRIE,28,KT,NULL,34
BINGEN,101,KT,NULL,91
GOLDENDALE 1,102,KT,NULL,295
GOLDENDALE 2,103,KT,NULL,266
GOLDENDALE 3,104,KT,NULL,199
WHITE SALMON,109,KT,NULL,252
N WHITE SALMON,110,KT,NULL,152
