Row Label,PrecinctCode,County,Registered Voters,Vernon L. Schreiber
Total,-1,CR,NULL,79723
100,100,CR,NULL,419
102,102,CR,NULL,323
104,104,CR,NULL,397
106,106,CR,NULL,344
108,108,CR,NULL,379
110,110,CR,NULL,396
112,112,CR,NULL,36
113,113,CR,NULL,219
120,120,CR,NULL,463
130,130,CR,NULL,391
147,147,CR,NULL,316
150,150,CR,NULL,250
153,153,CR,NULL,281
160,160,CR,NULL,322
170,170,CR,NULL,315
175,175,CR,NULL,292
180,180,CR,NULL,336
190,190,CR,NULL,408
200,200,CR,NULL,419
220,220,CR,NULL,301
225,225,CR,NULL,541
240,240,CR,NULL,459
245,245,CR,NULL,428
250,250,CR,NULL,495
255,255,CR,NULL,419
257,257,CR,NULL,415
290,290,CR,NULL,394
294,294,CR,NULL,256
296,296,CR,NULL,284
298,298,CR,NULL,244
325,325,CR,NULL,304
327,327,CR,NULL,418
330,330,CR,NULL,406
335,335,CR,NULL,318
337,337,CR,NULL,347
338,338,CR,NULL,385
340,340,CR,NULL,400
350,350,CR,NULL,337
360,360,CR,NULL,385
370,370,CR,NULL,291
390,390,CR,NULL,472
395,395,CR,NULL,109
400,400,CR,NULL,230
410,410,CR,NULL,453
415,415,CR,NULL,305
420,420,CR,NULL,389
423,423,CR,NULL,315
424,424,CR,NULL,460
425,425,CR,NULL,300
426,426,CR,NULL,526
430,430,CR,NULL,289
432,432,CR,NULL,295
434,434,CR,NULL,275
435,435,CR,NULL,267
436,436,CR,NULL,240
440,440,CR,NULL,387
441,441,CR,NULL,391
444,444,CR,NULL,485
445,445,CR,NULL,494
446,446,CR,NULL,369
447,447,CR,NULL,473
448,448,CR,NULL,478
449,449,CR,NULL,513
450,450,CR,NULL,469
451,451,CR,NULL,386
452,452,CR,NULL,350
453,453,CR,NULL,367
455,455,CR,NULL,290
456,456,CR,NULL,534
460,460,CR,NULL,581
470,470,CR,NULL,521
480,480,CR,NULL,532
483,483,CR,NULL,545
485,485,CR,NULL,254
487,487,CR,NULL,198
490,490,CR,NULL,274
491,491,CR,NULL,26
500,500,CR,NULL,407
502,502,CR,NULL,346
503,503,CR,NULL,290
505,505,CR,NULL,452
510,510,CR,NULL,260
511,511,CR,NULL,23
515,515,CR,NULL,457
520,520,CR,NULL,212
521,521,CR,NULL,7
522,522,CR,NULL,135
523,523,CR,NULL,5
524,524,CR,NULL,37
525,525,CR,NULL,242
527,527,CR,NULL,317
528,528,CR,NULL,331
530,530,CR,NULL,163
535,535,CR,NULL,489
536,536,CR,NULL,243
537,537,CR,NULL,158
538,538,CR,NULL,194
540,540,CR,NULL,403
543,543,CR,NULL,368
545,545,CR,NULL,287
550,550,CR,NULL,439
553,553,CR,NULL,377
555,555,CR,NULL,474
560,560,CR,NULL,389
563,563,CR,NULL,450
565,565,CR,NULL,325
566,566,CR,NULL,267
570,570,CR,NULL,374
571,571,CR,NULL,383
572,572,CR,NULL,514
573,573,CR,NULL,486
574,574,CR,NULL,16
575,575,CR,NULL,118
576,576,CR,NULL,4
577,577,CR,NULL,504
578,578,CR,NULL,36
579,579,CR,NULL,16
580,580,CR,NULL,263
581,581,CR,NULL,197
582,582,CR,NULL,313
583,583,CR,NULL,306
584,584,CR,NULL,366
585,585,CR,NULL,454
586,586,CR,NULL,342
587,587,CR,NULL,319
588,588,CR,NULL,235
590,590,CR,NULL,511
591,591,CR,NULL,488
592,592,CR,NULL,465
593,593,CR,NULL,397
594,594,CR,NULL,13
595,595,CR,NULL,213
596,596,CR,NULL,0
597,597,CR,NULL,37
598,598,CR,NULL,11
600,600,CR,NULL,207
603,603,CR,NULL,210
605,605,CR,NULL,357
606,606,CR,NULL,67
610,610,CR,NULL,509
613,613,CR,NULL,168
615,615,CR,NULL,173
617,617,CR,NULL,397
618,618,CR,NULL,409
620,620,CR,NULL,434
624,624,CR,NULL,99
625,625,CR,NULL,399
626,626,CR,NULL,387
627,627,CR,NULL,388
628,628,CR,NULL,442
629,629,CR,NULL,358
630,630,CR,NULL,321
631,631,CR,NULL,455
632,632,CR,NULL,212
633,633,CR,NULL,376
634,634,CR,NULL,346
635,635,CR,NULL,315
636,636,CR,NULL,330
638,638,CR,NULL,352
639,639,CR,NULL,354
640,640,CR,NULL,409
641,641,CR,NULL,153
642,642,CR,NULL,180
643,643,CR,NULL,389
644,644,CR,NULL,410
645,645,CR,NULL,479
646,646,CR,NULL,194
647,647,CR,NULL,260
648,648,CR,NULL,329
649,649,CR,NULL,336
650,650,CR,NULL,396
651,651,CR,NULL,274
652,652,CR,NULL,366
653,653,CR,NULL,350
654,654,CR,NULL,275
655,655,CR,NULL,384
656,656,CR,NULL,193
658,658,CR,NULL,348
659,659,CR,NULL,395
660,660,CR,NULL,427
662,662,CR,NULL,409
663,663,CR,NULL,282
664,664,CR,NULL,402
667,667,CR,NULL,309
668,668,CR,NULL,384
669,669,CR,NULL,341
670,670,CR,NULL,416
672,672,CR,NULL,341
673,673,CR,NULL,438
674,674,CR,NULL,348
675,675,CR,NULL,251
677,677,CR,NULL,377
678,678,CR,NULL,298
679,679,CR,NULL,276
680,680,CR,NULL,309
681,681,CR,NULL,330
682,682,CR,NULL,357
683,683,CR,NULL,355
685,685,CR,NULL,103
686,686,CR,NULL,296
687,687,CR,NULL,376
688,688,CR,NULL,326
689,689,CR,NULL,412
690,690,CR,NULL,392
691,691,CR,NULL,387
692,692,CR,NULL,424
693,693,CR,NULL,243
694,694,CR,NULL,157
695,695,CR,NULL,416
696,696,CR,NULL,448
697,697,CR,NULL,504
698,698,CR,NULL,351
699,699,CR,NULL,330
700,700,CR,NULL,65
710,710,CR,NULL,188
720,720,CR,NULL,299
900,900,CR,NULL,350
903,903,CR,NULL,398
905,905,CR,NULL,407
910,910,CR,NULL,380
912,912,CR,NULL,335
913,913,CR,NULL,423
914,914,CR,NULL,409
917,917,CR,NULL,269
920,920,CR,NULL,319
925,925,CR,NULL,340
930,930,CR,NULL,357
935,935,CR,NULL,388
940,940,CR,NULL,338
947,947,CR,NULL,313
950,950,CR,NULL,382
951,951,CR,NULL,324
953,953,CR,NULL,180
957,957,CR,NULL,73
958,958,CR,NULL,70
959,959,CR,NULL,18
960,960,CR,NULL,437
961,961,CR,NULL,75
962,962,CR,NULL,280
963,963,CR,NULL,304
964,964,CR,NULL,397
965,965,CR,NULL,351
966,966,CR,NULL,241
967,967,CR,NULL,223
968,968,CR,NULL,340
969,969,CR,NULL,225
985,985,CR,NULL,322
