Row Label,PrecinctCode,County,Registered Voters,Patricia Lyon
Total,-1,SN,NULL,30678
RAINIER,10144171,SN,NULL,116
VIEW,10144330,SN,NULL,233
WITHERS,10144338,SN,NULL,252
CAVALRY,10144370,SN,NULL,204
VALLEY,10144559,SN,NULL,58
GATEWAY,10144581,SN,NULL,237
SNOCADE,10144592,SN,NULL,284
TOTEM FALLS,10144594,SN,NULL,292
WOODSHIRE,10144597,SN,NULL,169
KINGMAN,10144685,SN,NULL,310
BEAR CREEK,10154009,SN,NULL,152
MALTBY,10154026,SN,NULL,218
CATHCART,10154032,SN,NULL,152
CLEARVIEW,10154062,SN,NULL,232
MINOR,10154170,SN,NULL,216
BEECHER,10154178,SN,NULL,221
CREEK,10154283,SN,NULL,242
PARADISE,10154310,SN,NULL,204
TURNER,10154329,SN,NULL,284
WELLINGTON,10154333,SN,NULL,270
WHEELER,10154334,SN,NULL,173
BATTERY,10154369,SN,NULL,152
ECHO LAKE,10154372,SN,NULL,246
LOST LAKE,10154375,SN,NULL,141
BOSTIAN,10154387,SN,NULL,151
REES,10154435,SN,NULL,76
KOKANEE,10154535,SN,NULL,106
POND,10154551,SN,NULL,173
WELCH,10154560,SN,NULL,241
FALLS,10154579,SN,NULL,26
SILER,10154657,SN,NULL,122
HARTFORD,13914033,SN,NULL,102
NEWBERG,13914069,SN,NULL,187
PILCHUCK,13914275,SN,NULL,161
SPADA,13914439,SN,NULL,5
MENZEL,13914470,SN,NULL,159
INDEX,13951039,SN,NULL,39
MONROE  1,13951054,SN,NULL,256
MONROE  2,13951055,SN,NULL,238
SULTAN 1,13951070,SN,NULL,228
SULTAN 2,13951071,SN,NULL,210
MONROE  4,13951187,SN,NULL,251
MONROE  5,13951188,SN,NULL,281
SULTAN 3,13951322,SN,NULL,183
MONROE  3,13951431,SN,NULL,244
MONROE  6,13951506,SN,NULL,206
MONROE  7,13951548,SN,NULL,207
GOLD BAR 1,13951566,SN,NULL,161
GOLD BAR 2,13951567,SN,NULL,159
MONROE  8,13951568,SN,NULL,129
MONROE 10,13951586,SN,NULL,228
MONROE 11,13951587,SN,NULL,78
MONROE  9,13951653,SN,NULL,230
MONROE 12,13951654,SN,NULL,137
SULTAN 4,13951713,SN,NULL,157
PARK PLACE,13954003,SN,NULL,83
SULTAN RIVER,13954005,SN,NULL,200
TUALCO,13954007,SN,NULL,137
WALLACE,13954008,SN,NULL,155
LAKE,13954010,SN,NULL,240
SHORTS,13954013,SN,NULL,251
THREE LAKES,13954031,SN,NULL,165
ROOSEVELT,13954036,SN,NULL,107
SKYKOMISH,13954041,SN,NULL,55
OLNEY,13954043,SN,NULL,235
WINTER LAKE,13954058,SN,NULL,113
HIGHLAND,13954064,SN,NULL,187
TROMBLEY,13954272,SN,NULL,207
HIGH BRIDGE,13954292,SN,NULL,301
OWEN,13954309,SN,NULL,172
BLUFF,13954340,SN,NULL,242
CHAIN LAKE,13954371,SN,NULL,262
BROCKLIN,13954388,SN,NULL,215
HIGH ROCK,13954417,SN,NULL,192
MANN,13954425,SN,NULL,187
WAGNER,13954442,SN,NULL,236
