Row Label,PrecinctCode,County,Registered Voters,Noah A Zemke,Bob Bernd
Total,-1,GR,NULL,5046,11356
Airport 1 001,1,GR,NULL,84,136
Beverly 002,2,GR,NULL,15,15
Block 71 003,3,GR,NULL,130,320
Cascade Fairgrnd 004,4,GR,NULL,69,146
Coulee City 005,5,GR,NULL,53,115
Coulee Cty Rur W 006,6,GR,NULL,17,50
Electric City 007,7,GR,NULL,98,142
Ephrata 5 008,8,GR,NULL,52,163
Ephrata 2 009,9,GR,NULL,81,220
Ephrata 3 010,10,GR,NULL,64,134
Ephrata 4 011,11,GR,NULL,112,241
Ephrata 7 012,12,GR,NULL,77,203
Ephrata 9 013,13,GR,NULL,120,320
Ephrata Rural ,14,GR,NULL,58,171
George 015,15,GR,NULL,16,23
George Rural 016,16,GR,NULL,111,307
Gloyd 017,17,GR,NULL,65,171
Grand Coulee 018,18,GR,NULL,98,109
Hartline 019,19,GR,NULL,9,34
Hartline Rural S 020,20,GR,NULL,10,14
Lakeview Park 021,21,GR,NULL,81,158
Longview 022,22,GR,NULL,134,197
Mae 023,23,GR,NULL,221,491
Marlin 024,24,GR,NULL,4,13
Marlin Rural 025,25,GR,NULL,16,19
Mattawa 026,26,GR,NULL,18,19
Mattawa Rural 027,27,GR,NULL,127,218
McConihe 1 028,28,GR,NULL,41,116
Moses Lake 5 029,29,GR,NULL,72,214
Moses Lake 3 030,30,GR,NULL,116,316
Moses Lake 4 031,31,GR,NULL,94,167
Moses Lake 6 032,32,GR,NULL,151,262
Moses Lake 7 033,33,GR,NULL,102,240
Moses Lake 8 034,34,GR,NULL,140,305
Moses Lake 11 035,35,GR,NULL,163,374
Moses Lake 12 036,36,GR,NULL,101,215
North Banks Lake 037,37,GR,NULL,10,42
O Sullivan Dam 1 038,38,GR,NULL,107,307
Quincy 1 039,39,GR,NULL,78,148
Quincy 4 040,40,GR,NULL,47,85
Quincy 6 041,41,GR,NULL,113,267
Quincy Rural N 042,42,GR,NULL,41,142
Royal Camp 043,43,GR,NULL,100,246
Royal City 044,44,GR,NULL,32,58
Ruff 045,45,GR,NULL,8,33
Smyrna 1 046,46,GR,NULL,25,70
Soap Lake 1 047,47,GR,NULL,48,98
Soap Lake Rur E ,48,GR,NULL,26,50
Stratford 049,49,GR,NULL,2,38
Warden 050,50,GR,NULL,52,94
Warden Rural 051,51,GR,NULL,92,243
Soap Lake 2 052,52,GR,NULL,49,91
Westslope 1 053,53,GR,NULL,34,51
Wheeler 1 054,54,GR,NULL,59,134
Wilson Creek 055,55,GR,NULL,14,40
Wilson Crk Rural 056,56,GR,NULL,5,21
Airport 2 057,57,GR,NULL,59,110
Cascade Valley 058,58,GR,NULL,159,324
Westslope 2 059,59,GR,NULL,15,54
Smyrna 2 060,60,GR,NULL,3,20
East Wahluke 061,61,GR,NULL,26,41
Coulee Cty Rur E 062,62,GR,NULL,7,13
McConihe 2 063,63,GR,NULL,48,88
Quincy Rural S 064,64,GR,NULL,155,305
Greenfield 065,65,GR,NULL,6,43
Moses Lake 1 066,66,GR,NULL,55,146
Moses Lake 2 067,67,GR,NULL,80,151
Moses Lake 9  068,68,GR,NULL,73,233
O Sullivan Dam 2 069,69,GR,NULL,148,412
Wheeler 2 070,70,GR,NULL,163,384
Soap Lake Rur W ,71,GR,NULL,95,182
Coulee Cty Rur N 072,72,GR,NULL,23,39
Hartline Rural N 073,73,GR,NULL,8,16
Ephrata Rural E,74,GR,NULL,61,179
