Row Label,PrecinctCode,County,Registered Voters,Richard C Fitterer
Total,-1,GR,NULL,13952
Airport 1 001,1,GR,NULL,182
Beverly 002,2,GR,NULL,22
Block 71 003,3,GR,NULL,364
Cascade Fairgrnd 004,4,GR,NULL,188
Coulee City 005,5,GR,NULL,139
Coulee Cty Rur W 006,6,GR,NULL,61
Electric City 007,7,GR,NULL,237
Ephrata 5 008,8,GR,NULL,207
Ephrata 2 009,9,GR,NULL,232
Ephrata 3 010,10,GR,NULL,177
Ephrata 4 011,11,GR,NULL,312
Ephrata 7 012,12,GR,NULL,226
Ephrata 9 013,13,GR,NULL,383
Ephrata Rural ,14,GR,NULL,179
George 015,15,GR,NULL,32
George Rural 016,16,GR,NULL,363
Gloyd 017,17,GR,NULL,195
Grand Coulee 018,18,GR,NULL,194
Hartline 019,19,GR,NULL,37
Hartline Rural S 020,20,GR,NULL,15
Lakeview Park 021,21,GR,NULL,189
Longview 022,22,GR,NULL,289
Mae 023,23,GR,NULL,604
Marlin 024,24,GR,NULL,15
Marlin Rural 025,25,GR,NULL,23
Mattawa 026,26,GR,NULL,32
Mattawa Rural 027,27,GR,NULL,294
McConihe 1 028,28,GR,NULL,124
Moses Lake 5 029,29,GR,NULL,235
Moses Lake 3 030,30,GR,NULL,369
Moses Lake 4 031,31,GR,NULL,224
Moses Lake 6 032,32,GR,NULL,349
Moses Lake 7 033,33,GR,NULL,292
Moses Lake 8 034,34,GR,NULL,375
Moses Lake 11 035,35,GR,NULL,464
Moses Lake 12 036,36,GR,NULL,273
North Banks Lake 037,37,GR,NULL,45
O Sullivan Dam 1 038,38,GR,NULL,357
Quincy 1 039,39,GR,NULL,190
Quincy 4 040,40,GR,NULL,114
Quincy 6 041,41,GR,NULL,306
Quincy Rural N 042,42,GR,NULL,141
Royal Camp 043,43,GR,NULL,323
Royal City 044,44,GR,NULL,86
Ruff 045,45,GR,NULL,29
Smyrna 1 046,46,GR,NULL,97
Soap Lake 1 047,47,GR,NULL,133
Soap Lake Rur E ,48,GR,NULL,57
Stratford 049,49,GR,NULL,31
Warden 050,50,GR,NULL,147
Warden Rural 051,51,GR,NULL,278
Soap Lake 2 052,52,GR,NULL,123
Westslope 1 053,53,GR,NULL,65
Wheeler 1 054,54,GR,NULL,164
Wilson Creek 055,55,GR,NULL,56
Wilson Crk Rural 056,56,GR,NULL,23
Airport 2 057,57,GR,NULL,155
Cascade Valley 058,58,GR,NULL,412
Westslope 2 059,59,GR,NULL,64
Smyrna 2 060,60,GR,NULL,18
East Wahluke 061,61,GR,NULL,51
Coulee Cty Rur E 062,62,GR,NULL,17
McConihe 2 063,63,GR,NULL,101
Quincy Rural S 064,64,GR,NULL,380
Greenfield 065,65,GR,NULL,42
Moses Lake 1 066,66,GR,NULL,173
Moses Lake 2 067,67,GR,NULL,205
Moses Lake 9  068,68,GR,NULL,253
O Sullivan Dam 2 069,69,GR,NULL,461
Wheeler 2 070,70,GR,NULL,434
Soap Lake Rur W ,71,GR,NULL,252
Coulee Cty Rur N 072,72,GR,NULL,52
Hartline Rural N 073,73,GR,NULL,22
Ephrata Rural E,74,GR,NULL,199
