Row Label,PrecinctCode,County,Registered Voters,Yes,No
Total,-1,CZ,NULL,14895,16480
Alabama,1,CZ,NULL,184,102
Ammons,2,CZ,NULL,153,215
Arkansas,3,CZ,NULL,102,129
Bakers,4,CZ,NULL,15,7
Baltimore,5,CZ,NULL,269,195
Beacon,6,CZ,NULL,342,314
Boondox,7,CZ,NULL,9,9
Brynion,8,CZ,NULL,165,217
Burcham,9,CZ,NULL,421,361
Caples,10,CZ,NULL,88,140
Carrolls,11,CZ,NULL,207,312
Castle Rock,12,CZ,NULL,339,293
Chinook,13,CZ,NULL,232,351
Cloverdale,14,CZ,NULL,159,233
Coal Creek,15,CZ,NULL,285,403
Columbia Heights,16,CZ,NULL,139,149
Columbia Valley Gdns,17,CZ,NULL,180,184
Crawford,18,CZ,NULL,225,227
Delameter,19,CZ,NULL,187,251
Douglas(*),20,CZ,NULL,0,0
Elk Ridge(*),21,CZ,NULL,0,0
Harris,22,CZ,NULL,199,262
Haussler,23,CZ,NULL,181,159
Hillcrest,24,CZ,NULL,358,477
Hudson,25,CZ,NULL,291,224
Industrial,26,CZ,NULL,0,0
Kalama North,27,CZ,NULL,189,200
Kalama South,28,CZ,NULL,254,261
Kessler,29,CZ,NULL,337,248
Lake,30,CZ,NULL,239,185
Laurel,31,CZ,NULL,273,350
Lewis River,32,CZ,NULL,263,487
Lexington,33,CZ,NULL,251,163
Lone Oak,34,CZ,NULL,120,190
Magnolia,35,CZ,NULL,358,395
Marigold,36,CZ,NULL,332,273
McGowan,37,CZ,NULL,62,46
Memorial,38,CZ,NULL,169,117
Mill,39,CZ,NULL,308,242
Mint Valley,40,CZ,NULL,352,354
Modrow,41,CZ,NULL,180,269
Mt. Solo,42,CZ,NULL,85,62
Nevada,43,CZ,NULL,201,229
Ocean Beach,44,CZ,NULL,232,251
Olson,45,CZ,NULL,168,158
Ostrander,46,CZ,NULL,226,292
Owl Creek,47,CZ,NULL,275,402
Pacific,48,CZ,NULL,271,239
Ponderosa,49,CZ,NULL,199,229
Powell,50,CZ,NULL,194,266
Redpath,51,CZ,NULL,217,148
Ridgecrest,52,CZ,NULL,18,19
Robbins,53,CZ,NULL,317,325
Rose Valley,54,CZ,NULL,144,211
Ryderwood,55,CZ,NULL,91,134
Sacajawea,56,CZ,NULL,461,419
Sandy Bend,57,CZ,NULL,222,271
Silver Lake,58,CZ,NULL,311,469
Sparks,59,CZ,NULL,147,164
St. Helens,60,CZ,NULL,134,94
Stella,61,CZ,NULL,170,288
Toutle,62,CZ,NULL,282,291
Tower,63,CZ,NULL,323,386
Tunstall,64,CZ,NULL,70,136
View,65,CZ,NULL,160,172
West Kelso,66,CZ,NULL,77,41
Willow Grove,67,CZ,NULL,75,74
Windemere,68,CZ,NULL,343,346
Woodage,69,CZ,NULL,133,271
Woodland North,70,CZ,NULL,298,399
Woodland South,71,CZ,NULL,270,320
Yale,72,CZ,NULL,159,266
