Row Label,PrecinctCode,County,Registered Voters,Yes,No
Total,-1,PA,NULL,3892,3783
Baleville,1,PA,NULL,32,45
Bay Center,2,PA,NULL,78,82
Chinook,3,PA,NULL,131,115
Eklund Park,4,PA,NULL,37,34
Frances-Lebam,6,PA,NULL,59,114
Ilwaco 1 Rural(*),7,PA,NULL,0,0
Ilwaco 2 Rural,8,PA,NULL,31,42
Klipsan,9,PA,NULL,157,172
Menlo-Firdale,11,PA,NULL,169,193
Nahcotta,12,PA,NULL,379,339
Naselle,13,PA,NULL,198,294
Nemah,15,PA,NULL,22,19
North Cove,16,PA,NULL,160,148
Pioneer 2,17,PA,NULL,85,115
North River,18,PA,NULL,17,19
Ocean Park 1,19,PA,NULL,102,96
Ocean Park 2,20,PA,NULL,210,260
Oysterville,21,PA,NULL,225,168
Pioneer,22,PA,NULL,126,105
Raymond W2 R,23,PA,NULL,31,27
Raymond W3 R,24,PA,NULL,21,25
Seaview 1,25,PA,NULL,159,137
Seaview 2,26,PA,NULL,17,15
Smith Creek,27,PA,NULL,30,40
South Bend 1 R,28,PA,NULL,28,26
South Bend 3R,29,PA,NULL,2,3
South Bend 2R(*),30,PA,NULL,0,0
South Fork,32,PA,NULL,66,65
Willapa,34,PA,NULL,222,189
Ilwaco City,101,PA,NULL,174,164
Long Beach,103,PA,NULL,282,217
Raymond W1p1,105,PA,NULL,16,15
Raymond W1p2,106,PA,NULL,73,56
Raymond W1p3,107,PA,NULL,75,70
Raymond W2,108,PA,NULL,99,61
Raymond W3,110,PA,NULL,133,108
South Bend 1,113,PA,NULL,104,83
South Bend 2,115,PA,NULL,60,41
South Bend 3,117,PA,NULL,79,72
