Row Label,PrecinctCode,County,Registered Voters,Yes,No
Total,-1,SJ,NULL,4778,3494
San Juan South East,11,SJ,NULL,212,169
San Juan South West,12,SJ,NULL,342,220
San Juan Central,13,SJ,NULL,337,235
San Juan West,14,SJ,NULL,288,255
San Juan North,15,SJ,NULL,263,209
San Juan East,16,SJ,NULL,240,181
Turn Point,17,SJ,NULL,136,116
Waldron &amp; Outer Is,21,SJ,NULL,49,18
Orcas West,22,SJ,NULL,362,270
Orcas Central,23,SJ,NULL,356,273
Eastsound,24,SJ,NULL,405,276
Orcas East,25,SJ,NULL,315,232
Blakely &amp; Outer Is,26,SJ,NULL,13,21
Lopez North,31,SJ,NULL,488,346
Lopez South,32,SJ,NULL,371,255
Decatur and Outer Is,33,SJ,NULL,24,24
Shaw,41,SJ,NULL,60,49
Friday Harbor North,101,SJ,NULL,290,208
Friday Harbor South,102,SJ,NULL,227,137
