Row Label,PrecinctCode,County,Registered Voters,Yes,No
Total,-1,TH,NULL,40648,42845
Cougar Mountain,28,TH,NULL,38,43
Clear Lake,30,TH,NULL,269,251
Lackamas,31,TH,NULL,74,61
Morris,32,TH,NULL,175,235
Evergreen Ballroom,33,TH,NULL,203,235
Trails End,34,TH,NULL,306,341
Kaiser,35,TH,NULL,103,69
Rich(*),36,TH,NULL,0,0
Delta(*),38,TH,NULL,0,0
Jones Beach,39,TH,NULL,93,123
Simmons 9,42,TH,NULL,3,4
University North,43,TH,NULL,68,77
Steamboat Island,44,TH,NULL,145,142
Rocky Prairie,45,TH,NULL,104,147
Lawrence Lake,46,TH,NULL,165,283
Woodard Creek,47,TH,NULL,128,190
Michigan Hill,48,TH,NULL,68,150
Scott Lake South,49,TH,NULL,119,154
Salmon Creek,50,TH,NULL,88,130
Spurgeon Creek,51,TH,NULL,61,109
James,52,TH,NULL,129,202
Vail,53,TH,NULL,177,237
Rochester 5,54,TH,NULL,136,228
Rochester 4,55,TH,NULL,117,175
Medicine Creek,57,TH,NULL,74,84
Skokomish,58,TH,NULL,153,127
Pleasant Hill,59,TH,NULL,164,221
Smith Prairie,60,TH,NULL,177,248
Black River,62,TH,NULL,177,343
Ames,63,TH,NULL,175,131
Airport,64,TH,NULL,16,15
Luhr Beach,65,TH,NULL,162,264
Fish Trap,66,TH,NULL,131,159
Quince,67,TH,NULL,2,2
Simmons 2(*),68,TH,NULL,0,0
Simmons 3,69,TH,NULL,9,8
Simmons 4,70,TH,NULL,11,9
Pines,74,TH,NULL,155,119
Long Lake,75,TH,NULL,35,60
Hawk Acres,76,TH,NULL,105,144
Zenkner Valley,77,TH,NULL,28,59
Tri Lakes,78,TH,NULL,95,110
University South,79,TH,NULL,98,103
Tolmie,80,TH,NULL,56,88
Military,81,TH,NULL,78,100
Glen Terra,82,TH,NULL,54,54
Prine,83,TH,NULL,27,43
Glenwood,84,TH,NULL,64,66
Greenridge,86,TH,NULL,113,118
Woodland,88,TH,NULL,141,193
Tilley,89,TH,NULL,178,227
Sweet Briar,90,TH,NULL,253,240
Deerbrush,91,TH,NULL,181,196
Mushroom Corner,92,TH,NULL,210,118
Trailblazer,93,TH,NULL,76,54
Frye Cove,94,TH,NULL,169,250
Oyster Bay,95,TH,NULL,187,219
Summit Lake,96,TH,NULL,132,188
Delridge,97,TH,NULL,39,61
Marvin,98,TH,NULL,174,237
Alpine,99,TH,NULL,271,340
Hewitt Lake,100,TH,NULL,213,240
Zangle,101,TH,NULL,150,188
Boston Harbor,102,TH,NULL,208,205
Gull Harbor,103,TH,NULL,121,117
Friendly Grove,104,TH,NULL,85,133
South Bay,105,TH,NULL,180,257
Puget,106,TH,NULL,178,293
Bigelow,107,TH,NULL,156,167
Pleasant Glade,109,TH,NULL,112,109
Montgomery,110,TH,NULL,102,78
Nisqually,111,TH,NULL,162,117
Roosevelt,112,TH,NULL,184,254
Kinwood,113,TH,NULL,134,157
Mckinley,114,TH,NULL,72,56
Forest,115,TH,NULL,246,240
St Clair,116,TH,NULL,126,241
Hicks,117,TH,NULL,34,26
Fleetwood,118,TH,NULL,235,225
Lydia Hawk,119,TH,NULL,281,256
Hays,120,TH,NULL,112,161
Indian Summer,121,TH,NULL,143,268
Chambers,122,TH,NULL,241,326
Freedom,123,TH,NULL,227,201
Fristoe,124,TH,NULL,119,129
Deschutes,125,TH,NULL,197,241
Longmire,126,TH,NULL,90,133
Ruth Prairie,127,TH,NULL,76,82
Weir Prairie,128,TH,NULL,164,200
College,129,TH,NULL,50,8
Bald Hills,130,TH,NULL,43,67
Hunter Point,131,TH,NULL,115,121
Griffin,132,TH,NULL,128,223
Schneiders Prairie,133,TH,NULL,131,174
Cooper Point,134,TH,NULL,156,206
Butler Cove,135,TH,NULL,157,164
Broadway,136,TH,NULL,241,219
Plainview,139,TH,NULL,277,296
Mud Bay,140,TH,NULL,170,172
Mclane,141,TH,NULL,139,146
Bush Prairie,143,TH,NULL,48,40
Black Lake,144,TH,NULL,213,268
Delphi,145,TH,NULL,131,212
South Union,146,TH,NULL,222,263
Plumb,147,TH,NULL,173,226
Scatter Creek,148,TH,NULL,121,142
Mcintosh,149,TH,NULL,286,353
Violet Prairie,150,TH,NULL,196,253
Littlerock,151,TH,NULL,218,373
Rochester 1,153,TH,NULL,171,261
Rochester 2,154,TH,NULL,148,177
Scott Lake North,155,TH,NULL,84,80
Grand Mound,156,TH,NULL,64,102
Gibson Valley,157,TH,NULL,28,44
Skookumchuck,158,TH,NULL,139,221
Johnson Point,160,TH,NULL,207,271
Wards,161,TH,NULL,91,63
Thompson,162,TH,NULL,111,89
Smith Lake,163,TH,NULL,152,204
Evergreen Shores,164,TH,NULL,133,165
Sunwood Lakes,165,TH,NULL,252,327
Eaton Creek,166,TH,NULL,81,146
Hawks Ridge,167,TH,NULL,97,40
Holmes,168,TH,NULL,127,191
Mcallister Creek,169,TH,NULL,149,134
Rochester 3,170,TH,NULL,180,167
Waddell Creek,171,TH,NULL,112,191
Tykle Cove,172,TH,NULL,166,206
Camelot,173,TH,NULL,94,146
French,174,TH,NULL,219,163
Sunset Beach,175,TH,NULL,193,239
Henderson,176,TH,NULL,235,259
