Row Label,PrecinctCode,County,Registered Voters,Yes,No
Total,-1,AD,NULL,2003,1336
Ritzville Ward #1,111,AD,NULL,46,53
Ritzville Ward #2,112,AD,NULL,62,36
Ritzville Ward #3,113,AD,NULL,99,64
Ritzville Ward #4,114,AD,NULL,91,50
Ritzville Ward #5,115,AD,NULL,66,73
Ritzville Rural NW,121,AD,NULL,97,55
Ritzville Rural SE,122,AD,NULL,96,45
Batum,123,AD,NULL,54,32
Benge,211,AD,NULL,20,5
Washtucna City #1,212,AD,NULL,66,34
Washtucna Rural,221,AD,NULL,46,18
Ralston,222,AD,NULL,27,12
Lind #1,311,AD,NULL,132,58
Hatton City,313,AD,NULL,8,6
Lind Rural,321,AD,NULL,39,33
Fairview,322,AD,NULL,15,14
Schrag,323,AD,NULL,24,13
Hatton Rural,324,AD,NULL,30,3
Cunningham,325,AD,NULL,6,4
Othello City #1,411,AD,NULL,14,7
Othello City #2,412,AD,NULL,91,95
Othello City #3,413,AD,NULL,103,75
Othello City #4,414,AD,NULL,93,106
Othello City #5,415,AD,NULL,102,78
Othello City #6,416,AD,NULL,65,44
Othello Rural #1,511,AD,NULL,42,36
Othello Rural #2,512,AD,NULL,65,48
Othello Rural #3,513,AD,NULL,130,84
Othello Rural #4,514,AD,NULL,93,61
Othello Rural #5,515,AD,NULL,70,27
Othello Rural #6,516,AD,NULL,111,67
