Row Label,PrecinctCode,County,Registered Voters,Yes,No
Total,-1,CZ,NULL,18799,12587
Alabama,1,CZ,NULL,185,101
Ammons,2,CZ,NULL,199,167
Arkansas,3,CZ,NULL,155,75
Bakers,4,CZ,NULL,12,10
Baltimore,5,CZ,NULL,251,209
Beacon,6,CZ,NULL,404,259
Boondox,7,CZ,NULL,15,3
Brynion,8,CZ,NULL,256,129
Burcham,9,CZ,NULL,387,389
Caples,10,CZ,NULL,156,73
Carrolls,11,CZ,NULL,333,185
Castle Rock,12,CZ,NULL,430,204
Chinook,13,CZ,NULL,365,218
Cloverdale,14,CZ,NULL,239,156
Coal Creek,15,CZ,NULL,476,217
Columbia Heights,16,CZ,NULL,163,130
Columbia Valley Gdns,17,CZ,NULL,205,157
Crawford,18,CZ,NULL,264,188
Delameter,19,CZ,NULL,299,139
Douglas(*),20,CZ,NULL,0,0
Elk Ridge(*),21,CZ,NULL,0,0
Harris,22,CZ,NULL,288,170
Haussler,23,CZ,NULL,197,140
Hillcrest,24,CZ,NULL,410,417
Hudson,25,CZ,NULL,260,245
Industrial,26,CZ,NULL,0,0
Kalama North,27,CZ,NULL,190,199
Kalama South,28,CZ,NULL,307,208
Kessler,29,CZ,NULL,303,280
Lake,30,CZ,NULL,204,215
Laurel,31,CZ,NULL,291,328
Lewis River,32,CZ,NULL,534,224
Lexington,33,CZ,NULL,258,153
Lone Oak,34,CZ,NULL,165,145
Magnolia,35,CZ,NULL,387,357
Marigold,36,CZ,NULL,318,290
McGowan,37,CZ,NULL,65,43
Memorial,38,CZ,NULL,160,127
Mill,39,CZ,NULL,365,188
Mint Valley,40,CZ,NULL,378,329
Modrow,41,CZ,NULL,295,147
Mt. Solo,42,CZ,NULL,88,61
Nevada,43,CZ,NULL,246,187
Ocean Beach,44,CZ,NULL,285,202
Olson,45,CZ,NULL,189,138
Ostrander,46,CZ,NULL,354,165
Owl Creek,47,CZ,NULL,410,263
Pacific,48,CZ,NULL,305,204
Ponderosa,49,CZ,NULL,285,148
Powell,50,CZ,NULL,295,169
Redpath,51,CZ,NULL,199,168
Ridgecrest,52,CZ,NULL,20,17
Robbins,53,CZ,NULL,344,298
Rose Valley,54,CZ,NULL,242,119
Ryderwood,55,CZ,NULL,137,87
Sacajawea,56,CZ,NULL,349,516
Sandy Bend,57,CZ,NULL,323,173
Silver Lake,58,CZ,NULL,554,224
Sparks,59,CZ,NULL,207,105
St. Helens,60,CZ,NULL,121,105
Stella,61,CZ,NULL,299,165
Toutle,62,CZ,NULL,414,163
Tower,63,CZ,NULL,491,227
Tunstall,64,CZ,NULL,135,71
View,65,CZ,NULL,200,132
West Kelso,66,CZ,NULL,68,48
Willow Grove,67,CZ,NULL,86,60
Windemere,68,CZ,NULL,385,295
Woodage,69,CZ,NULL,258,154
Woodland North,70,CZ,NULL,488,211
Woodland South,71,CZ,NULL,354,236
Yale,72,CZ,NULL,301,132
