Row Label,PrecinctCode,County,Registered Voters,Yes,No
Total,-1,IS,NULL,15149,15978
C WHIDBEY 01,150,IS,NULL,298,174
C WHIDBEY 02,151,IS,NULL,389,468
C WHIDBEY 03,152,IS,NULL,349,482
COUPEVILLE,153,IS,NULL,299,510
C WHIDBEY 04,154,IS,NULL,389,420
C WHIDBEY 05,155,IS,NULL,323,488
S WHIDBEY 01,160,IS,NULL,312,560
S WHIDBEY 02,161,IS,NULL,304,534
S WHIDBEY 03,162,IS,NULL,400,509
S WHIDBEY 04,163,IS,NULL,248,543
S WHIDBEY 05,164,IS,NULL,331,585
S WHIDBEY 06,165,IS,NULL,294,499
LANGLEY,166,IS,NULL,127,467
S WHIDBEY 07,167,IS,NULL,308,527
S WHIDBEY 08,168,IS,NULL,231,469
S WHIDBEY 09,169,IS,NULL,382,447
S WHIDBEY 10,170,IS,NULL,276,531
OAK HARBOR 01,201,IS,NULL,345,276
OAK HARBOR 02,202,IS,NULL,306,152
OAK HARBOR 03,203,IS,NULL,322,276
OAK HARBOR 04,204,IS,NULL,366,242
OAK HARBOR 05,205,IS,NULL,341,289
OAK HARBOR 06,206,IS,NULL,314,214
OAK HARBOR 07,207,IS,NULL,353,290
OAK HARBOR 08,208,IS,NULL,306,229
OAK HARBOR 09,209,IS,NULL,101,54
N WHIDBEY 06,251,IS,NULL,226,173
N WHIDBEY 07,252,IS,NULL,328,234
N WHIDBEY 08,253,IS,NULL,277,186
N WHIDBEY 09,254,IS,NULL,266,160
N WHIDBEY 10,255,IS,NULL,123,61
N WHIDBEY 11,256,IS,NULL,64,46
CAMANO 01,301,IS,NULL,273,292
CAMANO 02,302,IS,NULL,386,355
CAMANO 03,303,IS,NULL,361,358
CAMANO 04,304,IS,NULL,467,492
CAMANO 05,305,IS,NULL,387,406
CAMANO 06,306,IS,NULL,376,372
CAMANO 07,307,IS,NULL,309,337
CAMANO 08,308,IS,NULL,284,196
CAMANO 09,309,IS,NULL,328,373
CAMANO 10,310,IS,NULL,267,276
CAMANO 11,311,IS,NULL,356,338
N WHIDBEY 01,351,IS,NULL,455,284
N WHIDBEY 02,352,IS,NULL,452,226
N WHIDBEY 03,353,IS,NULL,359,170
N WHIDBEY 04,354,IS,NULL,530,266
N WHIDBEY 05,355,IS,NULL,261,142
