Row Label,PrecinctCode,County,Registered Voters,Yes,No
Total,-1,JE,NULL,5901,9812
101 Gardiner,101,JE,NULL,78,113
102 Port Discovery,102,JE,NULL,112,113
103 Crocker,103,JE,NULL,96,79
104 Cape George,104,JE,NULL,148,378
105 Discovery Bay,105,JE,NULL,145,365
106 North Jacob,106,JE,NULL,141,253
107 South Jacob,107,JE,NULL,226,283
200 Coyle,200,JE,NULL,124,125
201 Quilcene,201,JE,NULL,346,191
204 Brinnon,204,JE,NULL,417,245
300 Chimacum I,300,JE,NULL,187,172
301 Chimacum II,301,JE,NULL,93,121
302 Center I,302,JE,NULL,151,147
303 Hadlock,303,JE,NULL,237,263
304 Kala Point,304,JE,NULL,165,425
305 Irondale I,305,JE,NULL,143,221
306 Irondale II,306,JE,NULL,253,234
307 Four Corners,307,JE,NULL,143,172
308 Center II,308,JE,NULL,96,101
401 Nordland,401,JE,NULL,210,339
500 Port Ludlow,500,JE,NULL,232,379
501 Port Ludlow I,501,JE,NULL,240,394
502 Port Ludlow II,502,JE,NULL,218,207
503 Port Ludlow III,503,JE,NULL,140,282
504 Port Ludlow IV,504,JE,NULL,103,180
505 Port Ludlow V,505,JE,NULL,199,253
600 Hoh,600,JE,NULL,29,18
601 Queets,601,JE,NULL,27,15
700 Port Townsend,700,JE,NULL,158,350
701 Port Townsend,701,JE,NULL,38,197
702 Port Townsend,702,JE,NULL,62,220
703 Port Townsend,703,JE,NULL,66,273
704 Port Townsend,704,JE,NULL,42,206
705 Port Townsend,705,JE,NULL,116,195
706 Port Townsend,706,JE,NULL,200,533
707 Port Townsend,707,JE,NULL,174,481
708 Port Townsend,708,JE,NULL,142,513
709 Port Townsend,709,JE,NULL,114,474
710 Port Townsend,710,JE,NULL,90,302
