Row Label,PrecinctCode,County,Registered Voters,Yes,No
Total,-1,PE,NULL,3292,1813
Camden,1,PE,NULL,130,60
Cusick,2,PE,NULL,80,55
Dalkena,3,PE,NULL,186,117
Diamond Lk East,4,PE,NULL,72,45
Fertile Valley North,5,PE,NULL,128,61
Furport,6,PE,NULL,153,99
Ione East,7,PE,NULL,130,46
Ione West,8,PE,NULL,154,51
Metaline,9,PE,NULL,68,31
Metaline Falls,10,PE,NULL,119,76
Tiger Dry Canyon,11,PE,NULL,218,97
Newport NE,12,PE,NULL,153,99
Newport SE,13,PE,NULL,71,41
Newport NW,14,PE,NULL,143,94
Newport SW,15,PE,NULL,114,74
Noble,16,PE,NULL,211,125
Ruby,17,PE,NULL,21,5
Sacheen,18,PE,NULL,134,130
Usk,19,PE,NULL,133,52
Diamond Lk West,20,PE,NULL,134,63
Deer Valley North,21,PE,NULL,159,75
Locke,22,PE,NULL,30,12
Kalispel Leclerc,23,PE,NULL,109,42
Skookum,24,PE,NULL,48,20
Deer Valley South,25,PE,NULL,50,26
Fertile Valley South,26,PE,NULL,124,50
Diamond Lk,27,PE,NULL,220,167
