Row Label,PrecinctCode,County,Registered Voters,Yes,No
Total,-1,PI,NULL,109536,105739
02-101,2101,PI,NULL,107,75
02-105,2105,PI,NULL,138,74
02-106,2106,PI,NULL,378,219
02-110,2110,PI,NULL,191,108
02-111,2111,PI,NULL,266,164
02-112,2112,PI,NULL,206,119
02-113,2113,PI,NULL,193,152
02-114,2114,PI,NULL,173,112
02-115,2115,PI,NULL,281,145
02-116,2116,PI,NULL,352,215
02-117,2117,PI,NULL,315,201
02-118,2118,PI,NULL,196,129
02-119,2119,PI,NULL,189,108
02-120,2120,PI,NULL,240,170
02-121,2121,PI,NULL,308,215
02-122,2122,PI,NULL,319,191
02-123,2123,PI,NULL,352,178
02-124,2124,PI,NULL,260,171
02-125,2125,PI,NULL,245,155
02-126,2126,PI,NULL,361,179
02-127,2127,PI,NULL,149,146
02-128,2128,PI,NULL,257,251
02-129,2129,PI,NULL,175,138
02-130,2130,PI,NULL,149,121
02-131,2131,PI,NULL,348,237
02-133,2133,PI,NULL,82,56
02-134,2134,PI,NULL,389,191
02-135,2135,PI,NULL,425,187
02-136,2136,PI,NULL,63,41
02-137,2137,PI,NULL,223,70
02-138,2138,PI,NULL,429,230
02-139,2139,PI,NULL,350,164
02-140,2140,PI,NULL,384,208
02-141,2141,PI,NULL,371,203
02-142,2142,PI,NULL,273,167
02-143,2143,PI,NULL,287,116
02-144,2144,PI,NULL,340,159
02-145,2145,PI,NULL,394,158
02-146,2146,PI,NULL,303,125
02-147,2147,PI,NULL,320,119
02-148,2148,PI,NULL,391,194
02-149,2149,PI,NULL,403,208
02-150,2150,PI,NULL,333,134
02-151,2151,PI,NULL,127,63
02-152,2152,PI,NULL,456,164
02-153,2153,PI,NULL,345,147
02-154,2154,PI,NULL,307,160
02-155,2155,PI,NULL,367,199
02-156,2156,PI,NULL,489,222
02-157,2157,PI,NULL,466,206
02-158,2158,PI,NULL,326,153
02-159,2159,PI,NULL,241,93
25-201,25201,PI,NULL,346,324
25-202,25202,PI,NULL,282,257
25-203,25203,PI,NULL,319,320
25-204,25204,PI,NULL,259,293
25-205,25205,PI,NULL,314,275
25-206,25206,PI,NULL,160,206
25-208,25208,PI,NULL,377,335
25-209,25209,PI,NULL,323,327
