Row Label,PrecinctCode,County,Registered Voters,Yes,No
Total,-1,AD,NULL,1488,1906
Ritzville Ward #1,111,AD,NULL,45,57
Ritzville Ward #2,112,AD,NULL,44,54
Ritzville Ward #3,113,AD,NULL,76,87
Ritzville Ward #4,114,AD,NULL,65,78
Ritzville Ward #5,115,AD,NULL,82,64
Ritzville Rural NW,121,AD,NULL,43,108
Ritzville Rural SE,122,AD,NULL,37,108
Batum,123,AD,NULL,21,67
Benge,211,AD,NULL,7,19
Washtucna City #1,212,AD,NULL,32,68
Washtucna Rural,221,AD,NULL,20,46
Ralston,222,AD,NULL,11,26
Lind #1,311,AD,NULL,88,107
Hatton City,313,AD,NULL,5,9
Lind Rural,321,AD,NULL,33,40
Fairview,322,AD,NULL,13,16
Schrag,323,AD,NULL,8,29
Hatton Rural,324,AD,NULL,5,28
Cunningham,325,AD,NULL,3,7
Othello City #1,411,AD,NULL,14,9
Othello City #2,412,AD,NULL,122,70
Othello City #3,413,AD,NULL,107,72
Othello City #4,414,AD,NULL,110,92
Othello City #5,415,AD,NULL,94,93
Othello City #6,416,AD,NULL,46,64
Othello Rural #1,511,AD,NULL,54,26
Othello Rural #2,512,AD,NULL,52,58
Othello Rural #3,513,AD,NULL,89,130
Othello Rural #4,514,AD,NULL,71,84
Othello Rural #5,515,AD,NULL,30,68
Othello Rural #6,516,AD,NULL,61,122
