Row Label,PrecinctCode,County,Registered Voters,Yes,No
Total,-1,DG,NULL,3805,6862
PRECINCT 101,101,DG,NULL,74,165
PRECINCT 102,102,DG,NULL,186,268
PRECINCT 103,103,DG,NULL,37,65
PRECINCT 104,104,DG,NULL,241,267
PRECINCT 105,105,DG,NULL,63,82
PRECINCT 106,106,DG,NULL,67,127
PRECINCT 107,107,DG,NULL,66,130
PRECINCT 108,108,DG,NULL,64,151
PRECINCT 109,109,DG,NULL,49,94
PRECINCT 110,110,DG,NULL,101,183
PRECINCT 111,111,DG,NULL,139,270
PRECINCT 112,112,DG,NULL,97,149
PRECINCT 113,113,DG,NULL,97,110
PRECINCT 114,114,DG,NULL,70,125
PRECINCT 201,201,DG,NULL,83,156
PRECINCT 202,202,DG,NULL,48,68
PRECINCT 203,203,DG,NULL,122,171
PRECINCT 204,204,DG,NULL,115,232
PRECINCT 205,205,DG,NULL,144,303
PRECINCT 206,206,DG,NULL,63,143
PRECINCT 207,207,DG,NULL,129,234
PRECINCT 208,208,DG,NULL,66,110
PRECINCT 209,209,DG,NULL,103,242
PRECINCT 210,210,DG,NULL,60,57
PRECINCT 211,211,DG,NULL,24,69
PRECINCT 212,212,DG,NULL,63,165
PRECINCT 213,213,DG,NULL,31,168
PRECINCT 214,214,DG,NULL,40,39
PRECINCT 215,215,DG,NULL,105,177
PRECINCT 301,301,DG,NULL,151,308
PRECINCT 302,302,DG,NULL,163,197
PRECINCT 303,303,DG,NULL,70,158
PRECINCT 304,304,DG,NULL,20,51
PRECINCT 305,305,DG,NULL,39,125
PRECINCT 306,306,DG,NULL,70,130
PRECINCT 307,307,DG,NULL,16,51
PRECINCT 308,308,DG,NULL,16,50
PRECINCT 309,309,DG,NULL,24,71
PRECINCT 310,310,DG,NULL,31,87
PRECINCT 311,311,DG,NULL,40,129
PRECINCT 312,312,DG,NULL,70,137
PRECINCT 313,313,DG,NULL,18,45
PRECINCT 314,314,DG,NULL,40,25
PRECINCT 315,315,DG,NULL,160,238
PRECINCT 316,316,DG,NULL,118,196
PRECINCT 317,317,DG,NULL,176,276
PRECINCT 318,318,DG,NULL,36,68
