Row Label,PrecinctCode,County,Registered Voters,Yes,No
Total,-1,LI,NULL,1416,3127
ALMIRA RURAL,1,LI,NULL,8,31
BLUESTEM,2,LI,NULL,2,18
CANBY,3,LI,NULL,9,31
CRESTON RURAL,4,LI,NULL,6,52
WHEATLAND,5,LI,NULL,34,60
DAVENPORT RURAL,6,LI,NULL,19,76
DOWNS,7,LI,NULL,3,20
EARL,8,LI,NULL,7,27
EDWALL,9,LI,NULL,18,53
EGYPT,10,LI,NULL,39,89
ENOS,11,LI,NULL,2,19
GOVAN,12,LI,NULL,6,15
GRAND COULEE,13,LI,NULL,12,28
GRAVELLE,14,LI,NULL,9,31
HARR RURAL,15,LI,NULL,6,56
HAWK CREEK,16,LI,NULL,24,55
IRBY,17,LI,NULL,7,24
KELLER,18,LI,NULL,17,50
LAKEVIEW,19,LI,NULL,44,78
LAMONA,20,LI,NULL,9,17
EAST LARENE,21,LI,NULL,34,62
WEST LARENE,22,LI,NULL,19,25
LAYTON,23,LI,NULL,3,17
LONG LAKE,24,LI,NULL,18,57
MOHLER,25,LI,NULL,20,36
MONDOVI,26,LI,NULL,31,57
ODESSA RURAL,27,LI,NULL,24,72
PEACH,28,LI,NULL,62,70
N REARDAN RURAL,29,LI,NULL,12,38
S REARDAN RURAL,30,LI,NULL,10,44
RIVERVIEW,31,LI,NULL,82,77
SEVEN BAYS,32,LI,NULL,27,42
SHERMAN,33,LI,NULL,16,52
SPRAGUE RURAL,34,LI,NULL,24,86
SPRING CREEK,35,LI,NULL,24,59
WILBUR RURAL,36,LI,NULL,14,85
WAUKON,37,LI,NULL,10,37
WILSON CREEK,38,LI,NULL,4,30
ALMIRA IN,39,LI,NULL,29,72
CRESTON IN,40,LI,NULL,43,50
DAVENPORT IN,41,LI,NULL,213,431
HARRINGTON IN,42,LI,NULL,50,101
ODESSA IN,43,LI,NULL,121,224
REARDAN IN,44,LI,NULL,65,153
SPRAGUE IN,45,LI,NULL,52,86
WILBUR IN,46,LI,NULL,128,234
