Row Label,PrecinctCode,County,Registered Voters,Yes,No
Total,-1,WT,NULL,5833,5742
TEKOA IN,31,WT,NULL,110,140
OAKESDALE IN,32,WT,NULL,79,119
FARMINGTON IN,33,WT,NULL,30,49
GARFIELD IN,34,WT,NULL,81,135
COLTON IN,35,WT,NULL,84,107
UNIONTOWN IN,36,WT,NULL,50,63
ALBION IN,37,WT,NULL,77,109
LACROSSE IN,42,WT,NULL,40,111
ENDICOTT IN,43,WT,NULL,43,94
LAMONT IN,44,WT,NULL,5,19
ST JOHN IN,45,WT,NULL,95,145
MALDEN IN,46,WT,NULL,18,42
ROSALIA IN,47,WT,NULL,78,155
TEKOA 101,101,WT,NULL,25,36
OAKESDALE 102,102,WT,NULL,27,85
FARMINGTON 103,103,WT,NULL,9,29
STEPTOE 104,104,WT,NULL,29,85
GARFIELD 105,105,WT,NULL,25,86
PALOUSE RURAL 106,106,WT,NULL,93,123
PALOUSE 107,107,WT,NULL,204,206
COLTON 108,108,WT,NULL,49,65
UNIONTOWN 109,109,WT,NULL,26,40
PULLMAN RURAL 110,110,WT,NULL,196,281
PULLMAN RURAL 111,111,WT,NULL,74,67
ALBION 112,112,WT,NULL,65,60
PULLMAN CITY 113,113,WT,NULL,131,72
PULLMAN CITY 114,114,WT,NULL,27,15
PULLMAN CITY 115,115,WT,NULL,9,4
PULLMAN CITY 116,116,WT,NULL,345,210
PULLMAN CITY 117,117,WT,NULL,106,76
PULLMAN CITY 118,118,WT,NULL,278,107
PULLMAN CITY 119,119,WT,NULL,253,92
PULLMAN CITY 120,120,WT,NULL,510,277
PULLMAN CITY 121,121,WT,NULL,141,72
PULLMAN CITY 122,122,WT,NULL,124,50
PULLMAN CITY 123,123,WT,NULL,217,114
PULLMAN CITY 124,124,WT,NULL,28,13
PULLMAN CITY 125,125,WT,NULL,20,7
PULLMAN CITY 126,126,WT,NULL,28,8
PULLMAN CITY 127,127,WT,NULL,27,22
PULLMAN CITY 128,128,WT,NULL,52,25
PULLMAN CITY 129,129,WT,NULL,72,32
PULLMAN CITY 130,130,WT,NULL,75,24
PULLMAN CITY 131(*),131,WT,NULL,0,0
PULLMAN CITY 132(*),132,WT,NULL,0,0
PULLMAN CITY 133(*),133,WT,NULL,0,0
PULLMAN CITY 134,134,WT,NULL,26,12
PULLMAN CITY 135,135,WT,NULL,225,80
COLFAX RURAL 136,136,WT,NULL,46,128
COLFAX RURAL 137,137,WT,NULL,93,194
WILCOX 138,138,WT,NULL,26,111
COLFAX CITY 139,139,WT,NULL,124,142
COLFAX CITY 140,140,WT,NULL,93,155
COLFAX CITY 141,141,WT,NULL,97,109
COLFAX CITY 142,142,WT,NULL,145,220
DUSTY 143,143,WT,NULL,11,45
HAY 144,144,WT,NULL,3,23
HOOPER 145,145,WT,NULL,2,19
LACROSSE 146,146,WT,NULL,20,64
ENDICOTT 147,147,WT,NULL,22,102
LAMONT 148,148,WT,NULL,6,45
ST JOHN 149,149,WT,NULL,50,192
MALDEN 150,150,WT,NULL,3,8
ROSALIA 151,151,WT,NULL,17,62
THORNTON 152,152,WT,NULL,22,39
PULLMAN 218,218,WT,NULL,279,152
PULLMAN 228,228,WT,NULL,24,12
PULLMAN 234,234,WT,NULL,59,33
PULLMAN 235,235,WT,NULL,381,122
