Row Label,PrecinctCode,County,Registered Voters,Tom Dent,Dannette (Dani) Bolyard
Total,-1,GR,NULL,10211,6595
Airport 1 001,1,GR,NULL,137,105
Beverly 002,2,GR,NULL,25,8
Block 71 003,3,GR,NULL,343,198
Cascade Fairgrnd 004,4,GR,NULL,127,104
Coulee Cty Rur W 006,6,GR,NULL,38,48
Ephrata 5 008,8,GR,NULL,152,115
Ephrata 2 009,9,GR,NULL,183,156
Ephrata 3 010,10,GR,NULL,131,106
Ephrata 4 011,11,GR,NULL,227,176
Ephrata 7 012,12,GR,NULL,155,148
Ephrata 9 013,13,GR,NULL,282,225
George 015,15,GR,NULL,16,22
George Rural 016,16,GR,NULL,318,180
Gloyd 017,17,GR,NULL,174,107
Hartline Rural S 020,20,GR,NULL,12,14
Lakeview Park 021,21,GR,NULL,138,139
Longview 022,22,GR,NULL,211,161
Mae 023,23,GR,NULL,523,274
Marlin 024,24,GR,NULL,13,5
Marlin Rural 025,25,GR,NULL,27,22
Mattawa 026,26,GR,NULL,23,16
Mattawa Rural 027,27,GR,NULL,255,188
McConihe 1 028,28,GR,NULL,113,80
Moses Lake 5 029,29,GR,NULL,185,125
Moses Lake 3 030,30,GR,NULL,275,207
Moses Lake 4 031,31,GR,NULL,158,130
Moses Lake 6 032,32,GR,NULL,267,192
Moses Lake 7 033,33,GR,NULL,229,165
Moses Lake 8 034,34,GR,NULL,307,189
Moses Lake 11 035,35,GR,NULL,358,235
Moses Lake 12 036,36,GR,NULL,221,133
O Sullivan Dam 1 038,38,GR,NULL,343,139
Quincy 1 039,39,GR,NULL,150,101
Quincy 4 040,40,GR,NULL,61,74
Quincy 6 041,41,GR,NULL,276,149
Royal Camp 043,43,GR,NULL,291,154
Royal City 044,44,GR,NULL,68,48
Ruff 045,45,GR,NULL,39,15
Smyrna 1 046,46,GR,NULL,90,27
Soap Lake Rur E ,48,GR,NULL,48,46
Stratford 049,49,GR,NULL,31,15
Warden 050,50,GR,NULL,112,62
Warden Rural 051,51,GR,NULL,248,143
Westslope 1 053,53,GR,NULL,60,42
Wheeler 1 054,54,GR,NULL,143,83
Wilson Creek 055,55,GR,NULL,36,37
Wilson Crk Rural 056,56,GR,NULL,26,4
Airport 2 057,57,GR,NULL,107,87
Cascade Valley 058,58,GR,NULL,349,208
Westslope 2 059,59,GR,NULL,61,19
Smyrna 2 060,60,GR,NULL,22,2
East Wahluke 061,61,GR,NULL,63,27
Coulee Cty Rur E 062,62,GR,NULL,4,18
McConihe 2 063,63,GR,NULL,84,69
Quincy Rural S 064,64,GR,NULL,351,162
Greenfield 065,65,GR,NULL,26,27
Moses Lake 1 066,66,GR,NULL,145,82
Moses Lake 2 067,67,GR,NULL,142,111
Moses Lake 9  068,68,GR,NULL,225,115
O Sullivan Dam 2 069,69,GR,NULL,413,229
Wheeler 2 070,70,GR,NULL,420,204
Ephrata Rural E,74,GR,NULL,154,123
