Row Label,PrecinctCode,County,Registered Voters,Judith (Judy) Warnick,Mohammad Said
Total,-1,LI,NULL,3857,508
ALMIRA RURAL,1,LI,NULL,30,3
BLUESTEM(*),2,LI,NULL,0,0
CANBY,3,LI,NULL,34,6
CRESTON RURAL,4,LI,NULL,49,6
WHEATLAND,5,LI,NULL,87,4
DAVENPORT RURAL,6,LI,NULL,87,4
DOWNS(*),7,LI,NULL,0,0
EARL,8,LI,NULL,30,2
EDWALL,9,LI,NULL,67,3
EGYPT,10,LI,NULL,110,10
ENOS(*),11,LI,NULL,0,0
GOVAN(*),12,LI,NULL,0,0
GRAND COULEE,13,LI,NULL,28,8
GRAVELLE(*),14,LI,NULL,0,0
HARR RURAL,15,LI,NULL,51,5
HAWK CREEK,16,LI,NULL,56,17
IRBY(*),17,LI,NULL,0,0
KELLER,18,LI,NULL,60,7
LAKEVIEW,19,LI,NULL,103,17
LAMONA,20,LI,NULL,25,2
EAST LARENE,21,LI,NULL,80,14
WEST LARENE,22,LI,NULL,38,5
LAYTON(*),23,LI,NULL,0,0
LONG LAKE,24,LI,NULL,69,6
MOHLER,25,LI,NULL,52,2
MONDOVI,26,LI,NULL,69,16
ODESSA RURAL,27,LI,NULL,89,6
PEACH,28,LI,NULL,115,13
N REARDAN RURAL,29,LI,NULL,38,6
S REARDAN RURAL,30,LI,NULL,47,2
RIVERVIEW,31,LI,NULL,119,36
SEVEN BAYS,32,LI,NULL,52,16
SHERMAN,33,LI,NULL,60,5
SPRAGUE RURAL,34,LI,NULL,99,7
SPRING CREEK,35,LI,NULL,70,9
WILBUR RURAL,36,LI,NULL,88,7
WAUKON,37,LI,NULL,43,4
WILSON CREEK,38,LI,NULL,31,2
ALMIRA IN,39,LI,NULL,82,16
CRESTON IN,40,LI,NULL,67,20
DAVENPORT IN,41,LI,NULL,563,60
HARRINGTON IN,42,LI,NULL,124,17
ODESSA IN,43,LI,NULL,303,35
REARDAN IN,44,LI,NULL,184,25
SPRAGUE IN,45,LI,NULL,100,27
WILBUR IN,46,LI,NULL,293,54
