Row Label,PrecinctCode,County,Registered Voters,David V. Taylor,Teodora Martinez-Chavez
Total,-1,YA,NULL,16523,6297
0103,103,YA,NULL,75,89
0104,104,YA,NULL,104,115
0111,111,YA,NULL,179,60
0124,124,YA,NULL,46,49
0140,140,YA,NULL,156,78
0150,150,YA,NULL,119,94
0155,155,YA,NULL,297,113
0156,156,YA,NULL,139,66
0158,158,YA,NULL,125,64
0162,162,YA,NULL,183,61
0175,175,YA,NULL,157,57
0301,301,YA,NULL,40,40
0302,302,YA,NULL,144,98
0303,303,YA,NULL,128,105
0304,304,YA,NULL,79,46
0305,305,YA,NULL,9,5
0306,306,YA,NULL,237,117
0307,307,YA,NULL,15,5
0308,308,YA,NULL,0,0
0501,501,YA,NULL,115,137
0901,901,YA,NULL,46,102
1101,1101,YA,NULL,216,87
1103,1103,YA,NULL,225,71
1501,1501,YA,NULL,194,80
1502,1502,YA,NULL,331,107
1503,1503,YA,NULL,345,69
1504,1504,YA,NULL,364,89
1701,1701,YA,NULL,121,141
1702,1702,YA,NULL,26,7
1703,1703,YA,NULL,175,77
1704,1704,YA,NULL,0,0
1705,1705,YA,NULL,285,128
1706,1706,YA,NULL,139,162
1708,1708,YA,NULL,138,105
2101,2101,YA,NULL,201,203
2103,2103,YA,NULL,94,217
2301,2301,YA,NULL,179,77
2303,2303,YA,NULL,170,83
2306,2306,YA,NULL,270,94
2501,2501,YA,NULL,103,203
2701,2701,YA,NULL,539,176
3002,3002,YA,NULL,77,19
3101,3101,YA,NULL,482,109
3103,3103,YA,NULL,121,89
3104,3104,YA,NULL,230,89
3105,3105,YA,NULL,37,8
3106,3106,YA,NULL,277,69
3206,3206,YA,NULL,389,101
3301,3301,YA,NULL,237,54
3303,3303,YA,NULL,145,33
3304,3304,YA,NULL,343,80
3306,3306,YA,NULL,165,23
3311,3311,YA,NULL,566,145
3401(*),3401,YA,NULL,0,0
3504(*),3504,YA,NULL,0,0
3601(*),3601,YA,NULL,0,0
3602,3602,YA,NULL,521,113
3902,3902,YA,NULL,116,41
4002,4002,YA,NULL,85,48
4003,4003,YA,NULL,426,102
4005,4005,YA,NULL,214,47
4105,4105,YA,NULL,146,45
4106,4106,YA,NULL,275,64
4108,4108,YA,NULL,226,60
4109,4109,YA,NULL,409,108
4111,4111,YA,NULL,377,80
4112,4112,YA,NULL,433,132
4303,4303,YA,NULL,124,25
4401,4401,YA,NULL,168,51
4402,4402,YA,NULL,190,51
4501,4501,YA,NULL,83,20
4504,4504,YA,NULL,228,72
4602,4602,YA,NULL,147,37
4603,4603,YA,NULL,379,87
4604,4604,YA,NULL,152,35
4605(*),4605,YA,NULL,0,0
4606,4606,YA,NULL,303,80
4608,4608,YA,NULL,109,29
4615,4615,YA,NULL,238,68
4616,4616,YA,NULL,141,15
4618,4618,YA,NULL,218,45
4624,4624,YA,NULL,179,35
4628,4628,YA,NULL,97,16
4802,4802,YA,NULL,490,140
5001,5001,YA,NULL,75,27
5016,5016,YA,NULL,129,30
5101,5101,YA,NULL,147,38
5202,5202,YA,NULL,0,0
