Row Label,PrecinctCode,County,Registered Voters,Jim Honeyford,Gabriel Munoz
Total,-1,YA,NULL,16794,6288
0103,103,YA,NULL,72,96
0104,104,YA,NULL,104,117
0111,111,YA,NULL,182,59
0124,124,YA,NULL,40,55
0140,140,YA,NULL,150,87
0150,150,YA,NULL,119,94
0155,155,YA,NULL,308,110
0156,156,YA,NULL,142,68
0158,158,YA,NULL,126,64
0162,162,YA,NULL,181,63
0175,175,YA,NULL,158,57
0301,301,YA,NULL,45,36
0302,302,YA,NULL,159,90
0303,303,YA,NULL,144,92
0304,304,YA,NULL,76,50
0305,305,YA,NULL,7,9
0306,306,YA,NULL,245,118
0307,307,YA,NULL,18,2
0308,308,YA,NULL,0,0
0501,501,YA,NULL,119,139
0901,901,YA,NULL,54,93
1101,1101,YA,NULL,201,98
1103,1103,YA,NULL,220,71
1501,1501,YA,NULL,194,82
1502,1502,YA,NULL,333,104
1503,1503,YA,NULL,344,74
1504,1504,YA,NULL,373,99
1701,1701,YA,NULL,136,132
1702,1702,YA,NULL,26,7
1703,1703,YA,NULL,187,72
1704,1704,YA,NULL,0,0
1705,1705,YA,NULL,305,117
1706,1706,YA,NULL,150,155
1708,1708,YA,NULL,151,94
2101,2101,YA,NULL,199,211
2103,2103,YA,NULL,89,231
2301,2301,YA,NULL,170,90
2303,2303,YA,NULL,167,83
2306,2306,YA,NULL,260,108
2501,2501,YA,NULL,85,230
2701,2701,YA,NULL,558,159
3002,3002,YA,NULL,77,23
3101,3101,YA,NULL,488,113
3103,3103,YA,NULL,118,93
3104,3104,YA,NULL,237,82
3105,3105,YA,NULL,39,6
3106,3106,YA,NULL,292,63
3206,3206,YA,NULL,406,90
3301,3301,YA,NULL,226,67
3303,3303,YA,NULL,143,37
3304,3304,YA,NULL,338,84
3306,3306,YA,NULL,169,22
3311,3311,YA,NULL,595,128
3401(*),3401,YA,NULL,0,0
3504(*),3504,YA,NULL,0,0
3601(*),3601,YA,NULL,0,0
3602,3602,YA,NULL,518,114
3902,3902,YA,NULL,130,31
4002,4002,YA,NULL,101,36
4003,4003,YA,NULL,429,105
4005,4005,YA,NULL,224,40
4105,4105,YA,NULL,143,50
4106,4106,YA,NULL,277,61
4108,4108,YA,NULL,224,66
4109,4109,YA,NULL,415,113
4111,4111,YA,NULL,377,83
4112,4112,YA,NULL,437,127
4303,4303,YA,NULL,127,21
4401,4401,YA,NULL,175,50
4402,4402,YA,NULL,201,44
4501,4501,YA,NULL,83,21
4504,4504,YA,NULL,233,67
4602,4602,YA,NULL,151,34
4603,4603,YA,NULL,384,88
4604,4604,YA,NULL,157,34
4605(*),4605,YA,NULL,0,0
4606,4606,YA,NULL,309,78
4608,4608,YA,NULL,104,32
4615,4615,YA,NULL,252,64
4616,4616,YA,NULL,146,12
4618,4618,YA,NULL,221,50
4624,4624,YA,NULL,186,30
4628,4628,YA,NULL,96,17
4802,4802,YA,NULL,496,138
5001,5001,YA,NULL,79,25
5016,5016,YA,NULL,127,32
5101,5101,YA,NULL,152,35
5202,5202,YA,NULL,0,0
