Row Label,PrecinctCode,County,Registered Voters,Maureen S. Walsh,Mary Ruth Edwards
Total,-1,WL,NULL,11269,6315
Alderbrook 01,1,WL,NULL,126,101
Alder 02,2,WL,NULL,102,68
Ash 03,3,WL,NULL,245,166
Baumeister 04,4,WL,NULL,276,110
Birch 05,5,WL,NULL,171,78
Clark 06,6,WL,NULL,134,47
College 07,7,WL,NULL,225,44
Edison 08,8,WL,NULL,169,92
Garfield 09,9,WL,NULL,193,108
Green Park 10,10,WL,NULL,172,31
Henderson 11,11,WL,NULL,158,115
Isaacs 12,12,WL,NULL,141,53
Jefferson 13,13,WL,NULL,393,176
Maple 16,16,WL,NULL,401,157
Marcus 17,17,WL,NULL,425,243
Monroe 18,18,WL,NULL,445,195
Paine 20,20,WL,NULL,100,44
Pine 21,21,WL,NULL,90,74
Pleasant 22,22,WL,NULL,342,167
Sharpstein 23,23,WL,NULL,172,78
Spruce 24,24,WL,NULL,139,66
Stadium 25,25,WL,NULL,173,63
Tausick 26,26,WL,NULL,170,93
Wainwright 28,28,WL,NULL,272,162
Watertown 29,29,WL,NULL,172,93
Abbott 31,31,WL,NULL,222,98
Baker 33,33,WL,NULL,61,39
Ice Harbor 34,34,WL,NULL,236,179
Berney 35,35,WL,NULL,184,96
Blalock 36,36,WL,NULL,270,181
Braden 37,37,WL,NULL,322,195
Burbank 38,38,WL,NULL,259,200
Clyde 39,39,WL,NULL,14,18
Derry 40,40,WL,NULL,99,56
Dixie 41,41,WL,NULL,134,127
Eureka 5 42(*),42,WL,NULL,0,0
Eureka 4 43(*),43,WL,NULL,0,0
Frenchtown 5 44,44,WL,NULL,91,106
Frenchtown 4 45,45,WL,NULL,24,19
Garrison 46,46,WL,NULL,126,103
Gose 47,47,WL,NULL,63,38
Lincoln 49,49,WL,NULL,44,25
Mill Creek 50,50,WL,NULL,139,112
Moore 51,51,WL,NULL,174,62
Pros Point 52,52,WL,NULL,594,336
Ritz 53,53,WL,NULL,340,204
McNary 54,54,WL,NULL,136,111
Touchet 4 55,55,WL,NULL,168,144
Touchet 5 56(*),56,WL,NULL,0,0
Twin Grove 57,57,WL,NULL,157,90
Yellowhawk 58,58,WL,NULL,32,12
Wallula 59,59,WL,NULL,21,17
Washington 60,60,WL,NULL,99,49
CP 1 61,61,WL,NULL,310,168
CP 2 62,62,WL,NULL,193,159
CP 3 63,63,WL,NULL,280,195
Prescott 64,64,WL,NULL,48,36
Waitsburg 65,65,WL,NULL,324,140
CP 4 66,66,WL,NULL,356,181
CP 5 67,67,WL,NULL,273,145
CP 6 68,68,WL,NULL,36,30
