Row Label,PrecinctCode,County,Registered Voters,Terry R. Nealey,Frank Blair
Total,-1,WL,NULL,13009,4881
Alderbrook 01,1,WL,NULL,169,63
Alder 02,2,WL,NULL,109,62
Ash 03,3,WL,NULL,300,119
Baumeister 04,4,WL,NULL,281,129
Birch 05,5,WL,NULL,149,109
Clark 06,6,WL,NULL,100,81
College 07,7,WL,NULL,133,139
Edison 08,8,WL,NULL,166,98
Garfield 09,9,WL,NULL,193,119
Green Park 10,10,WL,NULL,104,105
Henderson 11,11,WL,NULL,162,117
Isaacs 12,12,WL,NULL,127,74
Jefferson 13,13,WL,NULL,433,147
Maple 16,16,WL,NULL,364,192
Marcus 17,17,WL,NULL,490,180
Monroe 18,18,WL,NULL,491,141
Paine 20,20,WL,NULL,75,71
Pine 21,21,WL,NULL,104,70
Pleasant 22,22,WL,NULL,346,172
Sharpstein 23,23,WL,NULL,157,104
Spruce 24,24,WL,NULL,139,73
Stadium 25,25,WL,NULL,138,112
Tausick 26,26,WL,NULL,196,72
Wainwright 28,28,WL,NULL,306,127
Watertown 29,29,WL,NULL,161,108
Abbott 31,31,WL,NULL,258,64
Baker 33,33,WL,NULL,82,19
Ice Harbor 34,34,WL,NULL,368,59
Berney 35,35,WL,NULL,196,85
Blalock 36,36,WL,NULL,349,109
Braden 37,37,WL,NULL,429,96
Burbank 38,38,WL,NULL,357,123
Clyde 39,39,WL,NULL,28,5
Derry 40,40,WL,NULL,124,31
Dixie 41,41,WL,NULL,213,53
Eureka 5 42(*),42,WL,NULL,0,0
Eureka 4 43(*),43,WL,NULL,0,0
Frenchtown 5 44,44,WL,NULL,163,36
Frenchtown 4 45,45,WL,NULL,36,9
Garrison 46,46,WL,NULL,181,45
Gose 47,47,WL,NULL,83,17
Lincoln 49,49,WL,NULL,64,7
Mill Creek 50,50,WL,NULL,207,51
Moore 51,51,WL,NULL,175,52
Pros Point 52,52,WL,NULL,747,193
Ritz 53,53,WL,NULL,453,94
McNary 54,54,WL,NULL,212,39
Touchet 4 55,55,WL,NULL,284,43
Touchet 5 56(*),56,WL,NULL,0,0
Twin Grove 57,57,WL,NULL,194,53
Yellowhawk 58,58,WL,NULL,30,14
Wallula 59,59,WL,NULL,27,12
Washington 60,60,WL,NULL,124,30
CP 1 61,61,WL,NULL,346,147
CP 2 62,62,WL,NULL,276,90
CP 3 63,63,WL,NULL,359,116
Prescott 64,64,WL,NULL,62,21
Waitsburg 65,65,WL,NULL,383,95
CP 4 66,66,WL,NULL,388,160
CP 5 67,67,WL,NULL,327,99
CP 6 68,68,WL,NULL,52,14
