Row Label,PrecinctCode,County,Registered Voters,Lynda Wilson,Monica Stonier
Total,-1,CR,NULL,18920,17747
434,434,CR,NULL,236,203
436,436,CR,NULL,167,169
441,441,CR,NULL,302,287
483,483,CR,NULL,439,408
487,487,CR,NULL,171,125
543,543,CR,NULL,405,222
550,550,CR,NULL,435,324
553,553,CR,NULL,298,267
555,555,CR,NULL,377,337
560,560,CR,NULL,343,273
563,563,CR,NULL,347,291
570,570,CR,NULL,348,259
571,571,CR,NULL,310,257
572,572,CR,NULL,437,309
573,573,CR,NULL,445,298
574,574,CR,NULL,14,16
575,575,CR,NULL,128,54
576,576,CR,NULL,5,2
577,577,CR,NULL,553,244
578,578,CR,NULL,35,25
579,579,CR,NULL,9,15
615,615,CR,NULL,180,108
617,617,CR,NULL,370,235
624,624,CR,NULL,82,53
626,626,CR,NULL,289,251
627,627,CR,NULL,294,270
628,628,CR,NULL,303,291
629,629,CR,NULL,276,249
630,630,CR,NULL,217,237
632,632,CR,NULL,155,162
633,633,CR,NULL,234,274
634,634,CR,NULL,264,244
635,635,CR,NULL,223,213
636,636,CR,NULL,262,220
638,638,CR,NULL,251,245
640,640,CR,NULL,278,282
641,641,CR,NULL,121,120
643,643,CR,NULL,256,268
646,646,CR,NULL,141,141
649,649,CR,NULL,258,240
652,652,CR,NULL,231,295
653,653,CR,NULL,205,268
654,654,CR,NULL,208,193
655,655,CR,NULL,220,286
656,656,CR,NULL,145,172
658,658,CR,NULL,253,278
659,659,CR,NULL,276,313
662,662,CR,NULL,297,321
664,664,CR,NULL,272,324
667,667,CR,NULL,234,230
668,668,CR,NULL,311,327
669,669,CR,NULL,349,228
672,672,CR,NULL,233,255
674,674,CR,NULL,225,298
677,677,CR,NULL,293,327
678,678,CR,NULL,211,248
679,679,CR,NULL,162,227
680,680,CR,NULL,238,271
681,681,CR,NULL,236,232
682,682,CR,NULL,226,293
683,683,CR,NULL,244,306
685,685,CR,NULL,78,82
686,686,CR,NULL,202,233
687,687,CR,NULL,272,251
688,688,CR,NULL,231,268
689,689,CR,NULL,305,298
691,691,CR,NULL,282,285
692,692,CR,NULL,329,287
693,693,CR,NULL,164,169
694,694,CR,NULL,89,125
695,695,CR,NULL,309,321
697,697,CR,NULL,366,371
698,698,CR,NULL,330,254
699,699,CR,NULL,282,266
710,710,CR,NULL,116,137
720,720,CR,NULL,238,220
