Row Label,PrecinctCode,County,Registered Voters,Mike Briggs,Brandon Vick
Total,-1,CR,NULL,16521,28221
440,440,CR,NULL,272,337
444,444,CR,NULL,365,395
445,445,CR,NULL,283,443
446,446,CR,NULL,187,372
447,447,CR,NULL,285,468
448,448,CR,NULL,297,433
449,449,CR,NULL,333,445
450,450,CR,NULL,303,421
451,451,CR,NULL,268,310
452,452,CR,NULL,236,309
455,455,CR,NULL,163,265
456,456,CR,NULL,337,469
480,480,CR,NULL,320,495
485,485,CR,NULL,141,318
490,490,CR,NULL,167,306
491,491,CR,NULL,15,38
500,500,CR,NULL,233,437
502,502,CR,NULL,214,322
503,503,CR,NULL,145,311
505,505,CR,NULL,237,481
515,515,CR,NULL,238,456
521,521,CR,NULL,7,7
522,522,CR,NULL,80,145
523,523,CR,NULL,2,19
524,524,CR,NULL,27,49
527,527,CR,NULL,157,360
538,538,CR,NULL,66,247
540,540,CR,NULL,205,501
545,545,CR,NULL,140,293
580,580,CR,NULL,139,273
581,581,CR,NULL,94,193
582,582,CR,NULL,132,324
583,583,CR,NULL,137,339
584,584,CR,NULL,159,366
585,585,CR,NULL,219,484
586,586,CR,NULL,161,321
587,587,CR,NULL,149,330
588,588,CR,NULL,117,221
590,590,CR,NULL,255,530
591,591,CR,NULL,262,568
592,592,CR,NULL,270,489
593,593,CR,NULL,202,457
594,594,CR,NULL,6,14
595(*),595,CR,NULL,0,0
596(*),596,CR,NULL,0,0
597,597,CR,NULL,11,65
598,598,CR,NULL,6,14
600,600,CR,NULL,84,228
603,603,CR,NULL,86,313
605,605,CR,NULL,131,465
610,610,CR,NULL,261,564
613,613,CR,NULL,75,223
618,618,CR,NULL,218,457
620,620,CR,NULL,219,473
625,625,CR,NULL,204,434
631,631,CR,NULL,329,315
644,644,CR,NULL,294,337
645,645,CR,NULL,325,390
647,647,CR,NULL,149,269
648,648,CR,NULL,223,259
690,690,CR,NULL,290,333
696,696,CR,NULL,296,391
700,700,CR,NULL,34,70
900,900,CR,NULL,222,334
903,903,CR,NULL,265,307
905,905,CR,NULL,227,390
910,910,CR,NULL,235,303
912,912,CR,NULL,222,264
913,913,CR,NULL,253,429
914,914,CR,NULL,206,383
917,917,CR,NULL,142,243
920,920,CR,NULL,191,313
925,925,CR,NULL,174,341
935,935,CR,NULL,210,395
947,947,CR,NULL,178,309
950,950,CR,NULL,249,290
951,951,CR,NULL,289,231
953,953,CR,NULL,135,121
957,957,CR,NULL,31,99
958,958,CR,NULL,37,64
959,959,CR,NULL,10,23
960,960,CR,NULL,263,435
961,961,CR,NULL,40,66
962,962,CR,NULL,143,326
963,963,CR,NULL,204,246
964,964,CR,NULL,219,400
965,965,CR,NULL,210,387
966,966,CR,NULL,100,306
967,967,CR,NULL,141,230
968,968,CR,NULL,203,294
969,969,CR,NULL,158,191
985,985,CR,NULL,218,262
