Row Label,PrecinctCode,County,Registered Voters,Liz Pike,Maureen Winningham
Total,-1,CR,NULL,26619,18342
440,440,CR,NULL,307,302
444,444,CR,NULL,368,395
445,445,CR,NULL,377,344
446,446,CR,NULL,351,210
447,447,CR,NULL,421,324
448,448,CR,NULL,398,335
449,449,CR,NULL,403,380
450,450,CR,NULL,381,341
451,451,CR,NULL,294,284
452,452,CR,NULL,265,285
455,455,CR,NULL,254,174
456,456,CR,NULL,433,377
480,480,CR,NULL,468,354
485,485,CR,NULL,315,144
490,490,CR,NULL,298,177
491,491,CR,NULL,32,19
500,500,CR,NULL,396,271
502,502,CR,NULL,313,225
503,503,CR,NULL,288,171
505,505,CR,NULL,458,270
515,515,CR,NULL,433,262
521,521,CR,NULL,7,7
522,522,CR,NULL,139,86
523,523,CR,NULL,19,2
524,524,CR,NULL,52,26
527,527,CR,NULL,354,168
538,538,CR,NULL,234,77
540,540,CR,NULL,492,214
545,545,CR,NULL,286,147
580,580,CR,NULL,271,146
581,581,CR,NULL,196,95
582,582,CR,NULL,322,138
583,583,CR,NULL,343,139
584,584,CR,NULL,364,159
585,585,CR,NULL,479,228
586,586,CR,NULL,300,178
587,587,CR,NULL,327,155
588,588,CR,NULL,217,122
590,590,CR,NULL,529,266
591,591,CR,NULL,556,283
592,592,CR,NULL,476,291
593,593,CR,NULL,454,206
594,594,CR,NULL,15,6
595(*),595,CR,NULL,0,0
596(*),596,CR,NULL,0,0
597,597,CR,NULL,61,15
598,598,CR,NULL,15,5
600,600,CR,NULL,235,79
603,603,CR,NULL,314,84
605,605,CR,NULL,465,133
610,610,CR,NULL,540,286
613,613,CR,NULL,215,82
618,618,CR,NULL,444,235
620,620,CR,NULL,467,225
625,625,CR,NULL,438,201
631,631,CR,NULL,291,353
644,644,CR,NULL,311,323
645,645,CR,NULL,371,346
647,647,CR,NULL,234,187
648,648,CR,NULL,244,246
690,690,CR,NULL,301,339
696,696,CR,NULL,375,317
700,700,CR,NULL,63,42
900,900,CR,NULL,319,238
903,903,CR,NULL,300,279
905,905,CR,NULL,362,253
910,910,CR,NULL,309,232
912,912,CR,NULL,247,245
913,913,CR,NULL,398,294
914,914,CR,NULL,365,231
917,917,CR,NULL,227,169
920,920,CR,NULL,286,221
925,925,CR,NULL,306,205
935,935,CR,NULL,369,239
947,947,CR,NULL,280,214
950,950,CR,NULL,276,269
951,951,CR,NULL,204,326
953,953,CR,NULL,106,151
957,957,CR,NULL,92,39
958,958,CR,NULL,53,49
959,959,CR,NULL,23,10
960,960,CR,NULL,390,311
961,961,CR,NULL,61,45
962,962,CR,NULL,297,180
963,963,CR,NULL,225,226
964,964,CR,NULL,345,281
965,965,CR,NULL,333,267
966,966,CR,NULL,269,129
967,967,CR,NULL,202,167
968,968,CR,NULL,233,269
969,969,CR,NULL,170,182
985,985,CR,NULL,237,244
