Row Label,PrecinctCode,County,Registered Voters,Dean Takko,David A. Steenson
Total,-1,GY,NULL,5987,2692
Chehalis 066,66,GY,NULL,4,2
Blockhouse 068,68,GY,NULL,159,117
Delezenne 070,70,GY,NULL,179,140
Melbourne 072,72,GY,NULL,185,113
Devonshire 074,74,GY,NULL,184,63
Vesta 076,76,GY,NULL,39,26
Artic 078,78,GY,NULL,32,26
Central Park 080,80,GY,NULL,386,151
Lois Lane 082,82,GY,NULL,67,43
Blue Slough 084(*),84,GY,NULL,0,0
Sierra 086(*),86,GY,NULL,0,0
Lund 088,88,GY,NULL,46,21
Newskah 090,90,GY,NULL,13,4
Ocosta 092,92,GY,NULL,0,0
Johns River 094,94,GY,NULL,192,68
Grayland 096,96,GY,NULL,179,108
Cohasset 098,98,GY,NULL,112,61
Aberdeen 111,111,GY,NULL,372,156
Aberdeen 121,121,GY,NULL,340,136
Aberdeen 131,131,GY,NULL,464,167
Aberdeen 141,141,GY,NULL,395,120
Aberdeen 142,142,GY,NULL,276,134
Aberdeen 151,151,GY,NULL,206,102
Aberdeen 161,161,GY,NULL,351,132
Cosmopolis 201,201,GY,NULL,392,112
Montesano 601,601,GY,NULL,454,187
Montesano 602,602,GY,NULL,428,192
Montesano 603,603,GY,NULL,0,0
Oakville 701,701,GY,NULL,60,79
Westport 901,901,GY,NULL,351,173
