Row Label,PrecinctCode,County,Registered Voters,Dean Takko,David A. Steenson
Total,-1,WK,NULL,1150,554
01 - DEEP RIVER,1,WK,NULL,67,37
02 - GRAYS RIVER,2,WK,NULL,74,31
03 - ROSBURG / ALTOONA,3,WK,NULL,91,47
04 - SKAMOKAWA,4,WK,NULL,103,47
05 - ELOCHOMAN,5,WK,NULL,150,87
06 - ROSEDALE,6,WK,NULL,84,54
07 - COLUMBIA,7,WK,NULL,148,73
08 - EAST PUGET ISLAND,8,WK,NULL,107,41
09 - WEST PUGET ISLAND,9,WK,NULL,177,87
10 - SOUTH CATHLAMET,10,WK,NULL,107,29
11 - NORTH CATHLAMET,11,WK,NULL,42,21
