Row Label,PrecinctCode,County,Registered Voters,Brian Blake,Hugh Fleet
Total,-1,PA,NULL,5176,2751
Baleville,1,PA,NULL,43,37
Bay Center,2,PA,NULL,112,60
Chinook,3,PA,NULL,162,91
Eklund Park,4,PA,NULL,54,18
Frances-Lebam(*),6,PA,NULL,0,0
Ilwaco 1 Rural(*),7,PA,NULL,0,0
Ilwaco 2 Rural,8,PA,NULL,40,35
Klipsan,9,PA,NULL,203,120
Menlo-Firdale,11,PA,NULL,228,145
Nahcotta,12,PA,NULL,473,278
Naselle,13,PA,NULL,333,170
Nemah,15,PA,NULL,25,17
North Cove,16,PA,NULL,224,93
Pioneer 2,17,PA,NULL,136,81
North River,18,PA,NULL,20,14
Ocean Park 1,19,PA,NULL,130,70
Ocean Park 2,20,PA,NULL,322,166
Oysterville,21,PA,NULL,250,150
Pioneer,22,PA,NULL,144,89
Raymond W2 R,23,PA,NULL,26,30
Raymond W3 R,24,PA,NULL,32,12
Seaview 1,25,PA,NULL,210,97
Seaview 2,26,PA,NULL,19,12
Smith Creek,27,PA,NULL,47,24
South Bend 1 R,28,PA,NULL,26,27
South Bend 3R,29,PA,NULL,3,2
South Bend 2R(*),30,PA,NULL,0,0
South Fork,32,PA,NULL,94,39
Willapa,34,PA,NULL,312,118
Ilwaco City,101,PA,NULL,223,128
Long Beach,103,PA,NULL,337,191
Raymond W1p1,105,PA,NULL,18,14
Raymond W1p2,106,PA,NULL,77,57
Raymond W1p3,107,PA,NULL,107,43
Raymond W2,108,PA,NULL,112,51
Raymond W3,110,PA,NULL,185,62
South Bend 1,113,PA,NULL,143,56
South Bend 2,115,PA,NULL,87,27
South Bend 3,117,PA,NULL,119,40
