Row Label,PrecinctCode,County,Registered Voters,J.T. Wilcox,Steven Nielson
Total,-1,TH,NULL,8966,4147
Cougar Mountain,28,TH,NULL,47,35
Lackamas,31,TH,NULL,53,79
Morris,32,TH,NULL,262,129
Evergreen Ballroom,33,TH,NULL,250,135
University North,43,TH,NULL,97,41
Medicine Creek,57,TH,NULL,109,39
Skokomish,58,TH,NULL,174,85
Pleasant Hill,59,TH,NULL,233,104
Smith Prairie,60,TH,NULL,296,106
Pines,74,TH,NULL,197,59
Tri Lakes,78,TH,NULL,129,39
University South,79,TH,NULL,111,63
Deerbrush,91,TH,NULL,236,105
Mushroom Corner,92,TH,NULL,185,105
Trailblazer,93,TH,NULL,69,47
Marvin,98,TH,NULL,242,105
Montgomery,110,TH,NULL,90,61
Nisqually,111,TH,NULL,167,86
Forest,115,TH,NULL,307,127
St Clair,116,TH,NULL,254,80
Fleetwood,118,TH,NULL,277,139
Lydia Hawk,119,TH,NULL,314,183
Fristoe,124,TH,NULL,180,53
Deschutes,125,TH,NULL,293,123
Longmire,126,TH,NULL,163,50
Ruth Prairie,127,TH,NULL,94,55
Weir Prairie,128,TH,NULL,222,118
Thompson,162,TH,NULL,116,68
Sunwood Lakes,165,TH,NULL,327,156
Eaton Creek,166,TH,NULL,153,58
Hawks Ridge,167,TH,NULL,79,44
Mcallister Creek,169,TH,NULL,156,98
Four Corners,179,TH,NULL,347,181
Fair Oaks,185,TH,NULL,130,88
Mullen,187,TH,NULL,240,120
Berry Valley,193,TH,NULL,169,108
Hartwood,194,TH,NULL,418,142
Meadows,196,TH,NULL,167,102
Summerset,197,TH,NULL,371,138
Rainier 01,601,TH,NULL,186,79
Rainier 02,602,TH,NULL,135,61
Yelm 1,701,TH,NULL,207,81
Yelm 2,702,TH,NULL,203,97
Yelm 3,703,TH,NULL,253,86
Yelm 4,704,TH,NULL,258,89
