Row Label,PrecinctCode,County,Registered Voters,Chris Reykdal,Steve Owens
Total,-1,TH,NULL,28977,16286
Kaiser(*),35,TH,NULL,0,0
Delta(*),38,TH,NULL,0,0
Jones Beach,39,TH,NULL,112,98
Simmons 9,42,TH,NULL,4,2
Woodard Creek,47,TH,NULL,169,142
Ames,63,TH,NULL,203,98
Airport,64,TH,NULL,13,14
Luhr Beach,65,TH,NULL,190,225
Fish Trap,66,TH,NULL,175,112
Quince(*),67,TH,NULL,0,0
Simmons 2(*),68,TH,NULL,0,0
Simmons 3,69,TH,NULL,9,9
Simmons 4,70,TH,NULL,9,9
Long Lake,75,TH,NULL,51,42
Hawk Acres,76,TH,NULL,119,117
Tolmie,80,TH,NULL,58,79
Glen Terra,82,TH,NULL,63,46
Glenwood,84,TH,NULL,80,48
Woodland,88,TH,NULL,175,150
Zangle,101,TH,NULL,210,117
Boston Harbor,102,TH,NULL,314,94
Gull Harbor,103,TH,NULL,157,81
Friendly Grove,104,TH,NULL,113,105
South Bay,105,TH,NULL,213,215
Puget,106,TH,NULL,204,249
Bigelow,107,TH,NULL,205,110
Pleasant Glade,109,TH,NULL,132,78
Roosevelt,112,TH,NULL,248,180
Kinwood,113,TH,NULL,155,131
Mckinley,114,TH,NULL,74,49
Hicks,117,TH,NULL,40,20
Freedom,123,TH,NULL,233,193
College,129,TH,NULL,48,9
Cooper Point,134,TH,NULL,207,152
Butler Cove,135,TH,NULL,200,119
Broadway,136,TH,NULL,299,148
Plainview,139,TH,NULL,360,191
Bush Prairie,143,TH,NULL,51,33
Johnson Point,160,TH,NULL,253,208
Smith Lake,163,TH,NULL,186,155
Holmes,168,TH,NULL,170,135
Tykle Cove,172,TH,NULL,213,152
French,174,TH,NULL,274,107
Sunset Beach,175,TH,NULL,302,124
Henderson,176,TH,NULL,246,236
Pattison,178,TH,NULL,188,161
Beach Crest,183,TH,NULL,156,115
Sleater Kinney,189,TH,NULL,152,150
Libby,195,TH,NULL,191,109
Olympia 01,201,TH,NULL,219,69
Olympia 02,202,TH,NULL,219,75
Olympia 03,203,TH,NULL,228,82
Olympia 04,204,TH,NULL,204,62
Olympia 05,205,TH,NULL,239,37
Olympia 06,206,TH,NULL,338,179
Olympia 07,207,TH,NULL,131,38
Olympia 08,208,TH,NULL,223,109
Olympia 09,209,TH,NULL,379,172
Olympia 10,210,TH,NULL,327,35
Olympia 11,211,TH,NULL,253,31
Olympia 12,212,TH,NULL,98,67
Olympia 13,213,TH,NULL,283,45
Olympia 14,214,TH,NULL,228,50
Olympia 15,215,TH,NULL,221,41
Olympia 16,216,TH,NULL,38,14
Olympia 17,217,TH,NULL,126,80
Olympia 18,218,TH,NULL,259,47
Olympia 19,219,TH,NULL,198,65
Olympia 20,220,TH,NULL,147,20
Olympia 21,221,TH,NULL,370,77
Olympia 23,223,TH,NULL,307,70
Olympia 24,224,TH,NULL,244,51
Olympia 25,225,TH,NULL,179,67
Olympia 26,226,TH,NULL,249,44
Olympia 27,227,TH,NULL,104,42
Olympia 28,228,TH,NULL,292,56
Olympia 29,229,TH,NULL,237,132
Olympia 30,230,TH,NULL,226,47
Olympia 31,231,TH,NULL,167,122
Olympia 32,232,TH,NULL,257,141
Olympia 35,235,TH,NULL,407,186
Olympia 36,236,TH,NULL,89,30
Olympia 37,237,TH,NULL,150,68
Olympia 38,238,TH,NULL,54,25
Olympia 39,239,TH,NULL,233,92
Olympia 40,240,TH,NULL,217,51
Olympia 41,241,TH,NULL,289,51
Olympia 42,242,TH,NULL,182,40
Olympia 43,243,TH,NULL,304,79
Olympia 44,244,TH,NULL,149,16
Olympia 45,245,TH,NULL,130,59
Olympia 46,246,TH,NULL,186,116
Olympia 47,247,TH,NULL,280,101
Olympia 48,248,TH,NULL,252,154
Olympia 49,249,TH,NULL,294,43
Olympia 50,250,TH,NULL,211,42
Olympia 51,251,TH,NULL,42,34
Olympia 52,252,TH,NULL,144,29
Olympia 53,253,TH,NULL,173,103
Olympia 54,254,TH,NULL,178,33
Olympia 55,255,TH,NULL,116,61
Olympia 56,256,TH,NULL,182,103
Olympia 57,257,TH,NULL,119,49
Olympia 58,258,TH,NULL,190,113
Olympia 59,259,TH,NULL,202,74
Olympia 60,260,TH,NULL,132,66
Lacey 01,301,TH,NULL,74,52
Lacey 02,302,TH,NULL,135,78
Lacey 03,303,TH,NULL,145,135
Lacey 04,304,TH,NULL,87,70
Lacey 05,305,TH,NULL,112,91
Lacey 06,306,TH,NULL,53,55
Lacey 07,307,TH,NULL,146,102
Lacey 08,308,TH,NULL,116,76
Lacey 09,309,TH,NULL,87,55
Lacey 10,310,TH,NULL,258,120
