Row Label,PrecinctCode,County,Registered Voters,Drew Hansen,James M. Olsen
Total,-1,KP,NULL,29064,17304
BREMERTON 040,100040,KP,NULL,273,122
BREMERTON 041,100041,KP,NULL,232,115
BREMERTON 046,100046,KP,NULL,259,157
BREMERTON 052,100052,KP,NULL,175,122
BREMERTON 053,100053,KP,NULL,341,209
BREMERTON 054,100054,KP,NULL,152,92
BREMERTON 056,100056,KP,NULL,214,151
BREMERTON 058,100058,KP,NULL,272,161
ILLAHEE 065,100065,KP,NULL,287,245
SYLVAN 066,100066,KP,NULL,281,169
RAINIER 067,100067,KP,NULL,275,236
PERRY 073,100073,KP,NULL,170,111
OLYMPIC 099,100099,KP,NULL,35,20
TRIDENT 101,100101,KP,NULL,46,53
FRONTIER 102,100102,KP,NULL,247,300
OLYMPIC VIEW 103,100103,KP,NULL,189,197
BROWNSVILLE 105,100105,KP,NULL,326,323
OLD FRONTIER 106,100106,KP,NULL,251,315
CLEAR CREEK 120,100120,KP,NULL,225,216
BUCKLIN 121,100121,KP,NULL,264,248
LUOTO 122,100122,KP,NULL,103,160
COTTONWOOD 125,100125,KP,NULL,229,189
FOREST RIDGE 126,100126,KP,NULL,140,142
WOODMERE 127,100127,KP,NULL,284,259
CENTRAL VALLEY 128,100128,KP,NULL,273,235
WINSTON 129,100129,KP,NULL,120,92
REGAL 131,100131,KP,NULL,64,59
FAIRVIEW 135,100135,KP,NULL,132,161
FIRGLADE 137,100137,KP,NULL,150,158
TIBARDIS 139,100139,KP,NULL,113,99
GILBERTON 140,100140,KP,NULL,197,198
RIDGEPOINT 141,100141,KP,NULL,178,177
UNIVERSITY POINT 142,100142,KP,NULL,178,153
KARIOTIS 143,100143,KP,NULL,256,220
CAMBRIDGE 144,100144,KP,NULL,142,167
SPINNAKER 146,100146,KP,NULL,185,140
BARKER CREEK 147,100147,KP,NULL,284,264
SANTA FE 148,100148,KP,NULL,205,193
RIDGETOP 149,100149,KP,NULL,161,180
MEADOWDALE 150,100150,KP,NULL,175,177
BREMERTON 159,100159,KP,NULL,145,107
SILVERDALE 160,100160,KP,NULL,264,230
MORKEN 161,100161,KP,NULL,313,334
SUTTON 165,100165,KP,NULL,157,142
TRACYTON 170,100170,KP,NULL,181,169
VENA 173,100173,KP,NULL,240,170
FUSON 175,100175,KP,NULL,221,197
BLUE HERON 301,100301,KP,NULL,668,88
AZALEA 302,100302,KP,NULL,517,95
WINSLOW 304,100304,KP,NULL,732,128
WING POINT 305,100305,KP,NULL,319,103
BLAKELY 310,100310,KP,NULL,390,86
CRYSTAL SPRINGS 312,100312,KP,NULL,612,109
FINCH 314,100314,KP,NULL,330,82
FERNCLIFF 315,100315,KP,NULL,590,121
EAGLE HARBOR 317,100317,KP,NULL,326,61
FORT WARD 318,100318,KP,NULL,452,106
ISLAND CENTER 320,100320,KP,NULL,391,87
MEADOWMEER 321,100321,KP,NULL,199,39
NEW BROOKLYN 322,100322,KP,NULL,280,60
LIBERTY 325,100325,KP,NULL,397,71
SKIFF POINT 328,100328,KP,NULL,386,66
ROLLING BAY 330,100330,KP,NULL,434,104
LOVGREN 332,100332,KP,NULL,254,58
TOLO 333,100333,KP,NULL,376,97
SEABOLD 335,100335,KP,NULL,475,134
MANZANITA 336,100336,KP,NULL,310,67
PORT MADISON 340,100340,KP,NULL,321,84
TORVANGER 345,100345,KP,NULL,535,125
POULSBO 401,100401,KP,NULL,366,258
POULSBO 403,100403,KP,NULL,277,172
POULSBO 404,100404,KP,NULL,344,215
POULSBO 405,100405,KP,NULL,338,179
POULSBO 406,100406,KP,NULL,367,242
POULSBO 407,100407,KP,NULL,253,166
BREIDABLIK 410,100410,KP,NULL,281,216
VINLAND 412,100412,KP,NULL,324,262
BELLA VISTA 413,100413,KP,NULL,238,182
HANSVILLE 415,100415,KP,NULL,182,162
POINT NO POINT 416,100416,KP,NULL,479,290
TWIN SPITS 417,100417,KP,NULL,381,211
S&#39;KLALLAM 418,100418,KP,NULL,41,2
POINT JEFFERSON 419,100419,KP,NULL,251,163
INDIANOLA 420,100420,KP,NULL,490,163
ORCA 421,100421,KP,NULL,231,127
APPLE TREE 422,100422,KP,NULL,345,199
HIGHLAND 423,100423,KP,NULL,163,142
KEYPORT 425,100425,KP,NULL,289,295
EVERGREEN RIDGE 426,100426,KP,NULL,90,99
ISLAND LAKE 427,100427,KP,NULL,219,220
KINGSTON 430,100430,KP,NULL,443,292
LEMOLO 435,100435,KP,NULL,232,186
LINCOLN 440,100440,KP,NULL,224,219
BIG VALLEY 441,100441,KP,NULL,199,175
LOFALL 442,100442,KP,NULL,380,321
PEARSON 445,100445,KP,NULL,340,324
PORT GAMBLE 450,100450,KP,NULL,287,207
STRIEBEL 453,100453,KP,NULL,303,223
GAMBLEWOOD 454,100454,KP,NULL,186,155
SCANDIA 455,100455,KP,NULL,251,255
MILLER BAY 458,100458,KP,NULL,347,276
SUQUAMISH 460,100460,KP,NULL,283,90
AUGUSTA 461,100461,KP,NULL,225,70
TOTTEN 463,100463,KP,NULL,286,111
SANDY HOOK 464,100464,KP,NULL,231,130
