Row Label,PrecinctCode,County,Registered Voters,Kevin Van De Wege
Total,-1,JE,NULL,11338
101 Gardiner,101,JE,NULL,141
102 Port Discovery,102,JE,NULL,152
103 Crocker,103,JE,NULL,121
104 Cape George,104,JE,NULL,404
105 Discovery Bay,105,JE,NULL,386
106 North Jacob,106,JE,NULL,291
107 South Jacob,107,JE,NULL,375
200 Coyle,200,JE,NULL,167
201 Quilcene,201,JE,NULL,318
204 Brinnon,204,JE,NULL,405
300 Chimacum I,300,JE,NULL,223
301 Chimacum II,301,JE,NULL,147
302 Center I,302,JE,NULL,204
303 Hadlock,303,JE,NULL,352
304 Kala Point,304,JE,NULL,419
305 Irondale I,305,JE,NULL,269
306 Irondale II,306,JE,NULL,343
307 Four Corners,307,JE,NULL,229
308 Center II,308,JE,NULL,133
401 Nordland,401,JE,NULL,372
500 Port Ludlow,500,JE,NULL,365
501 Port Ludlow I,501,JE,NULL,428
502 Port Ludlow II,502,JE,NULL,275
503 Port Ludlow III,503,JE,NULL,249
504 Port Ludlow IV,504,JE,NULL,188
505 Port Ludlow V,505,JE,NULL,303
600 Hoh,600,JE,NULL,27
601 Queets,601,JE,NULL,25
700 Port Townsend,700,JE,NULL,393
701 Port Townsend,701,JE,NULL,198
702 Port Townsend,702,JE,NULL,239
703 Port Townsend,703,JE,NULL,279
704 Port Townsend,704,JE,NULL,214
705 Port Townsend,705,JE,NULL,243
706 Port Townsend,706,JE,NULL,610
707 Port Townsend,707,JE,NULL,504
708 Port Townsend,708,JE,NULL,534
709 Port Townsend,709,JE,NULL,496
710 Port Townsend,710,JE,NULL,317
