Row Label,PrecinctCode,County,Registered Voters,Larry Seaquist,Michelle Caldier
Total,-1,PI,NULL,12839,13381
26-301,26301,PI,NULL,104,123
26-302,26302,PI,NULL,452,408
26-303,26303,PI,NULL,390,380
26-304,26304,PI,NULL,455,419
26-305,26305,PI,NULL,430,407
26-315,26315,PI,NULL,357,356
26-316,26316,PI,NULL,359,376
26-317,26317,PI,NULL,280,349
26-318,26318,PI,NULL,264,276
26-319,26319,PI,NULL,286,299
26-320,26320,PI,NULL,311,301
26-321,26321,PI,NULL,443,381
26-322,26322,PI,NULL,353,345
26-323,26323,PI,NULL,427,335
26-324,26324,PI,NULL,301,342
26-325,26325,PI,NULL,274,339
26-326,26326,PI,NULL,357,332
26-327,26327,PI,NULL,347,301
26-328,26328,PI,NULL,220,370
26-329,26329,PI,NULL,242,430
26-330,26330,PI,NULL,225,214
26-331,26331,PI,NULL,93,100
26-332,26332,PI,NULL,300,287
26-333,26333,PI,NULL,287,390
26-334,26334,PI,NULL,345,325
26-335,26335,PI,NULL,269,244
26-336,26336,PI,NULL,324,391
26-337,26337,PI,NULL,363,339
26-338,26338,PI,NULL,266,300
26-339,26339,PI,NULL,62,49
26-340,26340,PI,NULL,369,380
26-341,26341,PI,NULL,287,331
26-342,26342,PI,NULL,366,335
26-343,26343,PI,NULL,293,303
26-344,26344,PI,NULL,46,25
26-345,26345,PI,NULL,298,318
26-346,26346,PI,NULL,264,251
26-347,26347,PI,NULL,240,287
26-348,26348,PI,NULL,296,315
26-349,26349,PI,NULL,285,346
26-350,26350,PI,NULL,296,367
26-351,26351,PI,NULL,302,316
26-352,26352,PI,NULL,311,299
