Row Label,PrecinctCode,County,Registered Voters,Steve O'Ban,Tami Green
Total,-1,PI,NULL,20945,17503
28-501,28501,PI,NULL,320,358
28-502,28502,PI,NULL,264,398
28-503,28503,PI,NULL,272,371
28-504,28504,PI,NULL,318,319
28-505,28505,PI,NULL,399,348
28-506,28506,PI,NULL,286,379
28-507,28507,PI,NULL,208,306
28-508,28508,PI,NULL,126,143
28-509,28509,PI,NULL,0,0
28-515,28515,PI,NULL,393,370
28-516,28516,PI,NULL,361,312
28-517,28517,PI,NULL,343,342
28-518,28518,PI,NULL,280,333
28-519,28519,PI,NULL,330,327
28-520,28520,PI,NULL,255,350
28-521,28521,PI,NULL,343,342
28-522,28522,PI,NULL,360,321
28-523,28523,PI,NULL,436,259
28-524,28524,PI,NULL,384,360
28-525,28525,PI,NULL,391,344
28-526,28526,PI,NULL,280,205
28-527,28527,PI,NULL,414,332
28-528,28528,PI,NULL,344,322
28-529,28529,PI,NULL,298,246
28-530,28530,PI,NULL,125,149
28-531,28531,PI,NULL,312,276
28-535,28535,PI,NULL,338,372
28-536,28536,PI,NULL,357,319
28-537,28537,PI,NULL,382,301
28-538,28538,PI,NULL,257,273
28-540,28540,PI,NULL,422,323
28-541,28541,PI,NULL,313,254
28-542,28542,PI,NULL,349,262
28-543,28543,PI,NULL,306,196
28-545,28545,PI,NULL,325,251
28-546,28546,PI,NULL,337,225
28-547,28547,PI,NULL,376,345
28-548,28548,PI,NULL,257,247
28-549,28549,PI,NULL,347,233
28-550,28550,PI,NULL,241,205
28-551,28551,PI,NULL,423,317
28-552,28552,PI,NULL,353,313
28-553,28553,PI,NULL,356,284
28-554,28554,PI,NULL,416,216
28-555,28555,PI,NULL,379,337
28-556,28556,PI,NULL,254,240
28-557,28557,PI,NULL,247,236
28-558,28558,PI,NULL,252,202
28-559,28559,PI,NULL,360,187
28-560,28560,PI,NULL,494,245
28-561,28561,PI,NULL,230,141
28-562,28562,PI,NULL,198,115
28-563,28563,PI,NULL,83,91
28-565,28565,PI,NULL,278,189
28-566,28566,PI,NULL,285,198
28-567,28567,PI,NULL,339,208
28-568,28568,PI,NULL,336,217
28-570,28570,PI,NULL,3,6
28-571,28571,PI,NULL,7,5
28-572,28572,PI,NULL,223,248
28-573,28573,PI,NULL,131,194
28-574(*),28574,PI,NULL,0,0
28-575(*),28575,PI,NULL,0,0
28-576,28576,PI,NULL,321,252
28-577,28577,PI,NULL,10,7
28-578,28578,PI,NULL,76,32
28-579,28579,PI,NULL,45,27
28-580,28580,PI,NULL,65,28
28-581,28581,PI,NULL,163,132
28-582,28582,PI,NULL,112,88
28-583,28583,PI,NULL,196,133
28-584,28584,PI,NULL,209,122
28-585,28585,PI,NULL,349,201
28-586,28586,PI,NULL,276,176
28-587,28587,PI,NULL,211,123
28-588,28588,PI,NULL,363,183
28-589,28589,PI,NULL,364,162
28-590,28590,PI,NULL,13,4
