Row Label,PrecinctCode,County,Registered Voters,Steve Kirby
Total,-1,PI,NULL,16925
29-601,29601,PI,NULL,286
29-602,29602,PI,NULL,253
29-603,29603,PI,NULL,323
29-604,29604,PI,NULL,331
29-605,29605,PI,NULL,261
29-606,29606,PI,NULL,354
29-607,29607,PI,NULL,434
29-608,29608,PI,NULL,294
29-609,29609,PI,NULL,239
29-610,29610,PI,NULL,332
29-611,29611,PI,NULL,71
29-612,29612,PI,NULL,177
29-613,29613,PI,NULL,362
29-614,29614,PI,NULL,379
29-615,29615,PI,NULL,390
29-616,29616,PI,NULL,319
29-617,29617,PI,NULL,315
29-618,29618,PI,NULL,281
29-619,29619,PI,NULL,309
29-620,29620,PI,NULL,193
29-621,29621,PI,NULL,1
29-622,29622,PI,NULL,258
29-623,29623,PI,NULL,72
29-624,29624,PI,NULL,0
29-625,29625,PI,NULL,7
29-626,29626,PI,NULL,9
29-627,29627,PI,NULL,0
29-633,29633,PI,NULL,31
29-635,29635,PI,NULL,91
29-636,29636,PI,NULL,395
29-637,29637,PI,NULL,286
29-638,29638,PI,NULL,171
29-639,29639,PI,NULL,305
29-640,29640,PI,NULL,321
29-641,29641,PI,NULL,330
29-642,29642,PI,NULL,334
29-643,29643,PI,NULL,30
29-648,29648,PI,NULL,7
29-649,29649,PI,NULL,102
29-650,29650,PI,NULL,313
29-651,29651,PI,NULL,379
29-652,29652,PI,NULL,38
29-653,29653,PI,NULL,333
29-654,29654,PI,NULL,375
29-655,29655,PI,NULL,146
29-656,29656,PI,NULL,296
29-657,29657,PI,NULL,5
29-658,29658,PI,NULL,303
29-659,29659,PI,NULL,188
29-660,29660,PI,NULL,406
29-661,29661,PI,NULL,277
29-662,29662,PI,NULL,0
29-663,29663,PI,NULL,296
29-664,29664,PI,NULL,326
29-667,29667,PI,NULL,347
29-668,29668,PI,NULL,252
29-669,29669,PI,NULL,350
29-670,29670,PI,NULL,360
29-671,29671,PI,NULL,276
29-672,29672,PI,NULL,192
29-673,29673,PI,NULL,364
29-674,29674,PI,NULL,117
29-675,29675,PI,NULL,315
29-676,29676,PI,NULL,303
29-677,29677,PI,NULL,333
29-678,29678,PI,NULL,242
29-679,29679,PI,NULL,243
29-680,29680,PI,NULL,259
29-682,29682,PI,NULL,314
29-683,29683,PI,NULL,324
