Row Label,PrecinctCode,County,Registered Voters,Cindy Ryu
Total,-1,KI,NULL,13357
LYNNWOOD  1,23231115,SN,NULL,117
LYNNWOOD  2,23231116,SN,NULL,162
LYNNWOOD  3,23231117,SN,NULL,186
LYNNWOOD  4,23231118,SN,NULL,172
LYNNWOOD  5,23231119,SN,NULL,130
LYNNWOOD  6,23231120,SN,NULL,199
LYNNWOOD  7,23231121,SN,NULL,248
LYNNWOOD  8,23231122,SN,NULL,162
LYNNWOOD  9,23231123,SN,NULL,250
LYNNWOOD 10,23231124,SN,NULL,131
LYNNWOOD 11,23231125,SN,NULL,205
LYNNWOOD 13,23231168,SN,NULL,153
LYNNWOOD 16,23231186,SN,NULL,182
LYNNWOOD 17,23231201,SN,NULL,268
LYNNWOOD 18,23231202,SN,NULL,219
LYNNWOOD 20,23231203,SN,NULL,217
LYNNWOOD 22,23231204,SN,NULL,165
LYNNWOOD 23,23231205,SN,NULL,215
LYNNWOOD 24,23231206,SN,NULL,179
LYNNWOOD 28,23231207,SN,NULL,119
LYNNWOOD 29,23231208,SN,NULL,286
LYNNWOOD 30,23231210,SN,NULL,243
LYNNWOOD 12,23231419,SN,NULL,210
LYNNWOOD 14,23231420,SN,NULL,168
LYNNWOOD 15,23231421,SN,NULL,155
LYNNWOOD 21,23231423,SN,NULL,193
LYNNWOOD 31,23231424,SN,NULL,130
LYNNWOOD 32,23231462,SN,NULL,0
LYNNWOOD 33,23231516,SN,NULL,210
LYNNWOOD 25,23231626,SN,NULL,258
LYNNWOOD 26,23231627,SN,NULL,236
HILLTOP,23234077,SN,NULL,266
CYPRESS,23234175,SN,NULL,205
LAURA,23234184,SN,NULL,253
ALDERCREST,23234444,SN,NULL,48
LARCH,23234461,SN,NULL,192
MAGNOLIA,23234539,SN,NULL,186
PACIFIC,23234550,SN,NULL,65
RIDGEVIEW,23234755,SN,NULL,115
MOUNTLAKE TERRACE  7,23241095,SN,NULL,110
MOUNTLAKE TERRACE  8,23241096,SN,NULL,211
MOUNTLAKE TERRACE  9,23241097,SN,NULL,152
MOUNTLAKE TERRACE 10,23241137,SN,NULL,308
NILE,23244749,SN,NULL,0
EDMONDS  6,73231106,SN,NULL,308
EDMONDS 14,73231112,SN,NULL,181
EDMONDS 15,73231113,SN,NULL,177
EDMONDS 16,73231114,SN,NULL,201
EDMONDS 18,73231132,SN,NULL,243
EDMONDS 19,73231133,SN,NULL,272
EDMONDS 25,73231153,SN,NULL,217
EDMONDS 27,73231154,SN,NULL,204
WOODWAY 1,73231173,SN,NULL,224
WOODWAY 2,73231174,SN,NULL,126
EDMONDS 12,73231389,SN,NULL,146
EDMONDS 40,73231500,SN,NULL,231
EDMONDS 41,73231511,SN,NULL,178
EDMONDS 42,73231512,SN,NULL,173
EDMONDS 43,73231513,SN,NULL,266
EDMONDS 44,73231514,SN,NULL,229
EDMONDS 45,73231523,SN,NULL,187
EDMONDS 47,73231525,SN,NULL,129
EDMONDS 48,73231562,SN,NULL,218
EDMONDS 49,73231563,SN,NULL,205
EDMONDS 50,73231564,SN,NULL,158
EDMONDS 52,73231577,SN,NULL,227
HOLLY,73234099,SN,NULL,265
ROB,73234143,SN,NULL,160
SUMMIT,73234149,SN,NULL,191
ANN,73234176,SN,NULL,198
CHAPEL,73234182,SN,NULL,164
