Row Label,PrecinctCode,County,Registered Voters,Mike Sells,Elijah Olson
Total,-1,SN,NULL,20241,9957
MARYSVILLE  1,23811047,SN,NULL,112,88
MARYSVILLE  2,23811048,SN,NULL,87,43
MARYSVILLE  4,23811128,SN,NULL,138,79
MARYSVILLE  6,23811129,SN,NULL,137,77
MARYSVILLE  3,23811261,SN,NULL,203,109
MARYSVILLE  9,23811299,SN,NULL,85,43
MARYSVILLE 11,23811342,SN,NULL,241,115
MARYSVILLE  7,23811350,SN,NULL,112,74
MARYSVILLE  8,23811351,SN,NULL,163,86
MARYSVILLE 10,23811429,SN,NULL,133,74
MARYSVILLE 13,23811430,SN,NULL,144,83
MARYSVILLE 15,23811465,SN,NULL,190,84
MARYSVILLE 17,23811467,SN,NULL,156,108
MARYSVILLE 20,23811504,SN,NULL,172,105
MARYSVILLE 26,23811544,SN,NULL,218,99
MARYSVILLE 27,23811571,SN,NULL,212,141
MARYSVILLE 28,23811572,SN,NULL,109,58
MARYSVILLE 25,23811650,SN,NULL,106,50
MARYSVILLE 29,23811651,SN,NULL,87,63
MARYSVILLE 32,23811679,SN,NULL,115,85
MARYSVILLE 35,23811728,SN,NULL,158,122
MARYSVILLE 36,23811729,SN,NULL,133,63
MARYSVILLE 37,23811730,SN,NULL,118,67
MARYSVILLE 38,23811731,SN,NULL,107,93
MARYSVILLE 39,23811732,SN,NULL,165,79
MARYSVILLE 40,23811733,SN,NULL,134,87
MARYSVILLE 41,23811734,SN,NULL,129,71
MARYSVILLE 42,23811735,SN,NULL,141,95
MARYSVILLE 43,23811736,SN,NULL,149,122
MARYSVILLE 46,23811739,SN,NULL,226,148
MARYSVILLE 47,23811740,SN,NULL,169,93
MARYSVILLE 48,23811741,SN,NULL,153,79
MARYSVILLE 49,23811742,SN,NULL,140,75
MARYSVILLE 50,23811743,SN,NULL,167,94
MARYSVILLE 51,23811744,SN,NULL,72,50
LOMA,23814167,SN,NULL,161,108
TIMBER,23814325,SN,NULL,0,0
WILLOW,23814335,SN,NULL,145,84
STRAUS,23814363,SN,NULL,183,188
WENBERG,23814488,SN,NULL,179,109
EVERETT   1,23821214,SN,NULL,267,87
EVERETT   2,23821215,SN,NULL,251,43
EVERETT   3,23821216,SN,NULL,170,59
EVERETT   4,23821217,SN,NULL,198,76
EVERETT   6,23821218,SN,NULL,154,45
EVERETT   8,23821219,SN,NULL,158,73
EVERETT  11,23821220,SN,NULL,248,89
EVERETT  12,23821221,SN,NULL,172,70
EVERETT  13,23821222,SN,NULL,148,74
EVERETT  14,23821223,SN,NULL,195,65
EVERETT  15,23821224,SN,NULL,176,78
EVERETT  16,23821225,SN,NULL,142,64
EVERETT  17,23821226,SN,NULL,116,41
EVERETT  18,23821227,SN,NULL,252,104
EVERETT  19,23821228,SN,NULL,180,65
EVERETT  20,23821229,SN,NULL,180,72
EVERETT  21,23821230,SN,NULL,258,99
EVERETT  22,23821231,SN,NULL,175,64
EVERETT  24,23821232,SN,NULL,195,80
EVERETT  25,23821233,SN,NULL,168,66
EVERETT  26,23821234,SN,NULL,294,90
EVERETT  27,23821235,SN,NULL,206,87
EVERETT  28,23821236,SN,NULL,143,68
EVERETT  29,23821237,SN,NULL,132,63
EVERETT  31,23821238,SN,NULL,129,68
EVERETT  32,23821239,SN,NULL,182,81
EVERETT  33,23821240,SN,NULL,252,110
EVERETT  34,23821241,SN,NULL,126,63
EVERETT  36,23821242,SN,NULL,145,88
EVERETT  37,23821243,SN,NULL,183,83
EVERETT  38,23821244,SN,NULL,51,23
EVERETT  39,23821245,SN,NULL,148,101
EVERETT  40,23821246,SN,NULL,78,47
EVERETT  41,23821247,SN,NULL,149,70
EVERETT  42,23821248,SN,NULL,146,57
EVERETT  43,23821249,SN,NULL,90,73
EVERETT  44,23821250,SN,NULL,126,53
EVERETT  45,23821251,SN,NULL,156,60
EVERETT  48,23821252,SN,NULL,136,75
EVERETT  49,23821253,SN,NULL,230,97
EVERETT  50,23821254,SN,NULL,193,69
EVERETT  51,23821255,SN,NULL,177,70
EVERETT  53,23821256,SN,NULL,206,71
EVERETT  54,23821257,SN,NULL,176,75
EVERETT  55,23821258,SN,NULL,46,30
EVERETT  67,23821287,SN,NULL,177,67
EVERETT  69,23821288,SN,NULL,183,73
EVERETT  73,23821289,SN,NULL,170,88
EVERETT  76,23821290,SN,NULL,137,102
TULALIP 1,23821327,SN,NULL,203,105
TULALIP 2,23821328,SN,NULL,210,53
EVERETT  60,23821346,SN,NULL,167,79
TULALIP 3,23821365,SN,NULL,175,90
EVERETT   5,23821394,SN,NULL,172,58
EVERETT   7,23821395,SN,NULL,87,28
EVERETT   9,23821396,SN,NULL,305,115
EVERETT  10,23821397,SN,NULL,153,53
EVERETT  23,23821398,SN,NULL,35,15
EVERETT  30,23821399,SN,NULL,204,117
EVERETT  46,23821401,SN,NULL,143,68
EVERETT  47,23821402,SN,NULL,197,58
EVERETT  58,23821403,SN,NULL,19,10
EVERETT  59,23821404,SN,NULL,154,52
EVERETT  68,23821408,SN,NULL,237,108
EVERETT  70,23821409,SN,NULL,2,2
EVERETT  71,23821410,SN,NULL,106,42
EVERETT  72,23821411,SN,NULL,104,37
EVERETT  74,23821412,SN,NULL,96,68
EVERETT  80,23821413,SN,NULL,193,105
EVERETT  81,23821414,SN,NULL,110,30
TULALIP 4,23821440,SN,NULL,202,108
EVERETT  85,23821449,SN,NULL,133,68
EVERETT  87,23821450,SN,NULL,104,71
EVERETT  88,23821451,SN,NULL,185,81
EVERETT  89,23821452,SN,NULL,153,58
EVERETT  90,23821453,SN,NULL,60,21
TULALIP 5,23821510,SN,NULL,124,60
TULALIP 6,23821558,SN,NULL,111,27
EVERETT  62,23821617,SN,NULL,130,57
EVERETT  63,23821618,SN,NULL,117,92
EVERETT  75,23821619,SN,NULL,99,75
EVERETT  78,23821620,SN,NULL,84,48
EVERETT  86,23821623,SN,NULL,158,75
EVERETT  77,23821645,SN,NULL,149,65
EVERETT  82,23821662,SN,NULL,140,74
EVERETT  93,23821695,SN,NULL,113,50
EVERETT  94,23821696,SN,NULL,100,61
PRIEST POINT,23824098,SN,NULL,133,57
MILLARD,23824169,SN,NULL,92,82
HAT ISLAND,23824267,SN,NULL,22,7
SHELTON,23824269,SN,NULL,204,166
TYEE,23824441,SN,NULL,165,107
BOEING,23824445,SN,NULL,142,75
COHO(*),23824561,SN,NULL,0,0
SPENCER(*),23824593,SN,NULL,0,0
CHATHAM,23824752,SN,NULL,34,23
SYLVAN,23854756,SN,NULL,11,13
