Row Label,PrecinctCode,County,Registered Voters,Elizabeth Scott,Charles Jensen
Total,-1,SN,NULL,19513,11450
GRANITE FALLS 1,13911384,SN,NULL,186,119
GRANITE FALLS 2,13911385,SN,NULL,213,125
DARRINGTON,13911637,SN,NULL,199,117
GRANITE FALLS 3,13911670,SN,NULL,71,51
ARLINGTON 18,13911760,SN,NULL,0,0
NORDEN,13914011,SN,NULL,155,94
TRAFTON,13914015,SN,NULL,150,79
GREGORY,13914028,SN,NULL,157,87
HARTFORD,13914033,SN,NULL,86,75
HAZEL,13914034,SN,NULL,227,154
ROBE,13914035,SN,NULL,95,87
LOCHSLOY,13914042,SN,NULL,274,118
JIM CREEK,13914053,SN,NULL,265,135
OUTLOOK,13914057,SN,NULL,169,120
OSO,13914060,SN,NULL,141,67
NEWBERG,13914069,SN,NULL,157,92
SAUK,13914211,SN,NULL,86,41
BURN HILL,13914264,SN,NULL,203,130
SISCO,13914270,SN,NULL,227,123
PILCHUCK,13914275,SN,NULL,158,113
SLEEPY HOLLOW,13914321,SN,NULL,149,126
HEIGHTS,13914347,SN,NULL,200,102
LOOP,13914374,SN,NULL,156,139
GETCHELL,13914416,SN,NULL,167,98
PORTAGE,13914433,SN,NULL,107,33
SPADA,13914439,SN,NULL,4,3
MENZEL,13914470,SN,NULL,137,105
STILLAGUAMISH,13914496,SN,NULL,66,55
JORDAN TRAILS,13914515,SN,NULL,121,44
PILOT,13914517,SN,NULL,223,100
ARNOT,13914519,SN,NULL,163,85
BOSWORTH,13914521,SN,NULL,229,155
FIRTREE,13914529,SN,NULL,160,83
HUCKLEBERRY,13914533,SN,NULL,99,68
SANDMAN,13914555,SN,NULL,145,81
TRANGEN,13914557,SN,NULL,169,109
AIRPARK,13914573,SN,NULL,71,16
JORDAN BRIDGE,13914583,SN,NULL,53,28
MC FARLAND,13914681,SN,NULL,246,119
STAR CREEK,13914683,SN,NULL,115,73
INDEX,13951039,SN,NULL,21,45
MONROE  1,13951054,SN,NULL,213,171
MONROE  2,13951055,SN,NULL,199,132
SULTAN 1,13951070,SN,NULL,201,111
SULTAN 2,13951071,SN,NULL,168,107
MONROE  4,13951187,SN,NULL,188,154
MONROE  5,13951188,SN,NULL,240,152
SULTAN 3,13951322,SN,NULL,177,80
MONROE  3,13951431,SN,NULL,191,128
MONROE  6,13951506,SN,NULL,165,100
MONROE  7,13951548,SN,NULL,206,102
GOLD BAR 1,13951566,SN,NULL,132,117
GOLD BAR 2,13951567,SN,NULL,127,89
MONROE  8,13951568,SN,NULL,145,62
MONROE 10,13951586,SN,NULL,226,111
MONROE 11,13951587,SN,NULL,69,48
MONROE  9,13951653,SN,NULL,242,111
MONROE 12,13951654,SN,NULL,116,72
SULTAN 4,13951713,SN,NULL,134,88
PARK PLACE,13954003,SN,NULL,93,45
SULTAN RIVER,13954005,SN,NULL,175,127
TUALCO,13954007,SN,NULL,131,114
WALLACE,13954008,SN,NULL,135,87
LAKE,13954010,SN,NULL,236,145
SHORTS,13954013,SN,NULL,237,172
THREE LAKES,13954031,SN,NULL,174,88
ROOSEVELT,13954036,SN,NULL,103,67
SKYKOMISH,13954041,SN,NULL,57,54
OLNEY,13954043,SN,NULL,195,135
WINTER LAKE,13954058,SN,NULL,120,68
HIGHLAND,13954064,SN,NULL,158,87
TROMBLEY,13954272,SN,NULL,177,125
HIGH BRIDGE,13954292,SN,NULL,298,168
OWEN,13954309,SN,NULL,176,93
BLUFF,13954340,SN,NULL,222,87
CHAIN LAKE,13954371,SN,NULL,258,140
BROCKLIN,13954388,SN,NULL,206,111
HIGH ROCK,13954417,SN,NULL,206,81
MANN,13954425,SN,NULL,152,123
WAGNER,13954442,SN,NULL,226,132
WOODS CREEK,13954443,SN,NULL,171,97
FAIRVIEW,13954454,SN,NULL,138,111
MAY CREEK,13954469,SN,NULL,181,132
MILL,13954471,SN,NULL,222,119
STORM LAKE,13954487,SN,NULL,270,142
PIPELINE,13954507,SN,NULL,195,99
FERN,13954526,SN,NULL,82,32
IVERSON,13954534,SN,NULL,122,80
LUPINE,13954537,SN,NULL,157,98
ROBINHOOD,13954553,SN,NULL,150,93
SOFIE,13954710,SN,NULL,93,81
WEST FORK,13954750,SN,NULL,71,27
PILCHUCK RIVER,13954753,SN,NULL,12,10
RICHLAND,13954754,SN,NULL,69,42
ARLINGTON  1,23911049,SN,NULL,199,93
ARLINGTON  2,23911050,SN,NULL,123,107
ARLINGTON  3,23911051,SN,NULL,135,110
ARLINGTON  4,23911130,SN,NULL,259,184
ARLINGTON  5,23911386,SN,NULL,250,147
MARYSVILLE 18,23911468,SN,NULL,248,106
ARLINGTON  6,23911498,SN,NULL,195,105
ARLINGTON  7,23911499,SN,NULL,261,116
ARLINGTON  8,23911518,SN,NULL,207,91
ARLINGTON  9,23911569,SN,NULL,187,117
ARLINGTON 10,23911570,SN,NULL,244,136
ARLINGTON 11,23911574,SN,NULL,102,58
ARLINGTON 12,23911636,SN,NULL,154,71
ARLINGTON 13,23911643,SN,NULL,272,113
ARLINGTON 14(*),23911661,SN,NULL,0,0
MARYSVILLE 33(*),23911680,SN,NULL,0,0
ARLINGTON 15,23911686,SN,NULL,61,45
ARLINGTON 16,23911687,SN,NULL,154,55
MARYSVILLE 44,23911737,SN,NULL,221,164
MARYSVILLE 45,23911738,SN,NULL,271,103
MARYSVILLE 52,23911745,SN,NULL,236,120
MARYSVILLE 53,23911746,SN,NULL,139,61
MARYSVILLE 54,23911747,SN,NULL,212,110
ARLINGTON 17,23911751,SN,NULL,4,3
PACKWOOD,23914020,SN,NULL,115,57
EDGECOMB,23914023,SN,NULL,174,94
ALMA,23914151,SN,NULL,23,13
RONCREST,23914360,SN,NULL,88,42
