Row Label,PrecinctCode,County,Registered Voters,Bob McCaslin,Diana Wilhite
Total,-1,SP,NULL,25268,18301
PCT 4001,4001,SP,NULL,212,134
PCT 4002,4002,SP,NULL,307,166
PCT 4003,4003,SP,NULL,417,255
PCT 4004,4004,SP,NULL,326,215
PCT 4005,4005,SP,NULL,269,151
PCT 4006,4006,SP,NULL,365,255
PCT 4007,4007,SP,NULL,212,132
PCT 4008,4008,SP,NULL,198,143
PCT 4009,4009,SP,NULL,317,145
PCT 4010,4010,SP,NULL,253,175
PCT 4011,4011,SP,NULL,434,223
PCT 4012,4012,SP,NULL,449,284
PCT 4013,4013,SP,NULL,276,148
PCT 4014,4014,SP,NULL,170,132
PCT 4015,4015,SP,NULL,183,148
PCT 4016,4016,SP,NULL,273,211
PCT 4017,4017,SP,NULL,299,265
PCT 4018,4018,SP,NULL,196,131
PCT 4019,4019,SP,NULL,208,141
PCT 4020,4020,SP,NULL,318,215
PCT 4021,4021,SP,NULL,312,182
PCT 4022,4022,SP,NULL,272,152
PCT 4023,4023,SP,NULL,110,75
PCT 4024,4024,SP,NULL,179,166
PCT 4025,4025,SP,NULL,230,223
PCT 4026,4026,SP,NULL,247,158
PCT 4027,4027,SP,NULL,263,165
PCT 4028,4028,SP,NULL,348,281
PCT 4029,4029,SP,NULL,269,204
PCT 4030,4030,SP,NULL,196,141
PCT 4031,4031,SP,NULL,218,182
PCT 4032,4032,SP,NULL,197,103
PCT 4033,4033,SP,NULL,204,161
PCT 4034,4034,SP,NULL,228,143
PCT 4035,4035,SP,NULL,175,141
PCT 4200,4200,SP,NULL,187,172
PCT 4201,4201,SP,NULL,128,82
PCT 4300,4300,SP,NULL,227,164
PCT 4301,4301,SP,NULL,136,118
PCT 4302,4302,SP,NULL,262,211
PCT 4303,4303,SP,NULL,271,223
PCT 4304,4304,SP,NULL,164,158
PCT 4305,4305,SP,NULL,173,136
PCT 4306,4306,SP,NULL,308,197
PCT 4307,4307,SP,NULL,49,46
PCT 4400,4400,SP,NULL,228,205
PCT 4401,4401,SP,NULL,267,241
PCT 4402,4402,SP,NULL,219,196
PCT 4403,4403,SP,NULL,272,225
PCT 4404,4404,SP,NULL,305,217
PCT 4405,4405,SP,NULL,301,212
PCT 4406,4406,SP,NULL,226,201
PCT 4407,4407,SP,NULL,275,208
PCT 4408,4408,SP,NULL,355,284
PCT 4409,4409,SP,NULL,375,309
PCT 4410,4410,SP,NULL,285,264
PCT 4411,4411,SP,NULL,296,203
PCT 4412,4412,SP,NULL,202,163
PCT 4413,4413,SP,NULL,251,193
PCT 4414,4414,SP,NULL,333,211
PCT 4415,4415,SP,NULL,226,171
PCT 4416,4416,SP,NULL,253,197
PCT 4417,4417,SP,NULL,164,125
PCT 4418,4418,SP,NULL,284,195
PCT 4419,4419,SP,NULL,284,203
PCT 4420,4420,SP,NULL,116,88
PCT 4421,4421,SP,NULL,196,171
PCT 4422,4422,SP,NULL,284,198
PCT 4423,4423,SP,NULL,381,258
PCT 4424,4424,SP,NULL,282,174
PCT 4425,4425,SP,NULL,210,157
PCT 4426,4426,SP,NULL,166,114
PCT 4427,4427,SP,NULL,357,242
PCT 4428,4428,SP,NULL,212,134
PCT 4429,4429,SP,NULL,299,235
PCT 4430,4430,SP,NULL,283,224
PCT 4431,4431,SP,NULL,223,171
PCT 4432,4432,SP,NULL,310,176
PCT 4433,4433,SP,NULL,168,169
PCT 4434,4434,SP,NULL,406,291
PCT 4435,4435,SP,NULL,323,218
PCT 4436,4436,SP,NULL,399,290
PCT 4437,4437,SP,NULL,303,226
PCT 4438,4438,SP,NULL,398,252
PCT 4439,4439,SP,NULL,285,188
PCT 4440,4440,SP,NULL,304,206
PCT 4441,4441,SP,NULL,223,130
PCT 4442,4442,SP,NULL,185,158
PCT 4443,4443,SP,NULL,152,121
PCT 4444,4444,SP,NULL,314,201
PCT 4445,4445,SP,NULL,243,183
PCT 4446,4446,SP,NULL,147,117
PCT 4447,4447,SP,NULL,118,97
PCT 4448,4448,SP,NULL,211,156
PCT 4449,4449,SP,NULL,132,141
PCT 4450,4450,SP,NULL,130,98
PCT 4451,4451,SP,NULL,226,137
PCT 4452,4452,SP,NULL,217,153
PCT 4453,4453,SP,NULL,251,232
PCT 4454,4454,SP,NULL,166,161
PCT 4455,4455,SP,NULL,212,158
