Row Label,PrecinctCode,County,Registered Voters,Matt Shea,Josh Arritola
Total,-1,SP,NULL,25114,18372
PCT 4001,4001,SP,NULL,205,142
PCT 4002,4002,SP,NULL,295,174
PCT 4003,4003,SP,NULL,431,256
PCT 4004,4004,SP,NULL,329,214
PCT 4005,4005,SP,NULL,282,141
PCT 4006,4006,SP,NULL,355,277
PCT 4007,4007,SP,NULL,204,141
PCT 4008,4008,SP,NULL,209,124
PCT 4009,4009,SP,NULL,325,139
PCT 4010,4010,SP,NULL,260,173
PCT 4011,4011,SP,NULL,432,228
PCT 4012,4012,SP,NULL,456,284
PCT 4013,4013,SP,NULL,284,142
PCT 4014,4014,SP,NULL,164,144
PCT 4015,4015,SP,NULL,177,159
PCT 4016,4016,SP,NULL,264,212
PCT 4017,4017,SP,NULL,321,251
PCT 4018,4018,SP,NULL,214,109
PCT 4019,4019,SP,NULL,217,134
PCT 4020,4020,SP,NULL,321,205
PCT 4021,4021,SP,NULL,316,173
PCT 4022,4022,SP,NULL,277,149
PCT 4023,4023,SP,NULL,91,87
PCT 4024,4024,SP,NULL,185,164
PCT 4025,4025,SP,NULL,253,200
PCT 4026,4026,SP,NULL,251,156
PCT 4027,4027,SP,NULL,274,144
PCT 4028,4028,SP,NULL,317,316
PCT 4029,4029,SP,NULL,234,233
PCT 4030,4030,SP,NULL,175,161
PCT 4031,4031,SP,NULL,242,167
PCT 4032,4032,SP,NULL,194,109
PCT 4033,4033,SP,NULL,189,172
PCT 4034,4034,SP,NULL,222,145
PCT 4035,4035,SP,NULL,193,127
PCT 4200,4200,SP,NULL,194,160
PCT 4201,4201,SP,NULL,124,81
PCT 4300,4300,SP,NULL,209,184
PCT 4301,4301,SP,NULL,160,91
PCT 4302,4302,SP,NULL,262,207
PCT 4303,4303,SP,NULL,277,218
PCT 4304,4304,SP,NULL,176,143
PCT 4305,4305,SP,NULL,132,179
PCT 4306,4306,SP,NULL,283,222
PCT 4307,4307,SP,NULL,51,45
PCT 4400,4400,SP,NULL,251,171
PCT 4401,4401,SP,NULL,283,233
PCT 4402,4402,SP,NULL,248,164
PCT 4403,4403,SP,NULL,286,209
PCT 4404,4404,SP,NULL,292,221
PCT 4405,4405,SP,NULL,284,222
PCT 4406,4406,SP,NULL,251,174
PCT 4407,4407,SP,NULL,275,201
PCT 4408,4408,SP,NULL,330,297
PCT 4409,4409,SP,NULL,360,333
PCT 4410,4410,SP,NULL,244,307
PCT 4411,4411,SP,NULL,280,223
PCT 4412,4412,SP,NULL,182,182
PCT 4413,4413,SP,NULL,280,173
PCT 4414,4414,SP,NULL,313,223
PCT 4415,4415,SP,NULL,211,192
PCT 4416,4416,SP,NULL,269,185
PCT 4417,4417,SP,NULL,192,92
PCT 4418,4418,SP,NULL,274,200
PCT 4419,4419,SP,NULL,319,170
PCT 4420,4420,SP,NULL,118,85
PCT 4421,4421,SP,NULL,198,166
PCT 4422,4422,SP,NULL,286,194
PCT 4423,4423,SP,NULL,352,277
PCT 4424,4424,SP,NULL,257,209
PCT 4425,4425,SP,NULL,207,159
PCT 4426,4426,SP,NULL,151,134
PCT 4427,4427,SP,NULL,315,274
PCT 4428,4428,SP,NULL,199,143
PCT 4429,4429,SP,NULL,294,233
PCT 4430,4430,SP,NULL,296,210
PCT 4431,4431,SP,NULL,203,189
PCT 4432,4432,SP,NULL,284,215
PCT 4433,4433,SP,NULL,200,132
PCT 4434,4434,SP,NULL,376,305
PCT 4435,4435,SP,NULL,303,225
PCT 4436,4436,SP,NULL,379,306
PCT 4437,4437,SP,NULL,305,216
PCT 4438,4438,SP,NULL,392,254
PCT 4439,4439,SP,NULL,324,153
PCT 4440,4440,SP,NULL,289,214
PCT 4441,4441,SP,NULL,221,132
PCT 4442,4442,SP,NULL,169,173
PCT 4443,4443,SP,NULL,136,141
PCT 4444,4444,SP,NULL,290,217
PCT 4445,4445,SP,NULL,243,181
PCT 4446,4446,SP,NULL,158,115
PCT 4447,4447,SP,NULL,114,108
PCT 4448,4448,SP,NULL,200,169
PCT 4449,4449,SP,NULL,124,152
PCT 4450,4450,SP,NULL,150,81
PCT 4451,4451,SP,NULL,224,137
PCT 4452,4452,SP,NULL,228,143
PCT 4453,4453,SP,NULL,278,194
PCT 4454,4454,SP,NULL,173,149
PCT 4455,4455,SP,NULL,228,133
