Row Label,PrecinctCode,County,Registered Voters,Kristine Lytton,Daniel R. Miller
Total,-1,SK,NULL,10257,7768
DUNBAR,104,SK,NULL,49,37
AVON,105,SK,NULL,201,174
BAY VIEW,108,SK,NULL,189,181
BELFAST,109,SK,NULL,98,135
BOW,113,SK,NULL,310,238
EDISON,122,SK,NULL,135,130
GEAR,126,SK,NULL,187,264
GUEMES,127,SK,NULL,292,104
LOOKOUT,132,SK,NULL,256,242
MAPES,134,SK,NULL,81,64
MARCH POINT,135,SK,NULL,16,11
POINT WILLIAMS,146,SK,NULL,206,147
FIDALGO,164,SK,NULL,303,258
BLANCHARD(*),168,SK,NULL,0,0
VIEW TERRACE(*),170,SK,NULL,0,0
RIVERBEND,173,SK,NULL,12,5
PADILLA,174,SK,NULL,47,57
ANACORTES  1,201,SK,NULL,268,115
ANACORTES  4,204,SK,NULL,195,93
ANACORTES 5,205,SK,NULL,4,9
ANACORTES  6,206,SK,NULL,231,182
ANACORTES  7,207,SK,NULL,548,303
ANACORTES  9,209,SK,NULL,276,194
ANACORTES 11,211,SK,NULL,378,220
ANACORTES 17,217,SK,NULL,522,231
ANACORTES 20,220,SK,NULL,417,304
ANACORTES 21,221,SK,NULL,508,404
ANACORTES 22,222,SK,NULL,351,278
ANACORTES 24,224,SK,NULL,559,459
MOUNT VERNON  1,301,SK,NULL,97,69
MOUNT VERNON  2,302,SK,NULL,109,76
MOUNT VERNON  3,303,SK,NULL,218,148
MOUNT VERNON  4,304,SK,NULL,304,274
MOUNT VERNON  5,305,SK,NULL,62,52
MOUNT VERNON  6,306,SK,NULL,227,97
MOUNT VERNON 14,314,SK,NULL,306,218
MOUNT VERNON 15,315,SK,NULL,152,114
MOUNT VERNON 19,319,SK,NULL,251,217
MOUNT VERNON 21,321,SK,NULL,374,288
MOUNT VERNON 22,322,SK,NULL,379,366
BURLINGTON 1,501,SK,NULL,107,81
BURLINGTON 2,502,SK,NULL,124,106
BURLINGTON 3,503,SK,NULL,72,26
BURLINGTON 4,504,SK,NULL,156,150
BURLINGTON 5,505,SK,NULL,201,202
BURLINGTON 6,506,SK,NULL,107,106
BURLINGTON 7,507,SK,NULL,109,125
