Row Label,PrecinctCode,County,Registered Voters,Brad Klippert
Total,-1,BE,NULL,31811
Hanford 4,96,BE,NULL,0
Hanford 3,97,BE,NULL,0
Hanford 2,98,BE,NULL,0
Hanford 1,99,BE,NULL,0
Columbia,1060,BE,NULL,4
Weidle,1404,BE,NULL,42
Elk,1407,BE,NULL,0
Griffin,1408,BE,NULL,2
Sunny,1414,BE,NULL,64
W1 - P645,1645,BE,NULL,47
W1 - P646,1646,BE,NULL,82
W1 - P650,1650,BE,NULL,291
W1 - P651,1651,BE,NULL,52
W1 - P655,1655,BE,NULL,152
W1 - P656,1656,BE,NULL,113
W1 - P657,1657,BE,NULL,182
W1 - P660,1660,BE,NULL,233
W1-P663,1663,BE,NULL,217
W1 - P664,1664,BE,NULL,385
W1 - P665,1665,BE,NULL,320
W1 - P667,1667,BE,NULL,105
W1 - P668,1668,BE,NULL,374
W1 - P669,1669,BE,NULL,156
W1 - P670,1670,BE,NULL,219
W1 - P674,1674,BE,NULL,166
W1 - P675,1675,BE,NULL,108
W1 - P676,1676,BE,NULL,330
W1 - P680,1680,BE,NULL,303
W1 - P681,1681,BE,NULL,211
W1 - P682,1682,BE,NULL,361
W1 - P683,1683,BE,NULL,227
W1 - P685,1685,BE,NULL,290
W1 - P686,1686,BE,NULL,255
W1 - P690,1690,BE,NULL,285
W1 - P691,1691,BE,NULL,42
W2 - P560,2560,BE,NULL,130
W2 - P565,2565,BE,NULL,104
W2 - P570,2570,BE,NULL,208
W2-P574,2574,BE,NULL,126
W2 - P575,2575,BE,NULL,96
W2 - P580,2580,BE,NULL,137
W2 - P585,2585,BE,NULL,115
W2 - P590,2590,BE,NULL,164
W2 - P595,2595,BE,NULL,179
W2 - P600,2600,BE,NULL,118
W2 - P601,2601,BE,NULL,124
W2 - P605,2605,BE,NULL,173
W2 - P610,2610,BE,NULL,154
W2 - P615,2615,BE,NULL,67
W2 - P620,2620,BE,NULL,164
W2 - P625,2625,BE,NULL,230
W2 - P626,2626,BE,NULL,137
W2 - P630,2630,BE,NULL,207
W2 - P633,2633,BE,NULL,230
W2 - P634,2634,BE,NULL,321
