Row Label,PrecinctCode,County,Registered Voters,Susan Fagan
Total,-1,FR,NULL,8673
Pct 002,2,FR,NULL,4
Pct 022,22,FR,NULL,147
Pct 023,23,FR,NULL,262
Pct 032,32,FR,NULL,330
Pct 033,33,FR,NULL,135
Pct 034,34,FR,NULL,189
Pct 035,35,FR,NULL,91
Pct 037,37,FR,NULL,245
Pct 038,38,FR,NULL,163
Pct 039,39,FR,NULL,186
Pct 040,40,FR,NULL,164
Pct 041,41,FR,NULL,101
Pct 042,42,FR,NULL,130
Pct 043,43,FR,NULL,136
Pct 044,44,FR,NULL,154
Pct 045,45,FR,NULL,211
Pct 046,46,FR,NULL,228
Pct 047,47,FR,NULL,25
Pct 048,48,FR,NULL,183
Pct 049,49,FR,NULL,200
Pct 050,50,FR,NULL,202
Pct 051,51,FR,NULL,195
Pct 052,52,FR,NULL,52
Pct 053,53,FR,NULL,154
Pct 054,54,FR,NULL,84
Pct 055,55,FR,NULL,261
Pct 056,56,FR,NULL,138
Pct 057,57,FR,NULL,152
Pct 058,58,FR,NULL,19
Pct 059,59,FR,NULL,237
Pct 060,60,FR,NULL,78
Pct 061,61,FR,NULL,31
Pct 062,62,FR,NULL,274
Pct 063,63,FR,NULL,167
Pct 064,64,FR,NULL,161
Pct 065,65,FR,NULL,86
Pct 066,66,FR,NULL,229
Pct 067,67,FR,NULL,157
Pct 068,68,FR,NULL,11
Pct 069,69,FR,NULL,30
Pct 070,70,FR,NULL,51
Pct 071,71,FR,NULL,141
Pct 072,72,FR,NULL,114
Pct 073,73,FR,NULL,213
Pct 074,74,FR,NULL,197
Pct 075,75,FR,NULL,40
Pct 076,76,FR,NULL,77
Pct 077,77,FR,NULL,51
Pct 078,78,FR,NULL,70
Pct 079,79,FR,NULL,104
Pct 080,80,FR,NULL,240
Pct 081,81,FR,NULL,67
Pct 082,82,FR,NULL,93
Pct 083,83,FR,NULL,75
Pct 084,84,FR,NULL,37
Pct 085,85,FR,NULL,38
Pct 086,86,FR,NULL,67
Pct 087,87,FR,NULL,58
Pct 088,88,FR,NULL,33
Pct 089,89,FR,NULL,109
Pct 090,90,FR,NULL,134
Pct 091,91,FR,NULL,11
Pct 092,92,FR,NULL,120
Pct 093,93,FR,NULL,135
Pct 094,94,FR,NULL,0
Pct 095,95,FR,NULL,57
Pct 096,96,FR,NULL,70
Pct 097,97,FR,NULL,40
Pct 098,98,FR,NULL,19
Pct 099,99,FR,NULL,27
Pct 100,100,FR,NULL,83
Pct 101,101,FR,NULL,100
