Row Label,PrecinctCode,County,Registered Voters,Wes Stockwell
Total,-1,MA,NULL,14583
PICKERING,113,MA,NULL,384
HARSTINE,114,MA,NULL,550
GRAPEVIEW,115,MA,NULL,479
MASON LAKE,116,MA,NULL,347
FAIR HARBOR,117,MA,NULL,290
ALLYN,118,MA,NULL,687
VICTOR,119,MA,NULL,277
BELFAIR,120,MA,NULL,351
TIGER LAKE,121,MA,NULL,220
DEWATTO,122,MA,NULL,441
TAHUYA,123,MA,NULL,397
SAND HILL,124,MA,NULL,451
TRAIL&#39;S END,125,MA,NULL,420
TWANOH,126,MA,NULL,266
BORDEAUX,205,MA,NULL,69
KAMILCHE POINT,207,MA,NULL,229
UNION,227,MA,NULL,640
SKOKOMISH,228,MA,NULL,97
HOOD CANAL,229,MA,NULL,456
CUSHMAN,230,MA,NULL,496
EELLS,231,MA,NULL,142
MATLOCK,232,MA,NULL,364
DAYTON,233,MA,NULL,337
KAMILCHE,234,MA,NULL,178
ISABELLA,235,MA,NULL,247
AIRPORT,236,MA,NULL,545
JOHN&#39;S PRAIRIE,237,MA,NULL,320
LIMERICK,238,MA,NULL,585
OLYMPIC VIEW,301,MA,NULL,505
DOWNTOWN,302,MA,NULL,347
ANGLESIDE,303,MA,NULL,429
HILLCREST,304,MA,NULL,297
FAWN LAKE,306,MA,NULL,503
ARCADIA,308,MA,NULL,481
MILL CREEK,309,MA,NULL,520
AGATE,310,MA,NULL,383
OAKLAND BAY,311,MA,NULL,337
TIMBERLAKE,312,MA,NULL,502
CALLANAN,339,MA,NULL,14
